window_index,DLinear,PatchTST,iTransformer,TimeMixer,FreTS,TimeXer,ZeroPred,Persistence,HAR_EWM
0,0.5907729864,0.6052398682,0.614616096,0.586450994,0.5965825319,0.6037353277,0.5982922316,0.5849251747,0.5849251747
1,0.6014447808,0.6231728792,0.6254771948,0.6089276075,0.6105676889,0.6216008067,0.6125429869,0.6005446315,0.6005446315
2,0.6021046638,0.6181359291,0.6213037372,0.6001574993,0.6128546,0.6204135418,0.6127587557,0.6025030613,0.6006852388
3,0.6070649028,0.6196147203,0.6206473112,0.609018445,0.6128914952,0.6197746992,0.6125891805,1.002567887,0.6018170714
4,0.6034649611,0.6142343879,0.6064209938,0.6047222614,0.6090824008,0.6066660881,0.6075133085,1.236254692,0.5946147442
5,0.5791541338,0.5973629355,0.5934275389,0.5889261961,0.5902523994,0.5933981538,0.594253242,2.780369759,0.5826497674
6,0.587340951,0.5882624388,0.5937774181,0.5873246789,0.5865310431,0.5860209465,0.5865499377,2.158416033,0.5740073919
7,0.5830392241,0.602240026,0.5970078707,0.5892927051,0.5866362453,0.5845048428,0.5870236158,0.7154511809,0.5745893121
8,0.5777913332,0.589246273,0.5871878862,0.5787191987,0.5793528557,0.581605792,0.583820045,0.9825409651,0.5707027912
9,0.5806056261,0.5796174407,0.5898489356,0.578373611,0.5868794322,0.5912991166,0.5872469544,0.6009673476,0.5750927925
10,0.5833528638,0.582336545,0.5903005004,0.5873300433,0.5885535479,0.5920847058,0.5874130726,0.5803604722,0.575635016
11,0.5899792314,0.5973178744,0.598043263,0.5855121613,0.5842212439,0.6017486453,0.5890078545,0.7788163424,0.5768420696
12,0.5862956047,0.5934645534,0.6003081799,0.5876272321,0.5873511434,0.5970813036,0.589687705,0.5764092207,0.5772433281
13,0.5918313265,0.6063312888,0.599147439,0.5846481323,0.5923424959,0.5891852379,0.5897705555,1.627947092,0.58009094
14,0.5881116986,0.5972005129,0.5898370147,0.5827566981,0.5898212194,0.5925499797,0.5876013041,0.8202280402,0.5767477155
15,0.5843418837,0.5997005105,0.5949428082,0.5808652043,0.5830162764,0.6081854105,0.5876527429,0.6003353,0.5769762993
16,0.5889994502,0.5938845873,0.589887917,0.5889688134,0.5875466466,0.5892954469,0.5878662467,0.7465842366,0.5760865211
17,0.5817367435,0.5934096575,0.5852001905,0.5835179687,0.5871328712,0.5859568715,0.5873376727,0.623265028,0.5756059289
18,0.5732012987,0.577852428,0.5786620378,0.5756907463,0.578684926,0.571677804,0.5776751637,3.712868929,0.5668745637
19,0.5994923711,0.6116049886,0.5995156169,0.5954522491,0.5946713686,0.5907761455,0.5972502828,0.6394001842,0.5842921138
20,0.6069613695,0.5980198383,0.6111725569,0.6061415076,0.6019294262,0.6030812263,0.6044234037,0.6429075599,0.5927316546
21,0.4783066809,0.4577488601,0.4518000782,0.452306211,0.4563711286,0.456425488,0.4559950233,24.76337051,0.4855804443
22,0.4573058188,0.4493563473,0.4422082305,0.4598029852,0.4566808343,0.4566488862,0.452637434,1.118350625,0.4941106439
23,0.4614285827,0.4561137259,0.4461390674,0.4553167224,0.4524945617,0.4595519602,0.4540145397,0.952634275,0.4852144718
24,0.4691406488,0.4653349817,0.4562393427,0.4525586665,0.4631040692,0.4442491531,0.4624865949,0.8392460942,0.4875490665
25,0.469997555,0.4688434601,0.463848263,0.4611230195,0.4662563205,0.4476416409,0.4652103186,0.519583106,0.489746511
26,0.464782387,0.456215322,0.4613244534,0.4632830918,0.4598328769,0.4616914392,0.4651789069,0.6539034843,0.4953687787
27,0.4759218991,0.4634688199,0.4615472257,0.4614476264,0.4622352123,0.4572213888,0.4641601145,0.5868343711,0.4976503849
28,0.4645031989,0.4584278762,0.4559117854,0.4654456079,0.4652330279,0.4658862948,0.4640952647,0.4621686041,0.4963695109
29,0.4694788754,0.4667097628,0.4597063661,0.4575808346,0.4628469348,0.4556792676,0.4646938741,0.4844703078,0.4960903823
30,0.4673139155,0.469713062,0.4678969085,0.4476484954,0.4621655643,0.4655350149,0.4627970755,0.8160793781,0.4996978641
