window_index,DLinear,PatchTST,iTransformer,TimeMixer
0,0.7083333135,0.4166666567,0.7083333135,0.6666666865
1,0.5416666865,0.4583333433,0.4583333433,0.5416666865
2,0.625,0.4583333433,0.5833333135,0.4583333433
3,0.5416666865,0.4166666567,0.5,0.5833333135
4,0.625,0.4583333433,0.5,0.5416666865
5,0.5,0.6666666865,0.5416666865,0.4583333433
6,0.5416666865,0.4166666567,0.5416666865,0.375
7,0.5416666865,0.2916666567,0.25,0.5
8,0.625,0.375,0.5416666865,0.375
9,0.5833333135,0.6666666865,0.5416666865,0.625
10,0.6666666865,0.4583333433,0.5833333135,0.4583333433
11,0.4583333433,0.3333333433,0.4583333433,0.3333333433
12,0.4166666567,0.3333333433,0.5,0.5833333135
13,0.5,0.3333333433,0.5833333135,0.5416666865
14,0.4166666567,0.375,0.4583333433,0.4166666567
15,0.5,0.3333333433,0.7083333135,0.4166666567
16,0.5416666865,0.375,0.3333333433,0.4583333433
17,0.4583333433,0.4166666567,0.5833333135,0.5416666865
18,0.4583333433,0.625,0.6666666865,0.5833333135
19,0.625,0.4166666567,0.375,0.5833333135
20,0.6666666865,0.5416666865,0.5416666865,0.625
21,0.6666666865,0.5416666865,0.5416666865,0.625
22,0.6666666865,0.5416666865,0.7083333135,0.5416666865
23,0.5833333135,0.5833333135,0.5,0.5
24,0.625,0.625,0.5416666865,0.6666666865
25,0.5833333135,0.625,0.6666666865,0.6666666865
26,0.5416666865,0.5833333135,0.5833333135,0.7083333135
27,0.5,0.5833333135,0.625,0.6666666865
28,0.4583333433,0.5416666865,0.5416666865,0.625
29,0.5416666865,0.5,0.5416666865,0.6666666865
30,0.4166666567,0.5,0.625,0.5833333135
31,0.5,0.4583333433,0.4583333433,0.5416666865
32,0.4583333433,0.4583333433,0.5,0.5
33,0.5833333135,0.4583333433,0.375,0.5416666865
34,0.4583333433,0.4166666567,0.4166666567,0.4166666567
35,0.4583333433,0.4166666567,0.375,0.4583333433
36,0.5416666865,0.4583333433,0.5833333135,0.4166666567
37,0.4583333433,0.5,0.4166666567,0.4583333433
38,0.375,0.5416666865,0.4583333433,0.4583333433
39,0.5,0.5,0.5,0.5
40,0.375,0.5,0.5,0.5
41,0.5416666865,0.4583333433,0.4166666567,0.4583333433
42,0.5,0.4583333433,0.4583333433,0.4166666567
43,0.4166666567,0.4583333433,0.4583333433,0.5
44,0.3333333433,0.4583333433,0.4583333433,0.5
45,0.5,0.4583333433,0.4583333433,0.4583333433
46,0.375,0.4583333433,0.4166666567,0.5
47,0.5,0.4166666567,0.5416666865,0.4166666567
48,0.4166666567,0.4166666567,0.4166666567,0.5
49,0.5833333135,0.375,0.3333333433,0.375
50,0.4166666567,0.375,0.3333333433,0.4166666567
51,0.7083333135,0.375,0.375,0.375
52,0.5416666865,0.4166666567,0.3333333433,0.4166666567
53,0.5833333135,0.4166666567,0.4583333433,0.375
54,0.4583333433,0.375,0.3333333433,0.375
55,0.5,0.375,0.375,0.375
56,0.4583333433,0.3333333433,0.2916666567,0.3333333433
57,0.5,0.375,0.375,0.375
58,0.5,0.4166666567,0.4166666567,0.4166666567
59,0.5833333135,0.4166666567,0.5416666865,0.4583333433
60,0.5416666865,0.375,0.4166666567,0.375
61,0.5416666865,0.3333333433,0.4583333433,0.3333333433
62,0.5416666865,0.2916666567,0.2916666567,0.2916666567
63,0.5,0.3333333433,0.375,0.3333333433
64,0.5,0.3333333433,0.4166666567,0.3333333433
65,0.5833333135,0.3333333433,0.375,0.3333333433
66,0.625,0.375,0.5,0.375
67,0.625,0.375,0.5,0.375
68,0.4166666567,0.4166666567,0.4583333433,0.4166666567
69,0.5416666865,0.4166666567,0.5,0.4166666567
70,0.5416666865,0.375,0.3333333433,0.375
71,0.5416666865,0.4166666567,0.5833333135,0.4166666567
72,0.625,0.4166666567,0.5,0.4166666567
73,0.5,0.4166666567,0.4166666567,0.4166666567
74,0.4166666567,0.4583333433,0.4583333433,0.4583333433
75,0.4166666567,0.4583333433,0.4166666567,0.4583333433
76,0.5,0.4583333433,0.4583333433,0.4583333433
77,0.4166666567,0.5,0.5,0.5
78,0.2916666567,0.5416666865,0.5833333135,0.5416666865
79,0.375,0.5416666865,0.5833333135,0.5416666865
80,0.375,0.5416666865,0.5,0.5416666865
81,0.4583333433,0.5,0.4583333433,0.5
82,0.3333333433,0.5,0.5,0.5
83,0.4583333433,0.5416666865,0.4583333433,0.5416666865
84,0.375,0.5416666865,0.5833333135,0.5416666865
85,0.375,0.5833333135,0.5,0.4583333433
86,0.4583333433,0.5833333135,0.4583333433,0.5833333135
87,0.375,0.5416666865,0.5416666865,0.5416666865
88,0.4166666567,0.5416666865,0.4166666567,0.4583333433
89,0.375,0.5416666865,0.3333333433,0.4166666567
90,0.4166666567,0.5416666865,0.5,0.4166666567
91,0.375,0.5833333135,0.4166666567,0.5833333135
92,0.2916666567,0.5833333135,0.625,0.5833333135
93,0.2916666567,0.5833333135,0.375,0.625
94,0.1666666716,0.5833333135,0.375,0.5833333135
95,0.2916666567,0.5833333135,0.5,0.5
96,0.4583333433,0.5833333135,0.5416666865,0.5
97,0.4583333433,0.5833333135,0.4583333433,0.625
98,0.2916666567,0.5416666865,0.5833333135,0.5833333135
99,0.2916666567,0.5416666865,0.4166666567,0.5833333135
100,0.3333333433,0.5416666865,0.4166666567,0.5833333135
101,0.375,0.5416666865,0.5,0.5
102,0.4583333433,0.5416666865,0.5416666865,0.5416666865
103,0.375,0.5833333135,0.5,0.5833333135
