window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,DLinear,0.4784596860408783,iTransformer,0.36763301491737366,0.11082667112350464,DLinear,0.4784596860408783,0.0
1,DLinear,0.4258004128932953,TimeMixer,0.19199861586093903,0.23380179703235626,DLinear,0.4258004128932953,0.0
2,DLinear,0.5076038837432861,PatchTST,0.22024747729301453,0.2873564064502716,DLinear,0.5076038837432861,0.0
3,DLinear,0.4210739731788635,TimeMixer,0.2721487283706665,0.14892524480819702,DLinear,0.4210739731788635,0.0
4,iTransformer,0.18483899533748627,DLinear,0.11664453148841858,0.06819446384906769,DLinear,0.11664453148841858,0.06819446384906769
5,PatchTST,0.528860867023468,iTransformer,0.2697700262069702,0.2590908408164978,DLinear,0.22259347140789032,0.3062673956155777
6,DLinear,0.38808703422546387,iTransformer,0.06454582512378693,0.32354120910167694,DLinear,0.38808703422546387,0.0
7,DLinear,0.37174689769744873,iTransformer,0.16337701678276062,0.2083698809146881,DLinear,0.37174689769744873,0.0
8,DLinear,0.3809649348258972,PatchTST,0.3338859975337982,0.047078937292099,DLinear,0.3809649348258972,0.0
9,DLinear,0.15713119506835938,TimeMixer,0.025194259360432625,0.13193693570792675,DLinear,0.15713119506835938,0.0
10,iTransformer,0.3049759268760681,DLinear,0.26435017585754395,0.04062575101852417,DLinear,0.26435017585754395,0.04062575101852417
11,DLinear,0.3505858778953552,PatchTST,0.23579901456832886,0.11478686332702637,DLinear,0.3505858778953552,0.0
12,DLinear,0.13349416851997375,PatchTST,0.09211555868387222,0.04137860983610153,DLinear,0.13349416851997375,0.0
13,DLinear,0.20137503743171692,TimeMixer,0.042339425534009933,0.15903561189770699,DLinear,0.20137503743171692,0.0
14,DLinear,0.21872828900814056,TimeMixer,0.20772579312324524,0.011002495884895325,DLinear,0.21872828900814056,0.0
15,TimeMixer,0.33698615431785583,DLinear,0.08537526428699493,0.2516108900308609,DLinear,0.08537526428699493,0.2516108900308609
16,DLinear,0.24930840730667114,iTransformer,0.0035664928145706654,0.24574191449210048,DLinear,0.24930840730667114,0.0
17,iTransformer,0.3791649043560028,DLinear,0.32464203238487244,0.05452287197113037,DLinear,0.32464203238487244,0.05452287197113037
18,iTransformer,0.3768448233604431,DLinear,0.2992093861103058,0.07763543725013733,DLinear,0.2992093861103058,0.07763543725013733
19,DLinear,0.2870505452156067,TimeMixer,0.11499945819377899,0.1720510870218277,DLinear,0.2870505452156067,0.0
20,DLinear,0.18890902400016785,TimeMixer,0.06959083676338196,0.11931818723678589,DLinear,0.18890902400016785,0.0
21,iTransformer,0.4764975607395172,DLinear,0.3956461250782013,0.08085143566131592,DLinear,0.3956461250782013,0.08085143566131592
22,DLinear,0.3949640989303589,iTransformer,0.32350438833236694,0.07145971059799194,DLinear,0.3949640989303589,0.0
23,iTransformer,0.426994651556015,DLinear,0.4080803394317627,0.01891431212425232,DLinear,0.4080803394317627,0.01891431212425232
24,DLinear,0.42226946353912354,iTransformer,0.3870863914489746,0.035183072090148926,DLinear,0.42226946353912354,0.0
25,TimeMixer,0.4340652823448181,DLinear,0.4188968241214752,0.015168458223342896,DLinear,0.4188968241214752,0.015168458223342896
26,iTransformer,0.5593686103820801,TimeMixer,0.28059351444244385,0.27877509593963623,DLinear,0.22522486746311188,0.3341437429189682
27,iTransformer,0.3408290445804596,TimeMixer,0.19397839903831482,0.14685064554214478,DLinear,0.16923311352729797,0.17159593105316162
28,iTransformer,0.2951415479183197,TimeMixer,0.21219861507415771,0.08294293284416199,DLinear,0.16059961915016174,0.13454192876815796
29,TimeMixer,0.35741177201271057,DLinear,0.2813579738140106,0.07605379819869995,DLinear,0.2813579738140106,0.07605379819869995
30,iTransformer,0.15566202998161316,PatchTST,0.11047719419002533,0.04518483579158783,DLinear,0.10131338238716125,0.054348647594451904
31,DLinear,0.13492612540721893,PatchTST,0.0869290754199028,0.04799704998731613,DLinear,0.13492612540721893,0.0
32,iTransformer,0.24188072979450226,TimeMixer,0.04791828989982605,0.1939624398946762,DLinear,0.034631337970495224,0.20724939182400703
33,PatchTST,0.2089199423789978,DLinear,0.19079194962978363,0.018127992749214172,DLinear,0.19079194962978363,0.018127992749214172
34,DLinear,0.2191506326198578,TimeMixer,-0.0010401471517980099,0.2201907797716558,DLinear,0.2191506326198578,0.0
35,iTransformer,0.08500424772500992,TimeMixer,0.06884637475013733,0.01615787297487259,DLinear,-0.16046598553657532,0.24547023326158524
36,TimeMixer,0.08006608486175537,DLinear,-0.1459392011165619,0.22600528597831726,DLinear,-0.1459392011165619,0.22600528597831726
37,PatchTST,0.30594730377197266,DLinear,-0.07314510643482208,0.37909241020679474,DLinear,-0.07314510643482208,0.37909241020679474
38,PatchTST,0.15926843881607056,iTransformer,-0.05432688072323799,0.21359531953930855,DLinear,-0.1751636266708374,0.33443206548690796
39,TimeMixer,-0.06752965599298477,DLinear,-0.10355109721422195,0.03602144122123718,DLinear,-0.10355109721422195,0.03602144122123718
40,PatchTST,0.24862219393253326,iTransformer,-0.02691369503736496,0.2755358889698982,DLinear,-0.22661179304122925,0.4752339869737625
41,PatchTST,0.13344062864780426,DLinear,-0.04499494284391403,0.1784355714917183,DLinear,-0.04499494284391403,0.1784355714917183
42,TimeMixer,0.018538521602749825,DLinear,-0.09697829931974411,0.11551682092249393,DLinear,-0.09697829931974411,0.11551682092249393
43,TimeMixer,0.4192233681678772,PatchTST,-0.0290438923984766,0.4482672605663538,DLinear,-0.20618075132369995,0.6254041194915771
44,PatchTST,0.16666752099990845,TimeMixer,0.0083329351618886,0.15833458583801985,DLinear,-0.23833855986595154,0.40500608086586
45,DLinear,-0.08324991911649704,iTransformer,-0.09762511402368546,0.014375194907188416,DLinear,-0.08324991911649704,0.0
46,PatchTST,0.1884944885969162,iTransformer,-0.0606234148144722,0.2491179034113884,DLinear,-0.23926948010921478,0.427763968706131
47,PatchTST,0.2231067270040512,TimeMixer,0.1848560869693756,0.0382506400346756,DLinear,-0.17633862793445587,0.3994453549385071
48,TimeMixer,0.27015435695648193,PatchTST,-0.05661194026470184,0.3267662972211838,DLinear,-0.20542040467262268,0.4755747616291046
49,TimeMixer,0.23960933089256287,iTransformer,-0.08608115464448929,0.32569048553705215,DLinear,-0.284048467874527,0.5236577987670898
50,TimeMixer,0.018237758427858353,PatchTST,-0.1733754426240921,0.19161320105195045,DLinear,-0.22084937989711761,0.23908713832497597
51,DLinear,0.1640663892030716,iTransformer,0.13166287541389465,0.03240351378917694,DLinear,0.1640663892030716,0.0
52,PatchTST,0.1163790300488472,TimeMixer,0.043244052678346634,0.07313497737050056,DLinear,-0.18572846055030823,0.3021074905991554
53,PatchTST,0.2529369592666626,TimeMixer,0.14782090485095978,0.10511605441570282,DLinear,0.10055603832006454,0.15238092094659805
54,TimeMixer,0.22441138327121735,DLinear,0.09358520060777664,0.1308261826634407,DLinear,0.09358520060777664,0.1308261826634407
