window_index,DLinear,PatchTST,iTransformer,TimeMixer
0,0.8016514182,0.8581824303,0.8564202785,0.8337156177
1,0.8214466572,0.862215519,0.8658295274,0.8553814292
2,0.8218374848,0.8653432727,0.8721041679,0.8675683141
3,0.8358564377,0.8720779419,0.8902533054,0.8514130116
4,0.8240352273,0.8473235965,0.8707395196,0.8368887305
5,0.7689988017,0.7827792168,0.7891203761,0.7727500796
6,0.7552216649,0.7729888558,0.786483109,0.7595626712
7,0.7541744709,0.7891252637,0.8157155514,0.7854013443
8,0.7442218661,0.7730175853,0.7548399568,0.7759655118
9,0.7376639843,0.7654264569,0.7562038898,0.7608954906
10,0.7755918503,0.7857539654,0.787686646,0.7842235565
11,0.7786858678,0.8042675853,0.7734985948,0.7871937752
12,0.7798342109,0.8133385777,0.7910933495,0.8196797371
13,0.7728662491,0.8023936152,0.7841124535,0.7849211693
14,0.7759729028,0.7978460789,0.7869246602,0.8025506139
15,0.757021904,0.7972291112,0.8037846088,0.7805833817
16,0.764952004,0.7918188572,0.8318436742,0.8078160286
17,0.7650703788,0.7861422896,0.8052065969,0.7882363796
18,0.6867997646,0.7021641135,0.7232797742,0.6939778924
19,0.690752089,0.700253427,0.7037150264,0.6870911717
20,0.6898581386,0.7039166093,0.7214963436,0.7131323218
21,0.2042538375,0.1844197065,0.1753772944,0.2110017538
22,0.1619468927,0.1720787883,0.1572018266,0.1759492159
23,0.1597128063,0.163055554,0.1591778547,0.1589899957
24,0.1481646448,0.154357627,0.1648222655,0.1673151255
25,0.1436876655,0.1570618749,0.1688384563,0.1500860602
26,0.1437029094,0.1547288746,0.1674956083,0.1616949886
27,0.1449239403,0.1540204436,0.1612026095,0.1498333365
28,0.2191911489,0.2211103439,0.2250872403,0.2281601429
29,0.2066965848,0.2259753495,0.2249629945,0.2297661155
30,0.2104816288,0.2218136638,0.2266164869,0.2101735324
31,0.2230669856,0.241768077,0.2460350841,0.2346162945
32,0.2741842568,0.2904584706,0.3044825494,0.3098954856
33,0.2618967295,0.2741633356,0.2484664172,0.2668378055
34,0.2648688853,0.2817345858,0.2798836231,0.2991113365
35,0.2757821381,0.281203419,0.2801963091,0.3032040894
36,0.2787377238,0.2773683965,0.282566309,0.2908600271
37,0.2855803072,0.280785352,0.2948745191,0.2829085886
38,0.2915766537,0.280962944,0.2930428386,0.2938365042
39,0.3035254478,0.2855936289,0.2898565531,0.2725141346
40,0.2820873559,0.2859663069,0.2990326583,0.3152889609
41,0.2888234854,0.2881656885,0.2814626694,0.2983420789
42,0.2939361036,0.2907531261,0.2917470634,0.2900247872
43,0.295809567,0.2971360981,0.306006223,0.3172712326
44,0.2991150618,0.296372056,0.2863488197,0.2984726131
45,0.2994788587,0.297198981,0.3077382445,0.3049016893
46,0.2860720754,0.2953848243,0.3053203225,0.3027882576
47,0.297614485,0.2984378338,0.2988946438,0.3235844076
48,0.3103156388,0.308612138,0.3323096335,0.3229886293
49,0.3426032066,0.3689574003,0.363239646,0.3848346472
50,0.3724423647,0.3660252988,0.3873437941,0.3827477396
51,0.4318647683,0.4246405065,0.448756665,0.4248475134
52,0.4619900286,0.4604019225,0.46290645,0.4599636495
53,0.4765689075,0.4591403008,0.4561941624,0.4640421867
54,0.4650184214,0.4488018453,0.4630330503,0.4962213039
55,0.4660178125,0.4575898945,0.48288396,0.4597623348
56,0.4727635384,0.4595829546,0.4565854967,0.4709635079
57,0.4755691588,0.4604278505,0.449835062,0.4735142291
58,0.4496465623,0.4451516569,0.440834552,0.4614602327
59,0.4418599904,0.4249563217,0.4449197352,0.4621979296
60,0.448015064,0.4309854805,0.4565583467,0.4341863096
61,0.4272890091,0.4302119315,0.433527112,0.4256026745
62,0.4592369497,0.4269444048,0.4344944954,0.4371055067
63,0.4424339235,0.4335659742,0.4292690754,0.4350341856
64,0.4428795278,0.4324433804,0.4324679375,0.4145921171
65,0.4557721615,0.4305332601,0.42922616,0.4291616976
66,0.4499324262,0.4277221262,0.4134293497,0.43427369
67,0.4492225647,0.4402504861,0.4268989563,0.4605356157
68,0.4821825325,0.4497535229,0.4517723024,0.468757242
69,0.4880426824,0.4619846344,0.4625532627,0.4577496052
70,0.4818128645,0.4635350704,0.4863904417,0.4749775827
71,0.4752129614,0.4643800557,0.4808191359,0.4656596184
72,0.4894163609,0.4645374715,0.4567273557,0.4941019714
73,0.487749964,0.4774973691,0.4833693504,0.5059654713
74,0.4869675636,0.4774614275,0.5037162304,0.495826602
