window_index,DLinear,PatchTST
0,0.5209508538,0.5113313794
1,0.5519157052,0.5249252319
2,0.5402895808,0.5698928237
3,0.5636847615,0.6477243304
4,0.5662057996,0.5953109264
5,0.5502660871,0.584076643
6,0.5587732196,0.5450812578
7,0.5552173853,0.556792438
8,0.531263113,0.5134646297
9,0.5217442513,0.6259481311
10,0.5482382178,0.5013320446
11,0.5443323255,0.540109694
12,0.5558289886,0.5580628514
13,0.5551323295,0.5558774471
14,0.5617629886,0.5498632789
15,0.5993814468,0.5826559663
16,0.642247498,0.5760502219
17,0.7003356814,0.6192470789
18,0.6956658363,0.6692156196
19,0.7502205372,0.7349088192
20,0.8694395423,0.8023879528
21,0.8229621053,0.7581932545
22,0.7474172711,0.871099174
23,0.8355789781,1.023177981
24,0.8472511172,0.7621414065
25,0.9991221428,0.9873966575
26,1.017476439,0.9204813838
27,1.161602139,1.152347207
28,1.040112853,1.109489322
29,1.092061877,1.565836787
30,1.09799087,1.248602271
31,1.076440334,1.320439458
32,1.209294915,1.229412675
33,1.265655756,1.482409954
34,1.061014295,1.28721571
35,1.183076024,1.2469908
36,1.045323849,1.260117292
37,0.9473093152,0.9410771728
38,0.8911352754,0.9045090079
39,0.8262355328,0.8694666028
40,0.7770778537,0.8396932483
41,0.75222826,0.8643164635
42,0.5755509734,0.7544876933
43,0.64145118,0.7232171893
44,0.5606675744,0.6774044633
45,0.5849441886,0.7024149895
46,0.5637300611,0.6574000716
47,0.5808117986,0.598080039
48,0.7566900253,0.7724302411
49,0.7023027539,0.7167746425
50,0.549680531,0.5618637204
51,0.5701001883,0.5791213512
52,0.511387527,0.5409348011
53,0.5208026767,0.5401043296
54,0.5677409768,0.5634838939
55,0.5764735341,0.6077855229
56,0.6122096181,0.5922992229
57,0.608792305,0.6083247662
58,0.6191122532,0.6345914006
59,0.7109629512,0.7431381345
60,0.6220723391,0.506894052
61,0.6087378263,0.584924221
62,0.6404531598,0.6505226493
63,0.5573806763,0.5353291631
64,0.5386263132,0.5106224418
65,0.4975830615,0.5170352459
66,0.516250968,0.5211882591
67,0.4952563941,0.4391706884
68,0.4429047406,0.4716587961
69,0.4661597013,0.4553319216
70,0.4786764085,0.4605485499
71,0.4686256945,0.4671446085
72,0.4867499769,0.4843019545
73,0.6565023065,0.7047522664
74,0.8063051701,0.7892431617
75,0.908608675,0.9169536233
76,0.5229178071,0.5960972905
77,0.5457983017,0.7042169571
78,0.7288827896,0.7669818401
79,0.6075417995,0.6889308095
80,0.4138464928,0.4315432608
81,0.4507391453,0.4841559827
82,0.4978058338,0.4838797152
83,0.5111308694,0.5512464643
84,0.5227434039,0.6496646404
85,0.50071913,0.6549027562
86,0.5160004497,0.6887119412
87,0.5085272193,0.6088175774
88,0.4956775606,0.663431108
89,0.5015681386,0.6444977522
90,0.5360946655,0.7578444481
91,0.4867630303,0.6464660764
92,0.5503821969,0.7731301785
93,0.5977597237,0.6709702611
94,0.637594223,0.666695118
95,0.6777735353,0.7593862414
96,0.6317585111,0.5501080155
97,0.3649512231,0.3757222593
98,0.3292330503,0.2826844454
99,0.3152887821,0.3131863475
100,0.409443289,0.2905879319
101,0.4007355273,0.2963013351
102,0.4273838103,0.3401558399
103,0.4127927721,0.3458107412
104,0.4684798419,0.3918179572
105,0.4184395969,0.319157809
106,0.4408979416,0.3663181365
107,0.5736406446,0.4722557068
108,0.2624249756,0.2032203674
109,0.2082326412,0.220459342
110,0.1888010055,0.187635377
111,0.1883258373,0.1840283275
112,0.1705318093,0.1757518798
113,0.1614281684,0.1735156029
114,0.166451931,0.1696593165
115,0.2079767138,0.2418055087
116,0.2208677083,0.2276024967
117,0.2124500722,0.2434917688
118,0.2277490944,0.2309131026
119,0.2771918476,0.2569780648
120,0.6634425521,0.7945613861
121,0.6702547669,0.8368776441
122,0.6940963864,0.8186441064
123,0.725733757,0.7774235606
124,0.8194434047,0.9804487228
125,0.7297994494,0.870871067
126,0.6417626739,0.7392988801
127,0.6449559331,0.7273788452
128,0.6404518485,0.7760150433
129,0.6459899545,0.7157878876
130,0.7089484334,0.6901955605
131,0.7187120914,0.731375277
132,0.7543733716,0.9707064033
133,0.8173795342,1.085000634
134,0.8075098991,1.013922691
135,0.8494408727,1.018042564
136,0.7618327737,1.045313001
137,0.8606526256,1.125367403
138,0.7746499181,0.9642090797
139,0.5802294016,0.679617703
140,0.6280795932,0.72513026
141,0.6179037094,0.6904196143
142,0.6449276805,0.6875562668
143,0.4788272381,0.4735141098
144,0.491890192,0.3380717933
145,0.3033483922,0.2620823383
146,0.2867524624,0.2750051916
147,0.2856049538,0.2908079922
148,0.2411746532,0.2561083436
149,0.2439468652,0.2938148677
150,0.2544585466,0.2886365354
151,0.2842855752,0.292072475
152,0.2973229885,0.3413365781
153,0.3114025593,0.3177594244
154,0.2303900868,0.2405447513
155,0.2485267371,0.2427207977
156,0.3108749688,0.2370049208
157,0.2795426548,0.2426483184
158,0.2701199055,0.2496113032
159,0.2624677122,0.2688808143
160,0.278509289,0.2452037185
161,0.3040063381,0.2636471093
162,0.3199997842,0.2702834904
163,0.3374369442,0.3080434203
164,0.3495638669,0.3014733195
165,0.364439249,0.2981893122
166,0.3803954124,0.362796396
167,0.3777025938,0.3567194939
168,0.3940490782,0.3753322661
169,0.4965062141,0.4194630086
170,0.3853473961,0.4410710633
171,0.4207312167,0.4285901487
172,0.3145880699,0.32865569
173,0.3642757833,0.4040648937
174,0.3083678782,0.3124107122
175,0.2381651402,0.2743108869
176,0.2381008714,0.2477429658
177,0.2785196304,0.3306656778
178,0.2462322116,0.2636459172
179,0.2076760381,0.2357194871
180,0.1972053051,0.2290444821
181,0.2183447331,0.2363885641
182,0.212794736,0.2209470719
183,0.2678045928,0.2519580424
184,0.3049248755,0.2777609825
185,0.3263897002,0.2829173505
186,0.2902759016,0.2788075507
187,0.3494757116,0.334349364
188,0.4250894487,0.4482443333
189,0.3331615627,0.3835915625
190,0.2772512436,0.2445487976
191,0.3690792024,0.4289743602
192,0.3398171961,0.2066697031
193,0.3133535683,0.3025206923
194,0.3453554213,0.2643110454
195,0.3220145702,0.2852831781
196,0.3138570786,0.2876704633
197,0.2602071762,0.2568304539
198,0.3409818113,0.5669929981
199,0.3332957923,0.3601957262
200,0.4664266109,0.6528022289
201,0.3993504047,0.5059658885
202,0.4200901985,0.3381544054
203,0.4512106478,0.4613095224
204,0.3707120419,0.4237166941
205,0.3631288111,0.3577801287
206,0.4482325613,0.5626488328
207,0.2763930261,0.2769021094
208,0.2764589787,0.3550004065
209,0.3367087841,0.4170948267
210,0.2742751539,0.3132460117
211,0.2766913474,0.2955434024
212,0.2825477421,0.2757065594
213,0.2772444785,0.260902524
214,0.3160136938,0.3959271908
215,0.3019827902,0.3452032506
216,0.334204644,0.3426809013
217,0.2822622955,0.3556749523
218,0.2692866623,0.2682678401
219,0.2948925197,0.2594123781
220,0.2610259354,0.2708023787
221,0.266023308,0.2527270615
222,0.2623928189,0.2670060098
223,0.3464809358,0.3524652421
224,0.4459747374,0.4012242556
225,0.4110135734,0.3391291201
226,0.4855903387,0.3588854969
227,0.4832415581,0.4148328304
228,0.4346649349,0.3862169981
229,0.3619299233,0.3542666733
230,0.411342144,0.3732271194
231,0.36112988,0.3219217062
232,0.3597341478,0.3319239914
233,0.3650428951,0.3471983969
234,0.3843804896,0.3790305853
235,0.3566458225,0.4103015363
236,0.3692905009,0.4019089937
237,0.3138555288,0.3374345303
238,0.3184536994,0.3592670262
239,0.3257627785,0.3367922306
240,0.3023066223,0.2905344963
241,0.3177708685,0.2642730772
242,0.3015567362,0.285587877
243,0.3567117453,0.3223822415
244,0.3286695182,0.3100099564
245,0.3133816123,0.2758671939
246,0.3552563488,0.2969866395
247,0.2265438586,0.2114592791
248,0.2385215014,0.2454923838
249,0.223889932,0.1908388734
250,0.2422177941,0.22252132
251,0.2562236488,0.2378884405
252,0.1934349388,0.1816902161
253,0.1796021014,0.1743967533
254,0.1895439774,0.1908940524
255,0.1894050837,0.158563599
256,0.1863141805,0.1968971938
257,0.1759154201,0.1514617503
258,0.1549974978,0.1467864066
259,0.1587364972,0.161142692
260,0.1731930822,0.149315536
261,0.185098663,0.1695780009
262,0.1880515367,0.1911112517
263,0.1682044715,0.1670572013
264,0.1699713469,0.180127427
265,0.2034116983,0.227838397
266,0.2030272931,0.2417054921
267,0.2266662568,0.2531820536
268,0.209178403,0.2753210962
269,0.2134656906,0.2245273143
270,0.2198502272,0.1937372833
271,0.3362374604,0.3516915739
272,0.3186315,0.284791261
273,0.3095501959,0.3380269706
274,0.3396231234,0.3646131754
275,0.330388248,0.3544377983
276,0.3371480405,0.3667621315
277,0.3676413596,0.3888772726
278,0.4324724972,0.4225593507
