window_index,DLinear,PatchTST,iTransformer,TimeMixer
0,0.5209508538,0.5113313794,0.5319826007,0.5058560967
1,0.5519157052,0.5249252319,0.5710572004,0.5444326997
2,0.5402895808,0.5698928237,0.5992596149,0.5615800023
3,0.5636847615,0.6477243304,0.6865577698,0.567415297
4,0.5662057996,0.5953109264,0.5664599538,0.5472199917
5,0.5502660871,0.584076643,0.5690076351,0.5449604988
6,0.5587732196,0.5450812578,0.747615099,0.5026635528
7,0.5552173853,0.556792438,0.6366545558,0.5281402469
8,0.531263113,0.5134646297,0.5642537475,0.5471137166
9,0.5217442513,0.6259481311,0.584389925,0.5636443496
10,0.5482382178,0.5013320446,0.6238008142,0.5744883418
11,0.5443323255,0.540109694,0.6760748029,0.551091969
12,0.5558289886,0.5580628514,0.6942258477,0.554559052
13,0.5551323295,0.5558774471,0.6706644893,0.5922308564
14,0.5617629886,0.5498632789,0.6100105643,0.5865246654
15,0.5993814468,0.5826559663,0.691550076,0.6262735724
16,0.642247498,0.5760502219,0.6761748791,0.6677076221
17,0.7003356814,0.6192470789,0.6743718982,0.7169132233
18,0.6956658363,0.6692156196,0.6331143975,0.6297636628
19,0.7502205372,0.7349088192,0.6542261839,0.6911737919
20,0.8694395423,0.8023879528,0.7559636235,0.8113662601
21,0.8229621053,0.7581932545,0.4757481813,0.6551271081
22,0.7474172711,0.871099174,0.7643597126,0.6529402137
23,0.8355789781,1.023177981,1.389281631,0.7005941272
24,0.8472511172,0.7621414065,1.068433404,0.7418733239
25,0.9991221428,0.9873966575,1.537679076,0.8305840492
26,1.017476439,0.9204813838,1.142258525,0.8594779372
27,1.161602139,1.152347207,1.768682837,1.032985806
28,1.040112853,1.109489322,0.7612309456,0.967882216
29,1.092061877,1.565836787,1.672908187,1.026773095
30,1.09799087,1.248602271,1.051435232,0.991294682
31,1.076440334,1.320439458,0.9017569423,1.050334334
32,1.209294915,1.229412675,0.7854542732,1.121655226
33,1.265655756,1.482409954,1.318580151,1.204611182
34,1.061014295,1.28721571,0.8293568492,0.9830176234
35,1.183076024,1.2469908,1.28457737,1.219975829
36,1.045323849,1.260117292,0.883494556,1.024186492
37,0.9473093152,0.9410771728,1.127715111,0.9309452176
38,0.8911352754,0.9045090079,1.340042114,0.8888055682
39,0.8262355328,0.8694666028,0.9109107852,0.8417158127
40,0.7770778537,0.8396932483,0.7713953853,0.7805283666
41,0.75222826,0.8643164635,0.8819872737,0.7024003863
42,0.5755509734,0.7544876933,0.705517292,0.5243625641
43,0.64145118,0.7232171893,0.7006289363,0.5714986324
44,0.5606675744,0.6774044633,0.5920564532,0.5105437636
45,0.5849441886,0.7024149895,0.6011530757,0.5470153093
46,0.5637300611,0.6574000716,0.5980568528,0.5149226189
47,0.5808117986,0.598080039,0.5073434711,0.5587077737
48,0.7566900253,0.7724302411,0.5200065374,0.513217628
49,0.7023027539,0.7167746425,0.4817313254,0.6173716187
50,0.549680531,0.5618637204,0.499717623,0.4925347865
51,0.5701001883,0.5791213512,0.5267342329,0.5185206532
52,0.511387527,0.5409348011,0.6528324485,0.4673365653
53,0.5208026767,0.5401043296,0.6152763367,0.4976503849
54,0.5677409768,0.5634838939,0.5329918861,0.54313308
55,0.5764735341,0.6077855229,0.5627726316,0.5856520534
56,0.6122096181,0.5922992229,0.6270318627,0.5749972463
57,0.608792305,0.6083247662,0.5892706513,0.6306249499
58,0.6191122532,0.6345914006,0.6397542357,0.5905843377
59,0.7109629512,0.7431381345,0.6535129547,0.6793362498
60,0.6220723391,0.506894052,0.6228259206,0.6406007409
61,0.6087378263,0.584924221,0.8357858658,0.6568202972
62,0.6404531598,0.6505226493,0.6588217616,0.6702752113
63,0.5573806763,0.5353291631,0.5856600404,0.5770074725
64,0.5386263132,0.5106224418,0.6172078848,0.5780238509
65,0.4975830615,0.5170352459,0.5232838392,0.5392354727
66,0.516250968,0.5211882591,0.5560019016,0.5126470923
67,0.4952563941,0.4391706884,0.5498126149,0.5393462181
68,0.4429047406,0.4716587961,0.5393379331,0.5175580978
69,0.4661597013,0.4553319216,0.4711651504,0.5389124751
70,0.4786764085,0.4605485499,0.4826458991,0.5394218564
71,0.4686256945,0.4671446085,0.4885959327,0.5422513485
72,0.4867499769,0.4843019545,0.4323973656,0.5587007999
73,0.6565023065,0.7047522664,0.5064218044,0.720461905
74,0.8063051701,0.7892431617,0.5571591258,0.9454660416
75,0.908608675,0.9169536233,0.6739759445,1.14489162
76,0.5229178071,0.5960972905,0.5307412148,0.6640229821
77,0.5457983017,0.7042169571,0.5955665708,0.6036787629
78,0.7288827896,0.7669818401,0.6059442163,0.7670294642
79,0.6075417995,0.6889308095,0.5436343551,0.5977240205
80,0.4138464928,0.4315432608,0.445027858,0.390598774
81,0.4507391453,0.4841559827,0.4380663335,0.4139823914
82,0.4978058338,0.4838797152,0.3938145638,0.4332458079
83,0.5111308694,0.5512464643,0.4409669638,0.4466059208
84,0.5227434039,0.6496646404,0.3337933123,0.4664901793
85,0.50071913,0.6549027562,0.3345350027,0.4810972214
86,0.5160004497,0.6887119412,0.3468837738,0.4673132002
87,0.5085272193,0.6088175774,0.4023563564,0.4557292759
88,0.4956775606,0.663431108,0.3912326097,0.4584358633
89,0.5015681386,0.6444977522,0.5199398398,0.4640502036
90,0.5360946655,0.7578444481,0.4269329011,0.4586313665
91,0.4867630303,0.6464660764,0.3848989904,0.4146546423
92,0.5503821969,0.7731301785,0.4283269346,0.4682951272
93,0.5977597237,0.6709702611,0.4269124568,0.4653321207
94,0.637594223,0.666695118,0.4176795483,0.5470296144
95,0.6777735353,0.7593862414,0.4190181494,0.5813905597
96,0.6317585111,0.5501080155,0.4930869639,0.5205757618
97,0.3649512231,0.3757222593,0.3131717145,0.3621957004
98,0.3292330503,0.2826844454,0.2990736663,0.3272274435
99,0.3152887821,0.3131863475,0.2690202892,0.3350555897
100,0.409443289,0.2905879319,0.5082333684,0.4223200381
101,0.4007355273,0.2963013351,0.4332596362,0.4226156771
102,0.4273838103,0.3401558399,0.4479150772,0.3740109503
103,0.4127927721,0.3458107412,0.4696364403,0.3427505195
104,0.4684798419,0.3918179572,0.5195173621,0.4559262693
105,0.4184395969,0.319157809,0.6430313587,0.4321613312
106,0.4408979416,0.3663181365,0.3398221731,0.3909789622
107,0.5736406446,0.4722557068,0.4464315474,0.5414684415
108,0.2624249756,0.2032203674,0.2548127472,0.3336733878
109,0.2082326412,0.220459342,0.2596354187,0.312078625
110,0.1888010055,0.187635377,0.2976065576,0.3032577932
111,0.1883258373,0.1840283275,0.2569397986,0.2509880364
112,0.1705318093,0.1757518798,0.2528611124,0.207558617
113,0.1614281684,0.1735156029,0.1604359895,0.1942718774
114,0.166451931,0.1696593165,0.2845552862,0.2024071813
115,0.2079767138,0.2418055087,0.2524161041,0.2706506848
116,0.2208677083,0.2276024967,0.2625370324,0.2461487502
117,0.2124500722,0.2434917688,0.3208886683,0.2039263994
118,0.2277490944,0.2309131026,0.2595717609,0.1903266162
119,0.2771918476,0.2569780648,0.4210945368,0.2327225804
120,0.6634425521,0.7945613861,0.7418418527,0.643291831
121,0.6702547669,0.8368776441,1.007152319,0.6190735698
122,0.6940963864,0.8186441064,1.118987441,0.6428102851
123,0.725733757,0.7774235606,0.933765173,0.6472583413
124,0.8194434047,0.9804487228,1.063237071,0.7894389033
125,0.7297994494,0.870871067,0.959416151,0.7334118485
126,0.6417626739,0.7392988801,0.7188282013,0.6072010398
127,0.6449559331,0.7273788452,0.8078362942,0.6321855187
128,0.6404518485,0.7760150433,0.7941014767,0.6318647265
129,0.6459899545,0.7157878876,0.901648581,0.6391220093
130,0.7089484334,0.6901955605,0.8481462002,0.7886050344
131,0.7187120914,0.731375277,0.7091762424,0.7480157018
132,0.7543733716,0.9707064033,0.6732653975,0.7133293748
133,0.8173795342,1.085000634,0.7646066546,0.8246738911
134,0.8075098991,1.013922691,0.7138388157,0.7333740592
135,0.8494408727,1.018042564,1.135497689,0.7724363208
136,0.7618327737,1.045313001,0.8635125756,0.7352747917
137,0.8606526256,1.125367403,0.9177155495,0.7634163499
138,0.7746499181,0.9642090797,0.683519423,0.8102462888
139,0.5802294016,0.679617703,0.4897471368,0.572149694
140,0.6280795932,0.72513026,0.6166981459,0.5696567297
141,0.6179037094,0.6904196143,0.4795547426,0.5854613781
142,0.6449276805,0.6875562668,0.5458757877,0.6202605367
143,0.4788272381,0.4735141098,0.6380283237,0.4463187754
144,0.491890192,0.3380717933,0.4395937026,0.3886865079
145,0.3033483922,0.2620823383,0.3780477047,0.2964474857
146,0.2867524624,0.2750051916,0.3537511826,0.2724704146
147,0.2856049538,0.2908079922,0.2954824865,0.2713302076
148,0.2411746532,0.2561083436,0.3570469916,0.2412460297
149,0.2439468652,0.2938148677,0.349209547,0.2755380273
150,0.2544585466,0.2886365354,0.4269396365,0.2729283571
151,0.2842855752,0.292072475,0.3261517286,0.2805246413
152,0.2973229885,0.3413365781,0.4059294164,0.3205888867
153,0.3114025593,0.3177594244,0.4336512983,0.3681388795
154,0.2303900868,0.2405447513,0.2891665995,0.2143350244
155,0.2485267371,0.2427207977,0.2533502579,0.2206677645
156,0.3108749688,0.2370049208,0.3156503737,0.2441422194
157,0.2795426548,0.2426483184,0.2427155226,0.2595885992
158,0.2701199055,0.2496113032,0.2569720745,0.2868159711
159,0.2624677122,0.2688808143,0.2661068141,0.2596368492
160,0.278509289,0.2452037185,0.2771760523,0.2559280694
161,0.3040063381,0.2636471093,0.2911545336,0.2920566499
162,0.3199997842,0.2702834904,0.3030616045,0.2806091309
163,0.3374369442,0.3080434203,0.2775970101,0.3414841592
164,0.3495638669,0.3014733195,0.2762976587,0.3654849529
165,0.364439249,0.2981893122,0.2795400321,0.3427191973
166,0.3803954124,0.362796396,0.310636282,0.3332133293
167,0.3777025938,0.3567194939,0.3318147361,0.2908782661
168,0.3940490782,0.3753322661,0.3554265201,0.2924741805
169,0.4965062141,0.4194630086,0.6635756493,0.3505864143
170,0.3853473961,0.4410710633,0.2742950916,0.283769697
171,0.4207312167,0.4285901487,0.2834198177,0.333817929
172,0.3145880699,0.32865569,0.273388207,0.2575335503
173,0.3642757833,0.4040648937,0.3134658933,0.2822888196
174,0.3083678782,0.3124107122,0.2668071389,0.2998844385
175,0.2381651402,0.2743108869,0.1972030401,0.2785067558
176,0.2381008714,0.2477429658,0.2221582383,0.2761326134
177,0.2785196304,0.3306656778,0.2579905689,0.2745014727
178,0.2462322116,0.2636459172,0.2852077782,0.2264229506
179,0.2076760381,0.2357194871,0.3021354675,0.21028395
180,0.1972053051,0.2290444821,0.2881529331,0.1987256855
181,0.2183447331,0.2363885641,0.2722786069,0.212694481
182,0.212794736,0.2209470719,0.2772238255,0.2169986218
183,0.2678045928,0.2519580424,0.3730477989,0.2692855299
184,0.3049248755,0.2777609825,0.3285785019,0.3104514182
185,0.3263897002,0.2829173505,0.3050362766,0.3236869872
186,0.2902759016,0.2788075507,0.2150805444,0.2715154886
187,0.3494757116,0.334349364,0.1831687838,0.3432314396
188,0.4250894487,0.4482443333,0.2558225989,0.3871153593
189,0.3331615627,0.3835915625,0.1824477166,0.3052275479
190,0.2772512436,0.2445487976,0.1911808997,0.2624990642
191,0.3690792024,0.4289743602,0.2007092386,0.2711395323
192,0.3398171961,0.2066697031,0.2044430971,0.2664891183
193,0.3133535683,0.3025206923,0.1811660379,0.2774169147
194,0.3453554213,0.2643110454,0.2156806439,0.2938717306
195,0.3220145702,0.2852831781,0.1906012446,0.272557795
196,0.3138570786,0.2876704633,0.2432983369,0.2631602585
197,0.2602071762,0.2568304539,0.1657824367,0.2246858627
198,0.3409818113,0.5669929981,0.1443573982,0.3013220429
199,0.3332957923,0.3601957262,0.1778289825,0.3296805918
200,0.4664266109,0.6528022289,0.2873230278,0.4102043211
201,0.3993504047,0.5059658885,0.2393530458,0.3489383757
202,0.4200901985,0.3381544054,0.311314553,0.3886142671
203,0.4512106478,0.4613095224,0.2553763688,0.4242490828
204,0.3707120419,0.4237166941,0.2473214418,0.3649378717
205,0.3631288111,0.3577801287,0.2627429664,0.4007673264
206,0.4482325613,0.5626488328,0.2867268622,0.4744316041
207,0.2763930261,0.2769021094,0.2441564351,0.278814435
208,0.2764589787,0.3550004065,0.2527121603,0.2709985077
209,0.3367087841,0.4170948267,0.2524489164,0.3472663462
210,0.2742751539,0.3132460117,0.2665469944,0.3058219254
211,0.2766913474,0.2955434024,0.3149074316,0.2466147691
212,0.2825477421,0.2757065594,0.3293798864,0.2273991108
213,0.2772444785,0.260902524,0.3097297251,0.2749443352
214,0.3160136938,0.3959271908,0.346888423,0.2976535857
215,0.3019827902,0.3452032506,0.3822015226,0.2884613276
216,0.334204644,0.3426809013,0.3329539597,0.327103585
217,0.2822622955,0.3556749523,0.3303105533,0.2723655403
218,0.2692866623,0.2682678401,0.2774835229,0.2595125735
219,0.2948925197,0.2594123781,0.3037474155,0.3070923388
220,0.2610259354,0.2708023787,0.3130038679,0.2605805099
221,0.266023308,0.2527270615,0.3008410633,0.2570832074
222,0.2623928189,0.2670060098,0.327381134,0.2521257102
223,0.3464809358,0.3524652421,0.4025699198,0.342063278
224,0.4459747374,0.4012242556,0.4301448166,0.4468418658
225,0.4110135734,0.3391291201,0.4332738221,0.3674333394
226,0.4855903387,0.3588854969,0.4533058405,0.4625211656
227,0.4832415581,0.4148328304,0.4500806332,0.4500688016
228,0.4346649349,0.3862169981,0.426969409,0.3852137029
229,0.3619299233,0.3542666733,0.3775371611,0.3938343227
230,0.411342144,0.3732271194,0.4814170599,0.3745439947
231,0.36112988,0.3219217062,0.3406937122,0.3907929659
232,0.3597341478,0.3319239914,0.3978699148,0.383169651
233,0.3650428951,0.3471983969,0.3683741093,0.3611638248
234,0.3843804896,0.3790305853,0.3921173811,0.3878128827
235,0.3566458225,0.4103015363,0.3718378544,0.3838562071
236,0.3692905009,0.4019089937,0.4588374197,0.3452467024
237,0.3138555288,0.3374345303,0.3799706399,0.3573831618
238,0.3184536994,0.3592670262,0.3731446564,0.3235076964
239,0.3257627785,0.3367922306,0.3628522456,0.3126859963
240,0.3023066223,0.2905344963,0.3797506094,0.2885372937
241,0.3177708685,0.2642730772,0.3824520409,0.3251867294
242,0.3015567362,0.285587877,0.382971853,0.2993137538
243,0.3567117453,0.3223822415,0.427028805,0.3149038553
244,0.3286695182,0.3100099564,0.3182124794,0.2994167507
245,0.3133816123,0.2758671939,0.3454299867,0.2912262678
246,0.3552563488,0.2969866395,0.373047024,0.327072531
