window_index,DLinear,PatchTST,iTransformer,TimeMixer,ZeroPred,Persistence,HAR_EWM
0,0.5209508538,0.5113313794,0.5319826007,0.5058560967,0.5297994018,0.5997528434,0.5997528434
1,0.5519157052,0.5249252319,0.5710572004,0.5444326997,0.550757587,0.6124977469,0.6124977469
2,0.5402895808,0.5698928237,0.5992596149,0.5615800023,0.5499795079,0.5542709827,0.6027812958
3,0.5636847615,0.6477243304,0.6865577698,0.567415297,0.5557796359,0.664652288,0.5900970101
4,0.5662057996,0.5953109264,0.5664599538,0.5472199917,0.5579108,0.8143386841,0.607834518
5,0.5502660871,0.584076643,0.5690076351,0.5449604988,0.5587849021,0.5952106118,0.6123562455
6,0.5587732196,0.5450812578,0.747615099,0.5026635528,0.5573280454,0.6601125002,0.6169962883
7,0.5552173853,0.556792438,0.6366545558,0.5281402469,0.5603553653,0.582885921,0.6233717799
8,0.531263113,0.5134646297,0.5642537475,0.5471137166,0.5513401628,0.6758422852,0.5995571613
9,0.5217442513,0.6259481311,0.584389925,0.5636443496,0.5458171964,0.6317679286,0.5818156004
10,0.5482382178,0.5013320446,0.6238008142,0.5744883418,0.5610339046,0.7157446742,0.5926957726
11,0.5443323255,0.540109694,0.6760748029,0.551091969,0.561203599,0.5581008792,0.5906412005
12,0.5558289886,0.5580628514,0.6942258477,0.554559052,0.5632461905,0.7717248797,0.5861296058
13,0.5551323295,0.5558774471,0.6706644893,0.5922308564,0.584575057,0.7391288877,0.6039295793
14,0.5617629886,0.5498632789,0.6100105643,0.5865246654,0.6019284129,0.7182959914,0.6175771356
15,0.5993814468,0.5826559663,0.691550076,0.6262735724,0.5913670659,1.360009193,0.5973793864
16,0.642247498,0.5760502219,0.6761748791,0.6677076221,0.6143670082,0.8449872136,0.6158792377
17,0.7003356814,0.6192470789,0.6743718982,0.7169132233,0.6366650462,1.05953753,0.6322247386
18,0.6956658363,0.6692156196,0.6331143975,0.6297636628,0.7386105061,1.466093659,0.7394673824
19,0.7502205372,0.7349088192,0.6542261839,0.6911737919,0.7826635242,0.910150528,0.773624599
20,0.8694395423,0.8023879528,0.7559636235,0.8113662601,0.8505444527,1.171166897,0.8274542689
21,0.8229621053,0.7581932545,0.4757481813,0.6551271081,0.6213879585,9.534430504,0.6493808031
22,0.7474172711,0.871099174,0.7643597126,0.6529402137,0.6679821014,1.636383057,0.7184213996
23,0.8355789781,1.023177981,1.389281631,0.7005941272,0.7768961787,1.040912509,0.8397560716
24,0.8472511172,0.7621414065,1.068433404,0.7418733239,0.8306953311,0.6899545789,0.881216526
25,0.9991221428,0.9873966575,1.537679076,0.8305840492,0.8124095798,2.192893028,0.8915963769
26,1.017476439,0.9204813838,1.142258525,0.8594779372,0.8822014928,1.022805333,0.970449388
27,1.161602139,1.152347207,1.768682837,1.032985806,0.9145109057,1.923110604,1.031423211
28,1.040112853,1.109489322,0.7612309456,0.967882216,1.011414528,0.5178236961,1.109011173
29,1.092061877,1.565836787,1.672908187,1.026773095,1.080889344,0.8156687617,1.172054648
30,1.09799087,1.248602271,1.051435232,0.991294682,1.108533263,0.8974416852,1.193116188
31,1.076440334,1.320439458,0.9017569423,1.050334334,1.123926997,0.7334759831,1.193563938
32,1.209294915,1.229412675,0.7854542732,1.121655226,1.229801774,1.191289902,1.301414609
33,1.265655756,1.482409954,1.318580151,1.204611182,1.287150979,1.521416068,1.367293954
34,1.061014295,1.28721571,0.8293568492,0.9830176234,1.261920929,0.4222894907,1.294830203
35,1.183076024,1.2469908,1.28457737,1.219975829,1.263908267,1.391764998,1.299223542
36,1.045323849,1.260117292,0.883494556,1.024186492,1.272333026,0.5216063261,1.275034785
37,0.9473093152,0.9410771728,1.127715111,0.9309452176,1.272487998,0.4141294956,1.22924149
38,0.8911352754,0.9045090079,1.340042114,0.8888055682,1.268827796,0.4273943603,1.186157823
39,0.8262355328,0.8694666028,0.9109107852,0.8417158127,1.335029244,0.4353981316,1.208348989
40,0.7770778537,0.8396932483,0.7713953853,0.7805283666,1.376004219,0.4340176582,1.201359272
41,0.75222826,0.8643164635,0.8819872737,0.7024003863,1.457859039,0.4670241773,1.227529764
42,0.5755509734,0.7544876933,0.705517292,0.5243625641,1.444323063,0.9420854449,1.138993382
43,0.64145118,0.7232171893,0.7006289363,0.5714986324,1.52315712,0.5313087702,1.157991767
44,0.5606675744,0.6774044633,0.5920564532,0.5105437636,1.455351233,0.8048407435,1.040239573
45,0.5849441886,0.7024149895,0.6011530757,0.5470153093,1.496024728,0.4814268351,1.037055969
46,0.5637300611,0.6574000716,0.5980568528,0.5149226189,1.497084141,0.5191208124,0.9979979992
47,0.5808117986,0.598080039,0.5073434711,0.5587077737,1.429854274,0.8752336502,0.8937566876
48,0.7566900253,0.7724302411,0.5200065374,0.513217628,1.426224351,5.21398592,0.8936242461
49,0.7023027539,0.7167746425,0.4817313254,0.6173716187,1.53651154,0.9297914505,0.9707732201
50,0.549680531,0.5618637204,0.499717623,0.4925347865,1.578388214,0.2812061012,0.9555452466
51,0.5701001883,0.5791213512,0.5267342329,0.5185206532,1.597016454,0.2759125829,0.9352767467
52,0.511387527,0.5409348011,0.6528324485,0.4673365653,1.517255187,0.6991405487,0.8718250394
53,0.5208026767,0.5401043296,0.6152763367,0.4976503849,1.446330905,0.5376009345,0.8094136119
54,0.5677409768,0.5634838939,0.5329918861,0.54313308,1.488670707,0.4847432673,0.8208701015
55,0.5764735341,0.6077855229,0.5627726316,0.5856520534,1.479957581,0.5721149445,0.8094452024
56,0.6122096181,0.5922992229,0.6270318627,0.5749972463,1.415658116,1.071635365,0.8035537601
57,0.608792305,0.6083247662,0.5892706513,0.6306249499,1.358622551,0.7162280083,0.7686694264
58,0.6191122532,0.6345914006,0.6397542357,0.5905843377,1.370481849,1.267522454,0.7715706825
59,0.7109629512,0.7431381345,0.6535129547,0.6793362498,1.37052834,1.834280849,0.7717178464
60,0.6220723391,0.506894052,0.6228259206,0.6406007409,1.350025296,0.5927202106,0.7615554333
61,0.6087378263,0.584924221,0.8357858658,0.6568202972,1.325619578,0.5830931664,0.7437250018
62,0.6404531598,0.6505226493,0.6588217616,0.6702752113,1.308646917,0.6014254689,0.7343253493
63,0.5573806763,0.5353291631,0.5856600404,0.5770074725,1.211762547,1.144059777,0.6775800586
64,0.5386263132,0.5106224418,0.6172078848,0.5780238509,1.183450937,0.9612261653,0.6473146677
65,0.4975830615,0.5170352459,0.5232838392,0.5392354727,1.068356395,1.640014052,0.5696378946
66,0.516250968,0.5211882591,0.5560019016,0.5126470923,1.011456013,1.308930755,0.5288606286
67,0.4952563941,0.4391706884,0.5498126149,0.5393462181,0.8844922185,1.901057243,0.4589496851
68,0.4429047406,0.4716587961,0.5393379331,0.5175580978,0.8942875862,0.5304293036,0.4620197713
69,0.4661597013,0.4553319216,0.4711651504,0.5389124751,0.8302783966,1.124174833,0.4351263344
70,0.4786764085,0.4605485499,0.4826458991,0.5394218564,0.793923378,0.7966324687,0.4242095649
71,0.4686256945,0.4671446085,0.4885959327,0.5422513485,0.7861534953,0.58670187,0.4232254028
72,0.4867499769,0.4843019545,0.4323973656,0.5587007999,0.7439795136,0.6855360866,0.4203311503
73,0.6565023065,0.7047522664,0.5064218044,0.720461905,0.6681435704,1.849714279,0.5090870857
74,0.8063051701,0.7892431617,0.5571591258,0.9454660416,0.5829127431,2.061127901,0.5901072621
75,0.908608675,0.9169536233,0.6739759445,1.14489162,0.5624904037,1.382063866,0.7215490341
76,0.5229178071,0.5960972905,0.5307412148,0.6640229821,0.570635736,1.664559364,0.6950321198
77,0.5457983017,0.7042169571,0.5955665708,0.6036787629,0.5767945051,0.5958837867,0.7029493451
78,0.7288827896,0.7669818401,0.6059442163,0.7670294642,0.5061368346,1.682356477,0.7287754416
79,0.6075417995,0.6889308095,0.5436343551,0.5977240205,0.4973741472,0.5528645515,0.7323784828
80,0.4138464928,0.4315432608,0.445027858,0.390598774,0.483276397,1.871304393,0.6599111557
81,0.4507391453,0.4841559827,0.4380663335,0.4139823914,0.4825161397,0.4493938386,0.656267345
82,0.4978058338,0.4838797152,0.3938145638,0.4332458079,0.4708007276,0.5786083937,0.6659488082
83,0.5111308694,0.5512464643,0.4409669638,0.4466059208,0.4832019806,0.4747421443,0.7106127143
