window_index,DLinear,PatchTST,iTransformer,TimesNet
0,0.5882273912,0.6129426956,0.6102428436,0.6052648425
1,0.6018750072,0.6127735972,0.6174739003,0.6195412874
2,0.6029711962,0.6300038695,0.6189552546,0.6202459931
3,0.6015840769,0.6283337474,0.6123436689,0.6202847958
4,0.5999007821,0.6154001951,0.6050541997,0.6124082208
5,0.5843721628,0.6005216241,0.5961089134,0.5944722295
6,0.5815448761,0.583216548,0.5915099978,0.5898612738
7,0.5815499425,0.5919286609,0.5879569054,0.5930791497
8,0.5730967522,0.5769478679,0.5909852386,0.5875946283
9,0.5775051713,0.5976270437,0.5880463123,0.5863385797
10,0.5817966461,0.5828508735,0.5812926292,0.5891926885
11,0.590123713,0.5993664265,0.5916799903,0.5956934094
12,0.5826402307,0.5963259935,0.597872138,0.5984822512
13,0.5852543712,0.6017260551,0.5930860639,0.6014002562
14,0.5834237337,0.6090436578,0.5906910896,0.5965020061
15,0.5804151297,0.5956405401,0.5914700031,0.5958067775
16,0.5815320015,0.5873376131,0.5931187868,0.5946267247
17,0.5804846883,0.5833731294,0.5845689774,0.5915327072
18,0.5721081495,0.5909800529,0.5782749057,0.5759276152
19,0.5959216356,0.6011141539,0.589959085,0.5944849849
20,0.6011379361,0.6103457212,0.6058961749,0.6007966995
21,0.4619778097,0.4649458528,0.4464653432,0.4497069418
22,0.4514952302,0.4488575459,0.4515246749,0.4484535754
23,0.4542410672,0.449480325,0.4514148235,0.4488453269
24,0.4649246633,0.4413453043,0.4655754566,0.4575070441
25,0.4664754272,0.4639142454,0.4555321634,0.4585238993
26,0.4632184207,0.4740756452,0.4599614739,0.459759295
27,0.469101578,0.4602842927,0.4602686167,0.4602217078
28,0.4636548758,0.4588840902,0.4635137916,0.4602889121
29,0.4617825449,0.4680692554,0.4594534039,0.4617158771
30,0.4612241089,0.4804120362,0.4574955404,0.4603018165
31,0.4791400433,0.4671237469,0.4800553918,0.4732006192
32,0.4812219143,0.4891041219,0.4747523665,0.4728547037
33,0.4712101221,0.4808778763,0.4690522552,0.4667737484
34,0.4776338041,0.464325577,0.4748110473,0.4715704322
35,0.4770418406,0.4592570364,0.4722261429,0.4668763578
36,0.4761752188,0.4636894464,0.4700406492,0.4685840607
37,0.4758727252,0.4704583883,0.471994549,0.4685471356
38,0.4763492346,0.4687671661,0.4678721726,0.468952775
39,0.4795010984,0.4817471206,0.4702944458,0.468373239
40,0.4789021313,0.4643508792,0.4708348215,0.4712106586
41,0.4752631485,0.4575386941,0.4752352536,0.4706392884
42,0.4742546082,0.4818329513,0.4758087397,0.4717400968
43,0.4815331399,0.4691281915,0.4706125855,0.4726732373
44,0.4791196585,0.4690799713,0.4742998779,0.472877562
45,0.4808256924,0.4722649157,0.4722225964,0.4713362157
46,0.4795643985,0.4811578095,0.4668858349,0.4727011621
47,0.4810765982,0.4685084522,0.46523121,0.4731642008
48,0.4777522385,0.4823916852,0.4678376019,0.4738339484
49,0.4765948355,0.4844825268,0.4751571119,0.4745012522
50,0.4817961156,0.478613615,0.4721645117,0.476357311
51,0.4813232422,0.4829222262,0.4733591676,0.477697432
52,0.478644371,0.4636287689,0.4798056185,0.4759346247
53,0.4766972959,0.4719125628,0.4764760435,0.4732040167
54,0.4744671285,0.4758154452,0.4795337021,0.4741305411
55,0.4815894663,0.4840219617,0.4742946029,0.4713491201
56,0.4801311493,0.4711997509,0.4708626568,0.4706475735
57,0.4730360806,0.4657407105,0.4735951126,0.4701723456
58,0.4709450901,0.4765557647,0.4699786603,0.4651412964
59,0.4681416452,0.4656987786,0.4605911672,0.4568246603
60,0.4749434292,0.4807628393,0.474917233,0.4637156129
61,0.4799389243,0.460442543,0.4634265304,0.46474424
62,0.4758301377,0.4688721597,0.4776100814,0.4655774534
63,0.4895807505,0.4845432043,0.4832715392,0.4770930707
64,0.4940871596,0.4974006116,0.4822339416,0.4805765748
65,0.496655196,0.4835316837,0.4891503155,0.4800581634
66,0.4925692976,0.4818145335,0.4826812744,0.4792616367
67,0.4933323264,0.489521116,0.4817433059,0.4779589474
68,0.4899469912,0.4795042574,0.5023609996,0.4885570109
69,0.4988937378,0.4885060489,0.4853284359,0.4883191586
70,0.5023142695,0.4924555421,0.4870636463,0.4884635508
71,0.5010166168,0.4855926931,0.4902105331,0.4905899167
72,0.4983368814,0.5040412545,0.4883327484,0.4916393757
73,0.504232049,0.4960487783,0.4979252517,0.4908079803
74,0.497000277,0.4945523441,0.5012372732,0.4914253652
75,0.5049851537,0.5001198649,0.4933640659,0.4936548769
