window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,PatchTST,0.625,DLinear,0.625,0.0,DLinear,0.625,0.0
1,iTransformer,0.5833333134651184,TimesNet,0.5416666865348816,0.041666626930236816,DLinear,0.4583333432674408,0.12499997019767761
2,DLinear,0.5833333134651184,PatchTST,0.5416666865348816,0.041666626930236816,DLinear,0.5833333134651184,0.0
3,iTransformer,0.5,DLinear,0.5,0.0,DLinear,0.5,0.0
4,PatchTST,0.5,DLinear,0.5,0.0,DLinear,0.5,0.0
5,iTransformer,0.5833333134651184,PatchTST,0.5416666865348816,0.041666626930236816,DLinear,0.5,0.08333331346511841
6,DLinear,0.4583333432674408,TimesNet,0.4166666567325592,0.04166668653488159,DLinear,0.4583333432674408,0.0
7,DLinear,0.5833333134651184,TimesNet,0.5416666865348816,0.041666626930236816,DLinear,0.5833333134651184,0.0
8,PatchTST,0.5833333134651184,DLinear,0.5416666865348816,0.041666626930236816,DLinear,0.5416666865348816,0.041666626930236816
9,TimesNet,0.6666666865348816,iTransformer,0.625,0.04166668653488159,DLinear,0.375,0.2916666865348816
10,TimesNet,0.6666666865348816,DLinear,0.5,0.1666666865348816,DLinear,0.5,0.1666666865348816
11,PatchTST,0.4583333432674408,iTransformer,0.4166666567325592,0.04166668653488159,DLinear,0.4166666567325592,0.04166668653488159
12,PatchTST,0.4583333432674408,TimesNet,0.375,0.0833333432674408,DLinear,0.375,0.0833333432674408
13,DLinear,0.5,iTransformer,0.4583333432674408,0.041666656732559204,DLinear,0.5,0.0
14,PatchTST,0.5833333134651184,DLinear,0.4583333432674408,0.12499997019767761,DLinear,0.4583333432674408,0.12499997019767761
15,PatchTST,0.5416666865348816,DLinear,0.4583333432674408,0.0833333432674408,DLinear,0.4583333432674408,0.0833333432674408
16,DLinear,0.625,PatchTST,0.5,0.125,DLinear,0.625,0.0
17,TimesNet,0.625,DLinear,0.5416666865348816,0.08333331346511841,DLinear,0.5416666865348816,0.08333331346511841
18,PatchTST,0.8333333134651184,iTransformer,0.7083333134651184,0.125,DLinear,0.4583333432674408,0.3749999701976776
19,DLinear,0.625,TimesNet,0.5833333134651184,0.04166668653488159,DLinear,0.625,0.0
20,TimesNet,0.5833333134651184,PatchTST,0.5833333134651184,0.0,DLinear,0.5833333134651184,0.0
21,DLinear,0.75,iTransformer,0.625,0.125,DLinear,0.75,0.0
22,iTransformer,0.5833333134651184,PatchTST,0.5833333134651184,0.0,DLinear,0.5833333134651184,0.0
23,PatchTST,0.6666666865348816,TimesNet,0.5833333134651184,0.08333337306976318,DLinear,0.5,0.1666666865348816
24,TimesNet,0.625,DLinear,0.5833333134651184,0.04166668653488159,DLinear,0.5833333134651184,0.04166668653488159
25,iTransformer,0.7083333134651184,TimesNet,0.625,0.08333331346511841,DLinear,0.5833333134651184,0.125
26,iTransformer,0.625,TimesNet,0.5833333134651184,0.04166668653488159,DLinear,0.5,0.125
27,iTransformer,0.625,TimesNet,0.5833333134651184,0.04166668653488159,DLinear,0.5416666865348816,0.08333331346511841
28,TimesNet,0.5416666865348816,PatchTST,0.5416666865348816,0.0,DLinear,0.5416666865348816,0.0
29,iTransformer,0.5833333134651184,DLinear,0.5416666865348816,0.041666626930236816,DLinear,0.5416666865348816,0.041666626930236816
30,iTransformer,0.6666666865348816,TimesNet,0.5,0.1666666865348816,DLinear,0.4166666567325592,0.2500000298023224
31,iTransformer,0.5,TimesNet,0.4583333432674408,0.041666656732559204,DLinear,0.4583333432674408,0.041666656732559204
32,TimesNet,0.4583333432674408,iTransformer,0.4166666567325592,0.04166668653488159,DLinear,0.4166666567325592,0.04166668653488159
33,PatchTST,0.5416666865348816,DLinear,0.5,0.04166668653488159,DLinear,0.5,0.04166668653488159
34,PatchTST,0.625,DLinear,0.5416666865348816,0.08333331346511841,DLinear,0.5416666865348816,0.08333331346511841
35,TimesNet,0.4166666567325592,iTransformer,0.4166666567325592,0.0,DLinear,0.4166666567325592,0.0
36,PatchTST,0.5416666865348816,TimesNet,0.4583333432674408,0.0833333432674408,DLinear,0.4583333432674408,0.0833333432674408
37,iTransformer,0.5416666865348816,DLinear,0.5416666865348816,0.0,DLinear,0.5416666865348816,0.0
38,iTransformer,0.625,TimesNet,0.5416666865348816,0.08333331346511841,DLinear,0.5,0.125
39,iTransformer,0.5416666865348816,TimesNet,0.5,0.04166668653488159,DLinear,0.5,0.04166668653488159
40,TimesNet,0.5,iTransformer,0.5,0.0,DLinear,0.5,0.0
41,TimesNet,0.4583333432674408,iTransformer,0.4583333432674408,0.0,DLinear,0.4583333432674408,0.0
42,TimesNet,0.4583333432674408,iTransformer,0.4583333432674408,0.0,DLinear,0.4583333432674408,0.0
43,iTransformer,0.5,PatchTST,0.5,0.0,DLinear,0.4583333432674408,0.041666656732559204
44,PatchTST,0.5,TimesNet,0.4583333432674408,0.041666656732559204,DLinear,0.4583333432674408,0.041666656732559204
45,TimesNet,0.4583333432674408,iTransformer,0.4166666567325592,0.04166668653488159,DLinear,0.3333333432674408,0.125
46,DLinear,0.5416666865348816,TimesNet,0.4583333432674408,0.0833333432674408,DLinear,0.5416666865348816,0.0
47,PatchTST,0.5416666865348816,DLinear,0.4583333432674408,0.0833333432674408,DLinear,0.4583333432674408,0.0833333432674408
