window_index,DLinear,PatchTST,iTransformer,TimesNet
0,0.5833333135,0.5,0.4375,0.375
1,0.5416666865,0.5208333135,0.4791666567,0.4166666567
2,0.6041666865,0.5416666865,0.3958333433,0.4166666567
3,0.5625,0.4791666567,0.5,0.4166666567
4,0.625,0.5,0.5,0.5208333135
5,0.5208333135,0.4375,0.5833333135,0.5625
6,0.5416666865,0.5,0.4375,0.375
7,0.5416666865,0.4166666567,0.4791666567,0.4166666567
8,0.5,0.6041666865,0.4583333433,0.4166666567
9,0.4375,0.4583333433,0.5208333135,0.5625
10,0.4583333433,0.4583333433,0.5208333135,0.5
11,0.4166666567,0.5,0.4166666567,0.4583333433
12,0.5,0.4166666567,0.4375,0.4375
13,0.4791666567,0.3958333433,0.3541666567,0.4375
14,0.4583333433,0.4583333433,0.5,0.4375
15,0.5,0.3541666567,0.3333333433,0.3958333433
16,0.4583333433,0.5833333135,0.3958333433,0.4166666567
17,0.4583333433,0.5,0.4583333433,0.4583333433
18,0.4375,0.625,0.5416666865,0.5416666865
19,0.5208333135,0.5,0.5625,0.6458333135
20,0.4791666567,0.6041666865,0.6041666865,0.5208333135
21,0.4791666567,0.5,0.5208333135,0.5
22,0.5416666865,0.5625,0.5625,0.5
23,0.5416666865,0.4166666567,0.5208333135,0.5
24,0.5625,0.5416666865,0.5208333135,0.5208333135
25,0.5,0.5416666865,0.5,0.5
26,0.5625,0.5833333135,0.4791666567,0.4791666567
27,0.5,0.4375,0.4791666567,0.4791666567
28,0.5208333135,0.5416666865,0.4583333433,0.4791666567
29,0.5208333135,0.6458333135,0.4791666567,0.4583333433
30,0.5208333135,0.4791666567,0.5208333135,0.4375
31,0.4375,0.4166666567,0.4166666567,0.4166666567
32,0.3958333433,0.5208333135,0.3958333433,0.3958333433
33,0.5625,0.4583333433,0.375,0.4166666567
34,0.3541666567,0.4791666567,0.4166666567,0.4166666567
35,0.5,0.4583333433,0.4375,0.4166666567
36,0.4583333433,0.4375,0.375,0.4166666567
37,0.5416666865,0.5,0.4166666567,0.4166666567
38,0.3958333433,0.5,0.3958333433,0.4166666567
39,0.3958333433,0.4583333433,0.4166666567,0.4166666567
40,0.4791666567,0.375,0.4375,0.4166666567
41,0.4166666567,0.4166666567,0.3958333433,0.3958333433
42,0.5416666865,0.4791666567,0.4166666567,0.4166666567
43,0.5625,0.5208333135,0.4166666567,0.4166666567
44,0.4583333433,0.5,0.4375,0.4375
45,0.3541666567,0.6041666865,0.4375,0.4375
46,0.5416666865,0.5,0.4166666567,0.4166666567
47,0.5625,0.4583333433,0.4166666567,0.4166666567
48,0.5833333135,0.3958333433,0.4166666567,0.4166666567
49,0.4375,0.375,0.3958333433,0.3958333433
50,0.5,0.5833333135,0.4166666567,0.4166666567
51,0.4583333433,0.3958333433,0.4166666567,0.4166666567
52,0.5833333135,0.5416666865,0.4375,0.4375
53,0.5416666865,0.5208333135,0.4583333433,0.4583333433
54,0.4791666567,0.4375,0.4583333433,0.4583333433
55,0.4583333433,0.3541666567,0.4583333433,0.4583333433
56,0.5208333135,0.5208333135,0.4375,0.4375
57,0.4583333433,0.5416666865,0.4375,0.4375
58,0.4375,0.4791666567,0.4583333433,0.4583333433
59,0.625,0.5416666865,0.4791666567,0.4791666567
60,0.5,0.5,0.4583333433,0.4583333433
61,0.5833333135,0.5625,0.4375,0.4583333433
62,0.5208333135,0.5,0.4166666567,0.4375
63,0.5208333135,0.5208333135,0.4375,0.4375
64,0.5625,0.6041666865,0.4375,0.4375
65,0.5,0.5,0.4375,0.4375
66,0.5,0.5625,0.4583333433,0.4583333433
67,0.4791666567,0.5625,0.4791666567,0.4791666567
68,0.4166666567,0.4375,0.5,0.5
69,0.5208333135,0.4583333433,0.5,0.5
70,0.5416666865,0.4583333433,0.4791666567,0.4791666567
71,0.5208333135,0.4375,0.5,0.5
72,0.4791666567,0.4375,0.5,0.5
73,0.5,0.5,0.5,0.5
74,0.5416666865,0.4166666567,0.5,0.5
75,0.5416666865,0.5,0.5,0.5
76,0.4583333433,0.5625,0.5,0.5
77,0.4166666567,0.5416666865,0.5208333135,0.5208333135
78,0.4583333433,0.5,0.5416666865,0.5416666865
79,0.4583333433,0.6041666865,0.5625,0.5625
80,0.5,0.5833333135,0.5833333135,0.5833333135
81,0.5,0.4791666567,0.5625,0.5625
82,0.4166666567,0.4375,0.5416666865,0.5625
83,0.4375,0.5208333135,0.5625,0.5625
84,0.375,0.5416666865,0.5833333135,0.5625
85,0.5208333135,0.4583333433,0.5833333135,0.5833333135
86,0.5833333135,0.4375,0.5625,0.5833333135
87,0.5,0.5416666865,0.5625,0.5625
