window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,DLinear,0.40319696068763733,iTransformer,0.2827700972557068,0.12042686343193054,DLinear,0.40319696068763733,0.0
1,iTransformer,0.313850462436676,DLinear,0.20865964889526367,0.10519081354141235,DLinear,0.20865964889526367,0.10519081354141235
2,DLinear,0.36220261454582214,PatchTST,0.2857174277305603,0.07648518681526184,DLinear,0.36220261454582214,0.0
3,DLinear,0.3660278022289276,PatchTST,0.19727088510990143,0.16875691711902618,DLinear,0.3660278022289276,0.0
4,PatchTST,0.2925851345062256,DLinear,0.22702482342720032,0.06556031107902527,DLinear,0.22702482342720032,0.06556031107902527
5,PatchTST,0.43225184082984924,DLinear,0.2005341798067093,0.23171766102313995,DLinear,0.2005341798067093,0.23171766102313995
6,PatchTST,0.1926148384809494,DLinear,0.16528883576393127,0.027326002717018127,DLinear,0.16528883576393127,0.027326002717018127
7,DLinear,0.3182448148727417,PatchTST,0.07350300252437592,0.24474181234836578,DLinear,0.3182448148727417,0.0
8,PatchTST,0.25517523288726807,DLinear,0.24847251176834106,0.006702721118927002,DLinear,0.24847251176834106,0.006702721118927002
9,DLinear,0.3267380893230438,TimesNet,0.16476860642433167,0.16196948289871216,DLinear,0.3267380893230438,0.0
10,TimesNet,0.1387230008840561,DLinear,0.12929126620292664,0.009431734681129456,DLinear,0.12929126620292664,0.009431734681129456
11,DLinear,0.23657427728176117,PatchTST,0.1686338484287262,0.06794042885303497,DLinear,0.23657427728176117,0.0
12,DLinear,0.247639462351799,iTransformer,0.0933658629655838,0.1542735993862152,DLinear,0.247639462351799,0.0
13,PatchTST,0.3705328702926636,DLinear,0.12295224517583847,0.2475806251168251,DLinear,0.12295224517583847,0.2475806251168251
14,PatchTST,0.21853035688400269,iTransformer,0.10644111037254333,0.11208924651145935,DLinear,-0.03152831643819809,0.2500586733222008
15,DLinear,0.22304072976112366,PatchTST,-0.02770300582051277,0.25074373558163643,DLinear,0.22304072976112366,0.0
16,PatchTST,0.2741653323173523,DLinear,0.2010410577058792,0.07312427461147308,DLinear,0.2010410577058792,0.07312427461147308
17,DLinear,0.2030603140592575,iTransformer,0.090878926217556,0.11218138784170151,DLinear,0.2030603140592575,0.0
18,PatchTST,0.13644160330295563,DLinear,0.121547631919384,0.014893971383571625,DLinear,0.121547631919384,0.014893971383571625
19,iTransformer,0.33851414918899536,DLinear,0.18045943975448608,0.15805470943450928,DLinear,0.18045943975448608,0.15805470943450928
20,DLinear,0.2154766172170639,iTransformer,0.2032022327184677,0.012274384498596191,DLinear,0.2154766172170639,0.0
21,PatchTST,0.19088740646839142,iTransformer,0.17115840315818787,0.019729003310203552,DLinear,0.0007488788687624037,0.19013852759962901
22,iTransformer,0.21586917340755463,DLinear,0.19655157625675201,0.019317597150802612,DLinear,0.19655157625675201,0.019317597150802612
23,iTransformer,0.1587243378162384,DLinear,0.03438067436218262,0.12434366345405579,DLinear,0.03438067436218262,0.12434366345405579
24,DLinear,0.16983471810817719,TimesNet,0.042599763721227646,0.12723495438694954,DLinear,0.16983471810817719,0.0
25,iTransformer,0.16704146564006805,PatchTST,0.1386663168668747,0.02837514877319336,DLinear,0.11410656571388245,0.05293489992618561
