window_index,DLinear,PatchTST,iTransformer,TimesNet,ZeroPred,Persistence,HAR_EWM
0,0.5643882751,0.5743860602,0.5706912875,0.5773288608,0.5704450607,0.5609387755,0.5609387755
1,0.5874221921,0.6073111296,0.6064836383,0.5976038575,0.5939142704,0.5867348909,0.5867348909
2,0.5884312391,0.5995839238,0.6070600152,0.6003919244,0.5985251069,0.5913892984,0.5904597044
3,0.6138252616,0.6402302384,0.6330043077,0.6338189244,0.6302233338,1.009916306,0.62053895
4,0.6367540359,0.6370744705,0.6462474465,0.6500945091,0.6452867389,1.271093011,0.6321378946
5,0.603458941,0.59960109,0.6206138134,0.6198896766,0.618924439,2.81126976,0.6077978015
6,0.6003721356,0.602948904,0.6007262468,0.6077666879,0.605447948,2.185689688,0.5922768712
7,0.5996479392,0.5950265527,0.6121455431,0.6180925965,0.6119115353,0.7371935844,0.6004034877
8,0.5823344588,0.6298947334,0.6047253013,0.6116918921,0.6062681675,1.024010777,0.5955435634
9,0.5925700068,0.6236577034,0.5892286301,0.6031370759,0.6062704325,0.6191577315,0.5956373811
10,0.5905361176,0.5903006196,0.6068056822,0.6103124022,0.6103246212,0.6035999656,0.5987171531
11,0.6047037244,0.6117222905,0.6060946584,0.6181263924,0.613414824,0.8056237102,0.6006650925
12,0.6028384566,0.6158616543,0.6301381588,0.6249354482,0.6175915599,0.6054084897,0.6060698032
13,0.5948143601,0.6198731661,0.6043714881,0.6209511161,0.6092441678,1.657452583,0.5989702344
14,0.6064736843,0.6030640006,0.6041858792,0.6126077771,0.6054289341,0.8348662257,0.5942101479
15,0.5932101011,0.588350594,0.6061477065,0.6140005589,0.6064677238,0.6190469861,0.5959389806
16,0.5947025418,0.6164157987,0.6064385772,0.6115432382,0.6046187282,0.7670269012,0.5933941007
17,0.5885519981,0.6076247096,0.5934195518,0.6048018932,0.6035509706,0.6427714825,0.592681706
18,0.5545650125,0.5667874813,0.5666285157,0.5672106147,0.5680744648,3.770196199,0.5621717572
19,0.5620197654,0.5578743815,0.5730981827,0.5768310428,0.5757774711,0.6325318813,0.568766892
20,0.5669298768,0.5879282951,0.568728745,0.5767871737,0.5810739994,0.6181702018,0.571039021
21,0.3145895004,0.3357220888,0.3121427894,0.3215709925,0.3227474988,25.00498009,0.3729176819
22,0.3054846823,0.2970006764,0.3113886416,0.3155130446,0.3152290583,1.055078506,0.3809707463
23,0.3037193716,0.3320584595,0.3061422706,0.3102291524,0.3116346896,0.7704731822,0.3595292568
24,0.3043825328,0.3112649024,0.3085075915,0.3079747856,0.3103635609,0.6688790321,0.343536526
25,0.3076408803,0.3236275911,0.3141576648,0.3135626018,0.3159683943,0.3899018764,0.3556512892
26,0.3130057156,0.3206044734,0.3134156168,0.3178136647,0.3134557307,0.5339832306,0.3595335484
27,0.3141221404,0.3326562047,0.3251765072,0.3194463551,0.3159001172,0.4605558813,0.3628810346
28,0.3086643815,0.3246294856,0.3157420456,0.3156512082,0.3158297241,0.3194819391,0.3611571491
29,0.3216629028,0.3168966472,0.3186249435,0.3270557225,0.3250168562,0.3530882597,0.365994215
30,0.3330738246,0.3272280991,0.3337387741,0.334659934,0.3351792395,0.7037425041,0.3781957328
31,0.334715873,0.3310334384,0.3332787454,0.3402540684,0.3381308615,0.338542074,0.3770081997
32,0.3394819796,0.330747962,0.3379223347,0.3420245647,0.3377698362,0.5719408393,0.3801818192
33,0.3264017403,0.332752943,0.336302191,0.3401404321,0.3377974927,1.03141737,0.3683960736
34,0.3330418766,0.3304781914,0.3338339329,0.3457098007,0.3374782503,0.3907953501,0.3689268529
35,0.3329553306,0.3334727287,0.3286007941,0.3346352875,0.3329414129,0.9645068049,0.3530464172
36,0.3290192187,0.3366765976,0.3289669454,0.3329820335,0.3326489329,0.3965183794,0.3489181995
37,0.3395321071,0.3438677788,0.328745991,0.3335711062,0.3355364501,0.3533920944,0.3471402228
38,0.3340048492,0.3258512318,0.3282542229,0.3311477005,0.3336001933,0.5878058076,0.3397091329
39,0.3307613432,0.3376760483,0.3357435167,0.3362249434,0.3352600634,0.331797421,0.34265697
40,0.3363242447,0.3234932721,0.3284202218,0.3362219632,0.3351472318,0.4312373698,0.3439105749
41,0.3337005079,0.3404740095,0.3314287364,0.3337080181,0.3350554407,0.3323003948,0.3437512815
42,0.3437124193,0.3310057521,0.3317743838,0.3350279629,0.3348897398,0.3957834244,0.3411854804
43,0.3679126203,0.3559947014,0.3601278365,0.3620875776,0.3614367545,0.3640549183,0.3719058931
44,0.3684533536,0.3691197932,0.3637095392,0.3677384853,0.3614061773,0.3695584536,0.3703874648
45,0.3684326708,0.381762296,0.3726324737,0.3686015308,0.3700041473,0.4615868628,0.3731728494
46,0.3727456629,0.36366418,0.3688267767,0.370887965,0.3705990016,0.3752737939,0.3734316528
47,0.4683164656,0.4769192636,0.4596067965,0.4531297386,0.45910725,0.4509652555,0.4533728659
48,0.5385536551,0.538554132,0.5129230618,0.5094378591,0.5229613781,0.5161150694,0.5106076598
49,0.5403580666,0.5402031541,0.5172256231,0.5184226632,0.5309535265,0.6010001302,0.5173444152
50,0.5400421023,0.5344982743,0.515969038,0.5210514665,0.5377297997,0.8539252281,0.5196425915
51,0.5491409302,0.5495528579,0.5219826698,0.5240558982,0.5367107987,0.5790799856,0.52030617
52,0.5469629169,0.5507778525,0.515576005,0.5245950222,0.5398361683,0.7023045421,0.5241767168
53,0.5414344668,0.5442953706,0.5241241455,0.5252076983,0.5399647951,0.5568855405,0.5244865417
54,0.5464988351,0.548483789,0.5268407464,0.5270614624,0.5433831811,0.9984900355,0.5276561975
55,0.5475844741,0.5389998555,0.5244076848,0.5206419826,0.5409139395,0.9982373714,0.5242572427
56,0.5458211303,0.5365501046,0.527349174,0.522649467,0.5410112143,0.5431819558,0.5242637396
57,0.5447763801,0.5592846274,0.523090899,0.5262106061,0.54077214,0.6269605756,0.5234336853
58,0.5404096842,0.5329813957,0.5135597587,0.5166640282,0.5325163007,1.694394708,0.5147853494
59,0.5474607944,0.5242220759,0.5091442466,0.5171396732,0.5362291932,1.471142173,0.522519052
