window_index,ClassPrior,Centroid,DiagGaussian,LinearSoftmax
0,1.228789503,1.096944701,7.874262368,1.094202119
1,1.268222971,1.092872419,9.271189155,1.186488016
2,1.268203779,1.092966494,8.658902429,1.112851786
3,1.062427477,1.095528492,7.725018274,0.9776498654
4,1.171881229,1.080140488,9.075655543,0.9374758869
5,1.132462525,1.093978568,9.613354068,0.9540284475
6,1.329492565,1.087811826,8.886781986,1.174124886
7,1.333873077,1.085268027,10.58388706,1.211012726
8,1.298867364,1.094511577,11.55369785,1.242112274
9,1.290110768,1.090781239,11.12492608,1.17805794
10,0.922318997,1.077143555,6.667192887,0.9198851963
11,1.036162119,1.084481277,10.73192185,0.9940444651
12,0.9617199857,1.078431799,9.598174215,0.9553396048
13,1.053651689,1.086702616,13.30088017,1.085102978
14,1.036148833,1.082522813,12.15296264,0.9829768202
15,0.8566482219,1.072515961,7.883175886,0.8432680853
16,1.00987757,1.081820385,10.67414264,0.9165574677
17,0.9748467593,1.083265809,10.6199501,0.9563142163
18,0.830365149,1.06995834,7.359800133,0.7832711383
19,0.8040865049,1.064001915,7.513019902,0.7359293965
20,0.8391217444,1.068810638,7.411371252,0.7633544138
21,0.8084788274,1.068489137,7.462126625,0.8035850417
22,0.7690689809,1.064741584,6.31770922,0.727672855
23,0.874142221,1.071362443,8.847125395,0.8697903954
24,1.014244795,1.082060147,11.40052864,0.9665371666
25,0.8041027441,1.063163186,6.583106423,0.7187468084
26,0.7252830511,1.062259962,5.474080261,0.6905884421
27,0.7384098246,1.059711108,5.650694815,0.7075424736
28,0.7603138617,1.062727263,5.7655032,0.694432235
29,0.7209143493,1.059105044,5.002208446,0.6948299275
30,0.6552347165,1.051269125,3.732872294,0.6325862457
31,0.6815118843,1.052349583,3.645141287,0.6619826684
32,0.7865777429,1.063453727,6.408385739,0.7302169533
33,0.8391306022,1.069891407,6.772573301,0.7807394289
34,0.7033863955,1.062511509,5.021699637,0.6854064425
35,0.8216011721,1.070198069,7.969930885,0.8336506093
36,0.6858864913,1.057169152,4.392039767,0.6401536965
37,0.7603227195,1.065414319,5.680795852,0.7261688945
38,0.7077683839,1.061632018,4.460144962,0.6321111418
39,0.6508601095,1.059388127,3.334251269,0.6247984764
40,0.7077580499,1.059260024,4.598721424,0.656608569
41,0.6202039058,1.049536917,2.968517429,0.5020206279
42,0.8172324702,1.065724489,7.281006745,0.7879129939
43,0.8434978277,1.06800394,8.151693815,0.8231203053
44,0.8084862089,1.069679574,7.215071255,0.7328013092
45,0.7953387672,1.073450932,7.030226906,0.7524259373
46,1.06679175,1.084282502,11.73083137,1.024854647
47,1.018632689,1.083646369,10.08510972,1.012972266
48,1.044920191,1.085545527,11.17533882,1.033875752
49,1.03176832,1.082152046,11.39676158,0.974582872
50,0.9398351405,1.077185518,9.435307194,0.8877710242
51,0.8566364116,1.070636756,8.25719334,0.8220032713
52,0.8610006845,1.068351214,7.516610007,0.7854008456
53,0.6902566694,1.057595604,4.129710103,0.573286698
54,0.7734465405,1.064581307,5.287808508,0.7058590844
55,0.8960418292,1.071712847,8.579379223,0.8300347606
56,0.6245873706,1.049086497,2.58291982,0.4621215826
57,0.7865806955,1.072567173,5.710688739,0.708096513
58,0.7077728128,1.060798496,4.624515806,0.5707044956
59,0.7865806955,1.065479683,6.604207321,0.6949702659
60,1.049280035,1.084349857,10.23931255,1.049903906
61,0.7865762666,1.070590633,6.09039937,0.7637543625
62,0.620209811,1.06117345,2.745470149,0.5530570249
63,0.6639986934,1.060856399,3.558850742,0.6055650901
64,0.7603138617,1.063103715,4.778814934,0.6814994721
65,0.7953491013,1.069587436,6.196186639,0.7418308735
66,0.9485917359,1.077212433,10.04795911,0.9342759729
67,0.8391158392,1.070706138,6.43214703,0.7787368971
68,0.9398307116,1.07416256,8.825713029,0.8865228155
69,0.8084906378,1.065411667,6.55275413,0.7182867386
70,0.6727405259,1.063758376,3.524467295,0.6245178549
71,0.7034011584,1.062937796,4.531656716,0.6217409475
72,0.7427918131,1.070742716,4.842804559,0.6960761015
73,0.6727508599,1.05944354,3.678213269,0.6185103794
74,0.6771225143,1.061253872,4.008181668,0.5884562304
75,0.8216115061,1.066904039,6.987273642,0.7428486715
76,0.7515439797,1.063292365,5.553918635,0.650420647
77,0.8522662335,1.07018899,7.256837404,0.7718202956
78,0.8960462581,1.074873597,8.416722413,0.8508439357
79,1.062409761,1.085900043,10.33645515,1.037809671
80,0.8916480304,1.07769544,8.274199176,0.8623671082
81,0.9442067949,1.082243337,9.938099689,0.9208368342
82,0.9047999009,1.075785041,9.257272467,0.8388434712
83,0.8741717469,1.069913311,8.057963908,0.7887380648
84,0.6771225143,1.07149974,4.645356154,0.8000514222
85,0.6245888469,1.055422113,3.107641897,0.6083489892
86,0.6596181812,1.06189056,3.704421989,0.6130204462
87,0.6727538125,1.061820714,4.263065386,0.60907355
88,0.8653841492,1.075858355,8.392717144,0.8526624727
89,0.6245858943,1.061795642,2.83420958,0.6243511254
90,0.7690571705,1.070141491,5.350304166,0.7705176065
91,0.8391232207,1.071093928,7.174315241,0.816127371
92,0.6946475156,1.061405354,4.355026408,0.6353171226
93,0.5939355958,1.057770435,2.510985309,0.5591199065
94,0.5676658095,1.056734041,2.20637948,0.4991622822
95,0.6377170967,1.060922219,3.296297405,0.5775924425
96,0.5808043934,1.051784884,1.882667955,0.5024243202
97,0.7340322651,1.074106805,5.224687239,0.7036453078
98,0.650852728,1.070509961,3.882396187,0.6759527284
99,0.5501481897,1.053611773,1.185980576,0.4582923571
100,0.6114428815,1.05119744,2.430450909,0.5279819639
101,0.69901917,1.066224943,4.521809837,0.6693768509
102,0.6289664065,1.071252991,3.56849492,0.5483374278
103,0.6946268474,1.066813579,4.76254245,0.683520502
104,0.6377126678,1.058015364,3.495844256,0.5800999757
105,0.6202127636,1.066176393,2.793935316,0.6592957296
106,0.6027040016,1.065471023,2.450693865,0.6302113625
107,0.6070712271,1.057226653,2.374297082,0.5185423925
108,1.298833409,1.099349285,13.80918156,1.294760221
109,0.8128519581,1.072488351,6.377160052,0.7509853092
110,0.7034011584,1.062386126,4.712751765,0.6655951317
111,0.6420990852,1.054559417,3.471062593,0.5786402194
112,0.6596107998,1.055290897,3.877162351,0.6313864899
113,0.6289708353,1.054138427,2.895263361,0.5602778205
114,0.8478812924,1.069208211,8.091125314,0.8003384258
115,0.7033878718,1.065626233,4.490077996,0.678079176
116,0.7471738016,1.065510362,5.493881189,0.7170735805
117,0.7252933852,1.066943854,5.143300936,0.6941445419
118,0.7953372909,1.067989922,6.524930159,0.7748662455
119,0.6858732046,1.058757958,4.265240813,0.6188340371
120,0.6858894438,1.061038836,4.350563911,0.6613975565
121,0.6727390496,1.057935221,3.821965189,0.5990429196
122,0.817230994,1.071461301,7.201056207,0.792554938
123,0.5895447496,1.04747947,2.077566451,0.4778601413
124,0.5807999645,1.051384205,1.781028531,0.4843952912
