window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,LinearSoftmax,0.47634085213032584,Centroid,0.23603528227532014,0.2403055698550057,LinearSoftmax,0.47634085213032584,0.0
1,LinearSoftmax,0.5098446896712793,ClassPrior,0.2367758186397985,0.2730688710314808,LinearSoftmax,0.5098446896712793,0.0
2,LinearSoftmax,0.4245360792054093,ClassPrior,0.22793487574978577,0.19660120345562354,LinearSoftmax,0.4245360792054093,0.0
3,LinearSoftmax,0.4466362157240309,Centroid,0.2831204275804557,0.1635157881435752,LinearSoftmax,0.4466362157240309,0.0
4,LinearSoftmax,0.4065124915076277,Centroid,0.38602526405252946,0.020487227455098234,LinearSoftmax,0.4065124915076277,0.0
5,Centroid,0.44082237534306684,DiagGaussian,0.3306679838594732,0.11015439148359363,LinearSoftmax,0.30386319091364894,0.1369591844294179
6,LinearSoftmax,0.2869664385793418,DiagGaussian,0.2827292533174886,0.0042371852618531824,LinearSoftmax,0.2869664385793418,0.0
7,LinearSoftmax,0.3660931899641577,Centroid,0.24391173286863324,0.12218145709552444,LinearSoftmax,0.3660931899641577,0.0
8,LinearSoftmax,0.3457593203157375,ClassPrior,0.2442244224422442,0.10153489787349326,LinearSoftmax,0.3457593203157375,0.0
9,LinearSoftmax,0.4274618916238911,Centroid,0.2766453372034215,0.1508165544204696,LinearSoftmax,0.4274618916238911,0.0
10,DiagGaussian,0.3892108033689667,LinearSoftmax,0.2934373156230617,0.095773487745905,LinearSoftmax,0.2934373156230617,0.095773487745905
11,LinearSoftmax,0.43011970259788807,Centroid,0.3106242197253433,0.11949548287254474,LinearSoftmax,0.43011970259788807,0.0
12,LinearSoftmax,0.3840845730783223,Centroid,0.27913663397534366,0.10494793910297862,LinearSoftmax,0.3840845730783223,0.0
13,LinearSoftmax,0.27302612138147575,ClassPrior,0.19908675799086759,0.07393936339060816,LinearSoftmax,0.27302612138147575,0.0
14,LinearSoftmax,0.5311420959301865,Centroid,0.30199019901990204,0.22915189691028442,LinearSoftmax,0.5311420959301865,0.0
15,LinearSoftmax,0.3563404551237967,DiagGaussian,0.3184564199400995,0.03788403518369721,LinearSoftmax,0.3563404551237967,0.0
16,LinearSoftmax,0.4554511566833844,DiagGaussian,0.25423614373770936,0.201215012945675,LinearSoftmax,0.4554511566833844,0.0
17,DiagGaussian,0.300044816510368,LinearSoftmax,0.27855477855477856,0.02149003795558946,LinearSoftmax,0.27855477855477856,0.02149003795558946
18,LinearSoftmax,0.4659503004962349,DiagGaussian,0.27673666803436653,0.1892136324618684,LinearSoftmax,0.4659503004962349,0.0
19,LinearSoftmax,0.5285042202850422,DiagGaussian,0.26702281513847953,0.26148140514656265,LinearSoftmax,0.5285042202850422,0.0
20,LinearSoftmax,0.5527418206191613,DiagGaussian,0.24721003390249627,0.30553178671666503,LinearSoftmax,0.5527418206191613,0.0
21,LinearSoftmax,0.43182495752155187,DiagGaussian,0.2372612291090552,0.19456372841249667,LinearSoftmax,0.43182495752155187,0.0
22,LinearSoftmax,0.3622404340676672,DiagGaussian,0.3385910746634981,0.023649359404169124,LinearSoftmax,0.3622404340676672,0.0
23,LinearSoftmax,0.2693393164564107,DiagGaussian,0.26513265501029687,0.004206661446113813,LinearSoftmax,0.2693393164564107,0.0
24,LinearSoftmax,0.396023313262125,Centroid,0.23735581188997337,0.1586675013721516,LinearSoftmax,0.396023313262125,0.0
25,LinearSoftmax,0.525852896695342,DiagGaussian,0.28598243377248905,0.2398704629228529,LinearSoftmax,0.525852896695342,0.0
26,DiagGaussian,0.3438637932885089,LinearSoftmax,0.31401434386509014,0.029849449423418772,LinearSoftmax,0.31401434386509014,0.029849449423418772
27,LinearSoftmax,0.255050505050505,DiagGaussian,0.23391812865497075,0.02113237639553428,LinearSoftmax,0.255050505050505,0.0
28,LinearSoftmax,0.31516664291102764,DiagGaussian,0.2983933410762679,0.016773301834759724,LinearSoftmax,0.31516664291102764,0.0
29,LinearSoftmax,0.364730009780225,DiagGaussian,0.31148054525363233,0.05324946452659268,LinearSoftmax,0.364730009780225,0.0
30,LinearSoftmax,0.36705452043711606,DiagGaussian,0.36155969634230506,0.005494824094811002,LinearSoftmax,0.36705452043711606,0.0
31,LinearSoftmax,0.43264980580279505,DiagGaussian,0.30556290223045046,0.1270869035723446,LinearSoftmax,0.43264980580279505,0.0
32,LinearSoftmax,0.29174880229097094,DiagGaussian,0.25586601703051676,0.035882785260454186,LinearSoftmax,0.29174880229097094,0.0
33,LinearSoftmax,0.4623705898873684,DiagGaussian,0.316908393765108,0.1454621961222604,LinearSoftmax,0.4623705898873684,0.0
34,DiagGaussian,0.3400110266946839,LinearSoftmax,0.2927531020944443,0.04725792460023964,LinearSoftmax,0.2927531020944443,0.04725792460023964
35,LinearSoftmax,0.26048140345065507,DiagGaussian,0.24194616977225672,0.01853523367839835,LinearSoftmax,0.26048140345065507,0.0
36,LinearSoftmax,0.3556890957730012,DiagGaussian,0.2549019607843137,0.10078713498868747,LinearSoftmax,0.3556890957730012,0.0
