window_index,ClassPrior,Centroid,DiagGaussian,LinearSoftmax
0,0.2175438596,0.2360352823,0.2037364809,0.4763408521
1,0.2367758186,0.1996164269,0.2151877083,0.5098446897
2,0.2279348757,0.1417567924,0.1753316463,0.4245360792
3,0.2041553749,0.2831204276,0.2396313889,0.4466362157
4,0.2356902357,0.3860252641,0.3789602778,0.4065124915
5,0.1734104046,0.4408223753,0.3306679839,0.3038631909
6,0.199086758,0.2520475949,0.2827292533,0.2869664386
7,0.2301790281,0.2439117329,0.2229437229,0.36609319
8,0.2442244224,0.1157006018,0.102116964,0.3457593203
9,0.231292517,0.2766453372,0.2513526517,0.4274618916
10,0.1676413255,0.1790467173,0.3892108034,0.2934373156
11,0.2268041237,0.3106242197,0.2344086453,0.4301197026
12,0.2127659574,0.279136634,0.2217730056,0.3840845731
13,0.199086758,0.1969636169,0.1398740132,0.2730261214
14,0.2151675485,0.301990199,0.1944954128,0.5311420959
15,0.191272052,0.1923522811,0.3184564199,0.3563404551
16,0.2016348774,0.2076165419,0.2542361437,0.4554511567
17,0.1617357002,0.1826621847,0.3000448165,0.2785547786
18,0.1705426357,0.2037382776,0.276736668,0.4659503005
19,0.1248677249,0.2611295506,0.2670228151,0.5285042203
20,0.1556886228,0.2196297061,0.2472100339,0.5527418206
21,0.1719806763,0.139401479,0.2372612291,0.4318249575
22,0.1265822785,0.2191844516,0.3385910747,0.3622404341
23,0.1602373887,0.1726907631,0.265132655,0.2693393165
24,0.1734104046,0.2373558119,0.1627832386,0.3960233133
25,0.1447502548,0.2202561,0.2859824338,0.5258528967
26,0.1071038251,0.1867322657,0.3438637933,0.3140143439
27,0.1178992497,0.147922999,0.2339181287,0.2550505051
28,0.1494949495,0.1783625731,0.2983933411,0.3151666429
29,0.1399176955,0.1764558233,0.3114805453,0.3647300098
30,0.09203142536,0.2290676884,0.3615596963,0.3670545204
31,0.1415384615,0.2692356851,0.3055629022,0.4326498058
32,0.1265822785,0.1934254003,0.255866017,0.2917488023
33,0.1526104418,0.2849486922,0.3169083938,0.4623705899
34,0.09009009009,0.1617148982,0.3400110267,0.2927531021
35,0.1382868937,0.1763285024,0.2419461698,0.2604814035
36,0.1214057508,0.1766302901,0.2549019608,0.3556890958
