window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,Seasonal,0.13911400735378265,TargetRidge,0.22138305008411407,0.08226904273033142,Seasonal,0.13911400735378265,0.0
1,Seasonal,0.13756859302520752,TargetRidge,0.20609050989151,0.06852191686630249,Seasonal,0.13756859302520752,0.0
2,Seasonal,0.1355244666337967,TargetRidge,0.19533586502075195,0.05981139838695526,Seasonal,0.1355244666337967,0.0
3,Seasonal,0.13306762278079987,TargetRidge,0.18730585277080536,0.05423822999000549,Seasonal,0.13306762278079987,0.0
4,Seasonal,0.13061171770095825,TargetRidge,0.1871557980775833,0.05654408037662506,Seasonal,0.13061171770095825,0.0
5,Seasonal,0.1280326098203659,TargetRidge,0.19408299028873444,0.06605038046836853,Seasonal,0.1280326098203659,0.0
6,Seasonal,0.125276580452919,TargetRidge,0.20742125809192657,0.08214467763900757,Seasonal,0.125276580452919,0.0
7,Seasonal,0.12228050082921982,TargetRidge,0.23009304702281952,0.1078125461935997,Seasonal,0.12228050082921982,0.0
8,Seasonal,0.11914096027612686,EWM,0.247439906001091,0.12829893827438354,Seasonal,0.11914096027612686,0.0
9,Seasonal,0.11670882254838943,EWM,0.2476312667131424,0.13092243671417236,Seasonal,0.11670882254838943,0.0
10,Seasonal,0.11577367037534714,EWM,0.24774789810180664,0.1319742202758789,Seasonal,0.11577367037534714,0.0
11,Seasonal,0.11565572768449783,EWM,0.24881064891815186,0.13315492868423462,Seasonal,0.11565572768449783,0.0
12,Seasonal,0.11621972173452377,Trend,0.1943182498216629,0.07809852808713913,Seasonal,0.11621972173452377,0.0
13,Seasonal,0.11842561513185501,TargetRidge,0.23486948013305664,0.11644386500120163,Seasonal,0.11842561513185501,0.0
14,Seasonal,0.12165042012929916,TargetRidge,0.22110885381698608,0.09945843368768692,Seasonal,0.12165042012929916,0.0
15,Seasonal,0.12419120222330093,TargetRidge,0.21933461725711823,0.09514341503381729,Seasonal,0.12419120222330093,0.0
16,Seasonal,0.1272345632314682,TargetRidge,0.22903694212436676,0.10180237889289856,Seasonal,0.1272345632314682,0.0
17,Seasonal,0.13036760687828064,TargetRidge,0.23681063950061798,0.10644303262233734,Seasonal,0.13036760687828064,0.0
18,Seasonal,0.13262338936328888,TargetRidge,0.25003117322921753,0.11740778386592865,Seasonal,0.13262338936328888,0.0
19,Seasonal,0.13383351266384125,TargetRidge,0.2618424594402313,0.12800894677639008,Seasonal,0.13383351266384125,0.0
20,Seasonal,0.13421021401882172,HAR_EWM,0.2622532844543457,0.128043070435524,Seasonal,0.13421021401882172,0.0
21,Seasonal,0.13434700667858124,Persistence,0.24970324337482452,0.11535623669624329,Seasonal,0.13434700667858124,0.0
22,Seasonal,0.1343824714422226,TargetRidge,0.25491809844970703,0.12053562700748444,Seasonal,0.1343824714422226,0.0
23,Seasonal,0.13436751067638397,TargetRidge,0.24146461486816406,0.10709710419178009,Seasonal,0.13436751067638397,0.0
24,Seasonal,0.13435815274715424,TargetRidge,0.2271077036857605,0.09274955093860626,Seasonal,0.13435815274715424,0.0
25,Seasonal,0.13418014347553253,TargetRidge,0.21165262162685394,0.07747247815132141,Seasonal,0.13418014347553253,0.0
26,Seasonal,0.13424761593341827,TargetRidge,0.19816462695598602,0.06391701102256775,Seasonal,0.13424761593341827,0.0
27,Seasonal,0.13414441049098969,TargetRidge,0.19265435636043549,0.0585099458694458,Seasonal,0.13414441049098969,0.0
28,Seasonal,0.133891761302948,TargetRidge,0.19431494176387787,0.06042318046092987,Seasonal,0.133891761302948,0.0
29,Seasonal,0.1333685964345932,TargetRidge,0.20507971942424774,0.07171112298965454,Seasonal,0.1333685964345932,0.0
30,Seasonal,0.13257582485675812,TargetRidge,0.2181282788515091,0.08555245399475098,Seasonal,0.13257582485675812,0.0
31,Seasonal,0.13159377872943878,TargetRidge,0.23475201427936554,0.10315823554992676,Seasonal,0.13159377872943878,0.0
32,Seasonal,0.13092829287052155,EWM,0.24947305023670197,0.11854475736618042,Seasonal,0.13092829287052155,0.0
33,Seasonal,0.13073135912418365,EWM,0.24985527992248535,0.1191239207983017,Seasonal,0.13073135912418365,0.0
34,Seasonal,0.1309863179922104,EWM,0.25019827485084534,0.11921195685863495,Seasonal,0.1309863179922104,0.0
35,Seasonal,0.13146407902240753,EWM,0.2513870596885681,0.11992298066616058,Seasonal,0.13146407902240753,0.0
36,Seasonal,0.1304752081632614,Trend,0.21360747516155243,0.08313226699829102,Seasonal,0.1304752081632614,0.0
37,Seasonal,0.12799771130084991,TargetRidge,0.2340787649154663,0.1060810536146164,Seasonal,0.12799771130084991,0.0
38,Seasonal,0.12559954822063446,TargetRidge,0.2166437953710556,0.09104424715042114,Seasonal,0.12559954822063446,0.0
39,Seasonal,0.12366805225610733,TargetRidge,0.2106250375509262,0.08695698529481888,Seasonal,0.12366805225610733,0.0
40,Seasonal,0.12015318125486374,TargetRidge,0.2130764126777649,0.09292323142290115,Seasonal,0.12015318125486374,0.0
41,Seasonal,0.11806187033653259,TargetRidge,0.22603189945220947,0.10797002911567688,Seasonal,0.11806187033653259,0.0
42,Seasonal,0.11685553938150406,TargetRidge,0.24473340809345245,0.1278778612613678,Seasonal,0.11685553938150406,0.0
43,Seasonal,0.11676400899887085,HAR_EWM,0.26102617383003235,0.1442621648311615,Seasonal,0.11676400899887085,0.0
44,Seasonal,0.11751508712768555,HAR_EWM,0.261370986700058,0.14385589957237244,Seasonal,0.11751508712768555,0.0
45,Seasonal,0.11827990412712097,HAR_EWM,0.2615518271923065,0.14327192306518555,Seasonal,0.11827990412712097,0.0
46,Seasonal,0.11900133639574051,HAR_EWM,0.26160481572151184,0.14260348677635193,Seasonal,0.11900133639574051,0.0
47,Seasonal,0.11976037174463272,HAR_EWM,0.2615961730480194,0.14183580875396729,Seasonal,0.11976037174463272,0.0
48,Seasonal,0.12104222178459167,TargetRidge,0.2588706910610199,0.13782846927642822,Seasonal,0.12104222178459167,0.0
49,Seasonal,0.12261062115430832,TargetRidge,0.258783757686615,0.13617312908172607,Seasonal,0.12261062115430832,0.0
50,Seasonal,0.12515075504779816,TargetRidge,0.26152530312538147,0.1363745480775833,Seasonal,0.12515075504779816,0.0
51,Seasonal,0.12822549045085907,TargetRidge,0.25906383991241455,0.13083834946155548,Seasonal,0.12822549045085907,0.0
52,Seasonal,0.13216809928417206,TargetRidge,0.25784340500831604,0.12567530572414398,Seasonal,0.13216809928417206,0.0
53,Seasonal,0.137448251247406,TargetRidge,0.2615407705307007,0.12409251928329468,Seasonal,0.137448251247406,0.0
54,Seasonal,0.1432657241821289,TargetRidge,0.26306524872779846,0.11979952454566956,Seasonal,0.1432657241821289,0.0
