window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,ZeroPred,Persistence,HAR_EWM
0,0.2057863921,0.3487176001,0.3037987053,0.076671727,0.2424346656,0.29968822,0.3970831633,0.3970831633
1,0.2113372684,0.3427396715,0.3262075484,0.07619565725,0.2419705391,0.2981676757,0.3975631297,0.3975631297
2,0.2220198363,0.3329975903,0.3653029501,0.07565779984,0.241759643,0.2965200841,0.4134688377,0.3984704018
3,0.2189715356,0.3278556168,0.394690752,0.07511994988,0.2418498546,0.2948724926,0.4140106738,0.3993695974
4,0.2346699685,0.3185888827,0.4443431795,0.07458568364,0.2423356771,0.2930312455,0.4308630228,0.4007514715
5,0.2342672199,0.3141645193,0.4822860062,0.07404752821,0.2431687713,0.2911900282,0.4315398037,0.4021191895
6,0.2568607628,0.3056103885,0.5458635688,0.07364983112,0.2441393584,0.2892145514,0.4493261576,0.4039051831
7,0.2454909682,0.2972915173,0.6174682379,0.073194094,0.2454101592,0.2871007025,0.4680241048,0.4061062038
8,0.2663191259,0.2937309146,0.6708033681,0.07273834944,0.2469557971,0.2849868834,0.4688508809,0.4082840979
9,0.2624703944,0.2860515416,0.7546772957,0.07214010507,0.2488090247,0.2827940583,0.4884285033,0.4108156264
10,0.3047324717,0.2786848843,0.8468702435,0.07155123353,0.2513192594,0.2804557383,0.5088419914,0.4137620926
11,0.1753935069,0.2759138346,0.9171084762,0.07103369385,0.2541443408,0.2781173885,0.5097494721,0.4166791439
12,0.2538424432,0.2733879387,0.9924834371,0.07065883279,0.2568601668,0.2757790387,0.5106569529,0.4195665419
13,0.3189333975,0.2670092881,1.106753469,0.07021653652,0.2598986626,0.273358345,0.5320364833,0.4228177965
14,0.2630548775,0.2609776855,1.230540276,0.06979114562,0.2632853389,0.270784229,0.5543504357,0.426496774
15,0.2645952404,0.259016037,1.32264924,0.06936574727,0.2673800886,0.2682101429,0.5553423762,0.4301412106
16,0.2740642726,0.2536544502,1.46355927,0.06918596476,0.2713639736,0.2654789388,0.5786390901,0.4342222214
17,0.2064864188,0.251984328,1.568978906,0.0690061748,0.2761035562,0.2627477348,0.579719305,0.4382669032
18,0.1682931781,0.2473604679,1.727956891,0.06899684668,0.2806779444,0.2598560154,0.6039565802,0.4427569807
19,0.2010926157,0.2460693121,1.847296357,0.06889551878,0.2854152024,0.2570350766,0.6050365567,0.4471454322
20,0.2686297596,0.2424134016,2.02149868,0.06882978231,0.2905368507,0.2540498674,0.6301755905,0.4519882202
21,0.2681749165,0.2393510193,2.206684828,0.06880347431,0.2960612774,0.2508963048,0.6562797427,0.4572916031
22,0.1447797269,0.2386608869,2.345573664,0.06877715886,0.301754266,0.2477427721,0.6575472355,0.4625537097
23,0.1584418416,0.2367296219,2.546417236,0.06879401952,0.3078644276,0.2444170713,0.6846680641,0.4682890475
24,0.3052088916,0.2365477532,2.696481466,0.06881088763,0.3141276538,0.2410913557,0.6860350966,0.4739809334
25,0.3197956085,0.2359467149,2.912659883,0.06887458265,0.3208222091,0.2375901788,0.7141218185,0.4801584184
26,0.3118753433,0.2364062071,3.073673487,0.06893828511,0.3285000622,0.234089002,0.7155919075,0.4862901866
27,0.279653579,0.2370807081,3.241604567,0.06914841384,0.3354578912,0.2305878252,0.7170619965,0.4923733771
28,0.3211060464,0.2380882502,3.411874533,0.06935853511,0.3425164223,0.2270866185,0.7185320854,0.4984054565
29,0.2711759806,0.2394662648,3.584276199,0.06956865638,0.3496597707,0.2235854417,0.7200019956,0.5043840408
30,0.2624856234,0.2412548065,3.758606195,0.06977877766,0.3568733931,0.2200842649,0.7214720845,0.510307312
31,0.2396137267,0.2433888167,3.935211897,0.07018582523,0.3641890287,0.2165123373,0.7230491638,0.516249001
32,0.1849756688,0.2421193123,3.96137929,0.07066596299,0.3697668016,0.2132211924,0.6704681516,0.5210157037
33,0.1640801579,0.2406916171,3.970830917,0.07134839892,0.3746083677,0.2101400346,0.6205579042,0.5246772766
34,0.1527106911,0.2371437103,3.888813257,0.07207432389,0.3792879879,0.2074219435,0.5499665141,0.5266097188
35,0.1553720832,0.2315906286,3.718840837,0.07290874422,0.381175667,0.2051867843,0.4647866786,0.5261708498
36,0.1656418145,0.2263637036,3.528831482,0.07367560267,0.3802316487,0.2033892423,0.3906262219,0.5233804584
37,0.1623481363,0.2215651274,3.316117048,0.07435237616,0.3786176145,0.2019842714,0.3274780214,0.5182865858
38,0.1626377106,0.2169350386,3.089888573,0.07515309006,0.3754673004,0.2008939236,0.275590688,0.5112216473
39,0.1392437965,0.2103056908,2.729722977,0.07577554882,0.3676441908,0.2002633065,0.2181413174,0.5008051395
