window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,EWM,0.0010159085504710674,Persistence,0.0010211297776550055,5.2212271839380264e-06,HAR_EWM,0.0010211297776550055,5.2212271839380264e-06
1,EWM,0.0010251548374071717,Persistence,0.0010296176187694073,4.462781362235546e-06,HAR_EWM,0.0010296176187694073,4.462781362235546e-06
2,HAR_EWM,0.001039133407175541,EWM,0.0010401321342214942,9.987270459532738e-07,HAR_EWM,0.001039133407175541,0.0
3,Persistence,0.0009537072037346661,EWM,0.0010391335235908628,8.542631985619664e-05,HAR_EWM,0.0010442498605698347,9.05426568351686e-05
4,Persistence,0.0009602417703717947,EWM,0.0010191429173573852,5.890114698559046e-05,HAR_EWM,0.0010488847037777305,8.864293340593576e-05
5,Persistence,0.0010182438418269157,EWM,0.0010225316509604454,4.287809133529663e-06,HAR_EWM,0.0010556631023064256,3.741926047950983e-05
6,EWM,0.0010392897529527545,Persistence,0.001049323589541018,1.0033836588263512e-05,HAR_EWM,0.0010651046177372336,2.581486478447914e-05
7,Persistence,0.0009256841731257737,EWM,0.0010369137162342668,0.00011122954310849309,HAR_EWM,0.001068859244696796,0.00014317507157102227
8,Persistence,0.0008155819959938526,EWM,0.0010067588882520795,0.00019117689225822687,HAR_EWM,0.0010688058100640774,0.00025322381407022476
9,Persistence,0.0007241892162710428,EWM,0.0010472810827195644,0.0003230918664485216,HAR_EWM,0.0010641829576343298,0.00033999374136328697
10,Persistence,0.0007197928498499095,EWM,0.0010339805157855153,0.00031418766593560576,HAR_EWM,0.0010610269382596016,0.00034123408840969205
11,Persistence,0.000655222509521991,EWM,0.000997849740087986,0.000342627230565995,HAR_EWM,0.0010360738961026073,0.00038085138658061624
12,Persistence,0.0008267257362604141,EWM,0.0009540499304421246,0.00012732419418171048,HAR_EWM,0.0010014731669798493,0.00017474743071943521
13,Persistence,0.0007852413109503686,EWM,0.0009186447714455426,0.00013340346049517393,HAR_EWM,0.0009717033826746047,0.000186462071724236
14,EWM,0.0008965010638348758,HAR_EWM,0.0009354883804917336,3.898731665685773e-05,HAR_EWM,0.0009354883804917336,3.898731665685773e-05
15,EWM,0.0008638608269393444,HAR_EWM,0.0009034468675963581,3.9586040657013655e-05,HAR_EWM,0.0009034468675963581,3.9586040657013655e-05
16,EWM,0.0008286223746836185,HAR_EWM,0.0008693537674844265,4.073139280080795e-05,HAR_EWM,0.0008693537674844265,4.073139280080795e-05
17,Persistence,0.0007856919546611607,EWM,0.0007935934117995203,7.901457138359547e-06,HAR_EWM,0.0008528244798071682,6.713252514600754e-05
18,EWM,0.000793979677837342,HAR_EWM,0.0008377491030842066,4.376942524686456e-05,HAR_EWM,0.0008377491030842066,4.376942524686456e-05
19,EWM,0.0007763110916130245,HAR_EWM,0.0008165439940057695,4.023290239274502e-05,HAR_EWM,0.0008165439940057695,4.023290239274502e-05
20,EWM,0.0007624083664268255,HAR_EWM,0.0008044117712415755,4.2003404814749956e-05,HAR_EWM,0.0008044117712415755,4.2003404814749956e-05
21,EWM,0.0007494412711821496,HAR_EWM,0.000785099167842418,3.565789666026831e-05,HAR_EWM,0.000785099167842418,3.565789666026831e-05
22,EWM,0.0007332343957386911,HAR_EWM,0.0007649663020856678,3.173190634697676e-05,HAR_EWM,0.0007649663020856678,3.173190634697676e-05
23,EWM,0.0007258436526171863,HAR_EWM,0.0007514427998103201,2.559914719313383e-05,HAR_EWM,0.0007514427998103201,2.559914719313383e-05
24,EWM,0.0007195083308033645,HAR_EWM,0.0007411139667965472,2.160563599318266e-05,HAR_EWM,0.0007411139667965472,2.160563599318266e-05
25,EWM,0.0007137769716791809,HAR_EWM,0.0007354954141192138,2.171844244003296e-05,HAR_EWM,0.0007354954141192138,2.171844244003296e-05
26,EWM,0.0007059369818307459,HAR_EWM,0.0007291918736882508,2.3254891857504845e-05,HAR_EWM,0.0007291918736882508,2.3254891857504845e-05
