window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,MeanRevert,0.008918743580579758,MeanRevertSlow,0.013122767210006714,0.004204023629426956,MeanRevertSlow,0.013122767210006714,0.004204023629426956
1,MeanRevert,0.009072263725101948,EWM,0.013151855207979679,0.004079591482877731,MeanRevertSlow,0.013333571143448353,0.004261307418346405
2,MeanRevert,0.008937826380133629,EWM,0.013114695437252522,0.004176869057118893,MeanRevertSlow,0.015314417891204357,0.006376591511070728
3,MeanRevert,0.009270850569009781,EWM,0.013130232691764832,0.0038593821227550507,MeanRevertSlow,0.01564846746623516,0.00637761689722538
4,MeanRevert,0.009622206911444664,EWM,0.013219472020864487,0.0035972651094198227,MeanRevertSlow,0.016737885773181915,0.007115678861737251
5,MeanRevert,0.010310875251889229,EWM,0.01347594428807497,0.0031650690361857414,MeanRevertSlow,0.01517485361546278,0.004863978363573551
6,MeanRevert,0.011349011212587357,MeanRevertSlow,0.013422799296677113,0.002073788084089756,MeanRevertSlow,0.013422799296677113,0.002073788084089756
7,MeanRevert,0.011237096041440964,SeasonalEWM,0.013420102186501026,0.0021830061450600624,MeanRevertSlow,0.015391307882964611,0.004154211841523647
8,MeanRevert,0.012261579744517803,SeasonalEWM,0.013303853571414948,0.0010422738268971443,MeanRevertSlow,0.01389074232429266,0.0016291625797748566
9,MeanRevert,0.012438385747373104,SeasonalEWM,0.01317568589001894,0.0007373001426458359,MeanRevertSlow,0.014458119869232178,0.0020197341218590736
10,SeasonalEWM,0.013189512304961681,MeanRevert,0.013318859040737152,0.00012934673577547073,MeanRevertSlow,0.014231346547603607,0.0010418342426419258
11,SeasonalEWM,0.013165066950023174,MeanRevert,0.01336717326194048,0.000202106311917305,MeanRevertSlow,0.014918893575668335,0.0017538266256451607
12,SeasonalEWM,0.01324655395001173,MeanRevert,0.013705368153750896,0.00045881420373916626,MeanRevertSlow,0.015593595802783966,0.002347041852772236
13,SeasonalEWM,0.012853904627263546,MeanRevert,0.013938766904175282,0.0010848622769117355,MeanRevertSlow,0.01894434355199337,0.006090438924729824
14,SeasonalEWM,0.012658183462917805,MeanRevert,0.014635776169598103,0.001977592706680298,MeanRevertSlow,0.01950845681130886,0.006850273348391056
15,SeasonalEWM,0.012151774019002914,Seasonal,0.01374073326587677,0.0015889592468738556,MeanRevertSlow,0.02427307702600956,0.012121303007006645
16,SeasonalEWM,0.011823984794318676,Seasonal,0.012747936882078648,0.0009239520877599716,MeanRevertSlow,0.027114838361740112,0.015290853567421436
17,SeasonalEWM,0.011668565683066845,Seasonal,0.012029259465634823,0.0003606937825679779,MeanRevertSlow,0.025584543123841286,0.01391597744077444
18,Seasonal,0.011505409143865108,SeasonalEWM,0.011584547348320484,7.913820445537567e-05,MeanRevertSlow,0.023253262042999268,0.011747852899134159
19,Seasonal,0.011137505061924458,SeasonalEWM,0.011675688438117504,0.0005381833761930466,MeanRevertSlow,0.023044511675834656,0.011907006613910198
20,Seasonal,0.010889490135014057,SeasonalEWM,0.011789184994995594,0.0008996948599815369,MeanRevertSlow,0.02279818058013916,0.011908690445125103
21,Seasonal,0.010693433694541454,SeasonalEWM,0.011891520582139492,0.0011980868875980377,MeanRevertSlow,0.024893732741475105,0.014200299046933651
22,Seasonal,0.010561157949268818,SeasonalEWM,0.012001030147075653,0.0014398721978068352,MeanRevertSlow,0.02535981684923172,0.014798658899962902
23,Seasonal,0.010367926210165024,SeasonalDrift,0.011987817473709583,0.0016198912635445595,MeanRevertSlow,0.02873898111283779,0.018371054902672768
24,Seasonal,0.010328895412385464,SeasonalDrift,0.010850578546524048,0.0005216831341385841,MeanRevertSlow,0.030404457822442055,0.020075563341379166
25,Seasonal,0.010524362325668335,SeasonalDrift,0.010965176858007908,0.0004408145323395729,MeanRevertSlow,0.0279166828840971,0.017392320558428764
26,Seasonal,0.010774287395179272,SeasonalDrift,0.010936697013676167,0.00016240961849689484,MeanRevertSlow,0.027700291946530342,0.016926005482673645
27,SeasonalDrift,0.010723109357059002,Seasonal,0.011006911285221577,0.00028380192816257477,MeanRevertSlow,0.03143548592925072,0.02071237564086914
28,SeasonalDrift,0.010969523340463638,SeasonalOffset,0.011239360086619854,0.00026983674615621567,MeanRevertSlow,0.030301691964268684,0.019332168623805046
29,SeasonalDrift,0.011551902629435062,Seasonal,0.011713164858520031,0.00016126222908496857,MeanRevertSlow,0.030963892117142677,0.01941198855638504
30,SeasonalDrift,0.01150335744023323,Seasonal,0.012056956999003887,0.0005535995587706566,MeanRevertSlow,0.0291468296200037,0.01764347217977047
31,SeasonalDrift,0.011719371192157269,Seasonal,0.01237960159778595,0.0006602304056286812,MeanRevertSlow,0.02905329316854477,0.017333921045064926
32,SeasonalDrift,0.012889224104583263,Seasonal,0.012889224104583263,0.0,MeanRevertSlow,0.027600416913628578,0.014711192809045315
33,SeasonalDrift,0.013369171880185604,Seasonal,0.013369171880185604,0.0,MeanRevertSlow,0.028244415298104286,0.014875243417918682
34,SeasonalDrift,0.012734450399875641,Seasonal,0.013678005896508694,0.0009435554966330528,MeanRevertSlow,0.031523264944553375,0.018788814544677734
35,SeasonalDrift,0.013002251274883747,SeasonalOffset,0.013802784495055676,0.0008005332201719284,MeanRevertSlow,0.030943693593144417,0.017941441386938095
36,SeasonalOffset,0.01327305193990469,SeasonalDrift,0.01365707814693451,0.0003840262070298195,MeanRevertSlow,0.032005272805690765,0.0187322199344635
37,SeasonalDrift,0.013392155058681965,SeasonalOffset,0.01448515523225069,0.0010930001735687256,MeanRevertSlow,0.030582934617996216,0.017190780490636826
38,SeasonalDrift,0.013840451836585999,Seasonal,0.01465816143900156,0.0008177096024155617,MeanRevertSlow,0.032683324068784714,0.018842872232198715
39,Seasonal,0.014449280686676502,SeasonalEWM,0.01790051907300949,0.0034512383863329887,MeanRevertSlow,0.03777119144797325,0.023321911692619324
40,Seasonal,0.014126512221992016,SeasonalDrift,0.017360931262373924,0.0032344190403819084,MeanRevertSlow,0.03524394333362579,0.021117430180311203
41,SeasonalDrift,0.013531791977584362,Seasonal,0.014018814079463482,0.0004870221018791199,MeanRevertSlow,0.030117690563201904,0.016585897654294968
42,SeasonalTrend,0.01340365782380104,Seasonal,0.014072352088987827,0.0006686942651867867,MeanRevertSlow,0.030113743618130684,0.016710085794329643
43,SeasonalTrend,0.013495691120624542,Seasonal,0.013983960263431072,0.00048826914280653,MeanRevertSlow,0.03021358884871006,0.016717897728085518
44,SeasonalTrend,0.013644824735820293,Seasonal,0.013699114322662354,5.428958684206009e-05,MeanRevertSlow,0.030242612585425377,0.016597788780927658
45,SeasonalTrend,0.01267042476683855,Seasonal,0.01362597569823265,0.0009555509313941002,MeanRevertSlow,0.030178382992744446,0.01750795915722847
46,SeasonalTrend,0.011331547982990742,SeasonalDrift,0.013362002559006214,0.0020304545760154724,MeanRevertSlow,0.031147440895438194,0.019815891981124878
47,SeasonalTrend,0.01149036269634962,Seasonal,0.013719531707465649,0.002229169011116028,MeanRevertSlow,0.030882975086569786,0.01939261332154274
48,SeasonalTrend,0.01146803330630064,Trend,0.012788199819624424,0.0013201665133237839,MeanRevertSlow,0.03467300161719322,0.023204967379570007
49,SeasonalTrend,0.01180208008736372,Seasonal,0.01389357727020979,0.0020914971828460693,MeanRevertSlow,0.030613461509346962,0.018811382353305817
50,SeasonalTrend,0.011806723661720753,Seasonal,0.013798807747662067,0.0019920840859413147,MeanRevertSlow,0.03163813427090645,0.01983141154050827
51,SeasonalDrift,0.012964772991836071,SeasonalOffset,0.013370995409786701,0.0004062224179506302,MeanRevertSlow,0.03743797913193703,0.02447320520877838
52,Seasonal,0.014272239990532398,SeasonalDrift,0.014857121743261814,0.0005848817527294159,MeanRevertSlow,0.04762783274054527,0.03335559368133545
53,Seasonal,0.014388243667781353,SeasonalDrift,0.017550863325595856,0.0031626196578145027,MeanRevertSlow,0.05461764335632324,0.040229398757219315
54,SeasonalOffset,0.013859950006008148,SeasonalDrift,0.014100941829383373,0.00024099182337522507,MeanRevertSlow,0.055086899548769,0.04122694954276085
55,Seasonal,0.0143930958583951,SeasonalDrift,0.018765322864055634,0.004372227005660534,MeanRevertSlow,0.057344745844602585,0.04295165091753006
56,Seasonal,0.014277197420597076,SeasonalEWM,0.01922687701880932,0.004949679598212242,MeanRevertSlow,0.07302454113960266,0.058747343719005585
57,Seasonal,0.014323145151138306,SeasonalEWM,0.019150493666529655,0.00482734851539135,MeanRevertSlow,0.07139023393392563,0.05706708878278732
58,Seasonal,0.014284511096775532,SeasonalDrift,0.01784425787627697,0.003559746779501438,MeanRevertSlow,0.05330497398972511,0.039020463824272156
59,Seasonal,0.01427466794848442,SeasonalDrift,0.014994320459663868,0.0007196525111794472,MeanRevertSlow,0.04695810750126839,0.032683439552783966
60,SeasonalOffset,0.012594729661941528,SeasonalDrift,0.013197646476328373,0.0006029168143868446,MeanRevertSlow,0.040106870234012604,0.027512140572071075
61,SeasonalOffset,0.013197775930166245,SeasonalDrift,0.013675014488399029,0.00047723855823278427,MeanRevertSlow,0.04590167477726936,0.03270389884710312
62,Seasonal,0.014275291003286839,SeasonalDrift,0.014617186039686203,0.00034189503639936447,MeanRevertSlow,0.05107112601399422,0.03679583594202995
63,SeasonalDrift,0.014280196279287338,SeasonalOffset,0.014280196279287338,0.0,MeanRevertSlow,0.05140135809779167,0.037121161818504333
64,SeasonalOffset,0.013683736324310303,SeasonalDrift,0.013967406935989857,0.000283670611679554,MeanRevertSlow,0.048368796706199646,0.03468506038188934
65,SeasonalOffset,0.012627199292182922,SeasonalDrift,0.013217424042522907,0.0005902247503399849,MeanRevertSlow,0.043989066034555435,0.03136186674237251
