window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,SeasonalTrend,0.007999840192496777,EWMTrend,0.008169802837073803,0.00016996264457702637,Persistence,0.058459702879190445,0.050459861755371094
1,SeasonalTrend,0.00909948069602251,EWMTrend,0.010398133657872677,0.0012986529618501663,Persistence,0.05903619900345802,0.04993671923875809
2,EWMTrend,0.007965372875332832,SeasonalTrend,0.008255477994680405,0.0002901051193475723,Persistence,0.02917124517261982,0.021205872297286987
3,EWMTrend,0.008056712336838245,SeasonalTrend,0.00816354900598526,0.00010683666914701462,Persistence,0.031005961820483208,0.022949248552322388
4,SeasonalTrend,0.008796598762273788,EWMTrend,0.009959027171134949,0.0011624284088611603,Persistence,0.04761594533920288,0.03881934657692909
5,SeasonalTrend,0.00945302378386259,EWMTrend,0.011136139743030071,0.0016831159591674805,Persistence,0.05032072588801384,0.040867701172828674
6,SeasonalTrend,0.009901556186378002,EWMTrend,0.011010285466909409,0.0011087292805314064,Persistence,0.04782974347472191,0.03792818635702133
7,SeasonalTrend,0.013963778503239155,EWMTrend,0.015219975262880325,0.0012561967596411705,Persistence,0.06941342353820801,0.05544964596629143
8,SeasonalTrend,0.010992479510605335,EWMTrend,0.011885362677276134,0.0008928831666707993,Persistence,0.04582085832953453,0.03482837975025177
9,SeasonalTrend,0.009960920549929142,EWMTrend,0.010149679146707058,0.00018875859677791595,Persistence,0.03121514618396759,0.021254226565361023
10,SeasonalTrend,0.010420811362564564,EWMTrend,0.010549859143793583,0.00012904778122901917,Persistence,0.031594205647706985,0.021173395216464996
11,SeasonalTrend,0.011722535826265812,EWMTrend,0.012273716740310192,0.0005511809140443802,Persistence,0.039714109152555466,0.02799157425761223
12,SeasonalTrend,0.012021037749946117,DampedTrend,0.012269951403141022,0.00024891365319490433,Persistence,0.033931538462638855,0.021910499781370163
13,DampedTrend,0.012112128548324108,SeasonalTrend,0.012886608950793743,0.000774480402469635,Persistence,0.031054995954036713,0.01894286647439003
14,EWMTrend,0.013292969204485416,DampedTrend,0.013574440963566303,0.00028147175908088684,Persistence,0.019736332818865776,0.00644336361438036
15,DampedTrend,0.012978303246200085,EWMTrend,0.013692422769963741,0.0007141195237636566,Persistence,0.02146068774163723,0.008482384495437145
16,DampedTrend,0.0129374535754323,EWMTrend,0.014484305866062641,0.0015468522906303406,Persistence,0.02343887649476528,0.010501422919332981
