window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,SeasonalDrift,0.1898021697998047,Seasonal,0.34806501865386963,0.15826284885406494,SeasonalEWM,0.4749717712402344,0.2851696014404297
1,SeasonalDrift,0.18042977154254913,Seasonal,0.315969854593277,0.13554008305072784,SeasonalEWM,0.4658442437648773,0.285414457321167
2,SeasonalDrift,0.18645815551280975,SeasonalOffset,0.1989331692457199,0.012475013732910156,SeasonalEWM,0.46309709548950195,0.276638925075531
3,SeasonalDrift,0.1999288648366928,Seasonal,0.2832386791706085,0.08330981433391571,SeasonalEWM,0.467217355966568,0.2672885060310364
4,SeasonalOffset,0.17200613021850586,SeasonalDrift,0.22237996757030487,0.05037383735179901,SeasonalEWM,0.4704609215259552,0.29845479130744934
5,SeasonalOffset,0.20944584906101227,SeasonalDrift,0.23722237348556519,0.027776524424552917,SeasonalEWM,0.47848060727119446,0.269034743309021
6,SeasonalOffset,0.17828738689422607,Seasonal,0.253574401140213,0.07528701424598694,SeasonalEWM,0.4833356440067291,0.30504825711250305
7,SeasonalOffset,0.18782006204128265,Seasonal,0.2499127835035324,0.062092721462249756,SeasonalEWM,0.49273136258125305,0.3049113154411316
8,SeasonalOffset,0.19625915586948395,Seasonal,0.2463209182024002,0.05006176233291626,SeasonalEWM,0.5010251998901367,0.30476605892181396
9,SeasonalOffset,0.24134010076522827,Seasonal,0.24697847664356232,0.005638375878334045,SeasonalEWM,0.5077641606330872,0.2664240598678589
10,SeasonalOffset,0.18636369705200195,Seasonal,0.24615596234798431,0.05979226529598236,SeasonalEWM,0.5160620212554932,0.3296983242034912
11,Seasonal,0.24625806510448456,SeasonalDrift,0.31529712677001953,0.06903906166553497,SeasonalEWM,0.5166952610015869,0.27043718099594116
12,Seasonal,0.24550698697566986,SeasonalDrift,0.3184429109096527,0.07293592393398285,SeasonalEWM,0.5080545544624329,0.2625475525856018
13,Seasonal,0.2452014684677124,SeasonalDrift,0.31377509236335754,0.06857362389564514,SeasonalEWM,0.49284660816192627,0.24764513969421387
14,SeasonalOffset,0.19552850723266602,Seasonal,0.24378101527690887,0.04825250804424286,SeasonalEWM,0.48223599791526794,0.28670749068260193
15,Seasonal,0.2433559149503708,SeasonalOffset,0.2568379342556,0.013482019305229187,SeasonalEWM,0.47067174315452576,0.22731582820415497
16,SeasonalOffset,0.19753654301166534,Seasonal,0.23583871126174927,0.03830216825008392,SeasonalEWM,0.44667449593544006,0.24913795292377472
17,Seasonal,0.21527045965194702,SeasonalDrift,0.2988224923610687,0.0835520327091217,SeasonalEWM,0.41245758533477783,0.1971871256828308
18,Seasonal,0.20195627212524414,SeasonalDrift,0.2992900609970093,0.09733378887176514,SeasonalEWM,0.3898274600505829,0.18787118792533875
19,SeasonalOffset,0.15167947113513947,Seasonal,0.1707315295934677,0.019052058458328247,SeasonalEWM,0.3591233789920807,0.20744390785694122
20,SeasonalOffset,0.15973174571990967,Seasonal,0.16149306297302246,0.001761317253112793,SeasonalEWM,0.33933162689208984,0.17959988117218018
21,Seasonal,0.15199294686317444,SeasonalOffset,0.15732048451900482,0.005327537655830383,SeasonalEWM,0.32313522696495056,0.17114228010177612
22,Seasonal,0.15411947667598724,SeasonalDrift,0.24602355062961578,0.09190407395362854,SeasonalEWM,0.30959272384643555,0.1554732471704483
23,Seasonal,0.14999960362911224,SeasonalDrift,0.2404879331588745,0.09048832952976227,SeasonalEWM,0.294646292924881,0.14464668929576874
24,Seasonal,0.1479777842760086,SeasonalDrift,0.22444558143615723,0.07646779716014862,SeasonalEWM,0.2906236946582794,0.1426459103822708
25,Seasonal,0.14285670220851898,SeasonalDrift,0.22035884857177734,0.07750214636325836,SeasonalEWM,0.2887173295021057,0.14586062729358673
26,Seasonal,0.1420794278383255,SeasonalOffset,0.18192684650421143,0.039847418665885925,SeasonalEWM,0.28986290097236633,0.14778347313404083
27,Seasonal,0.14189909398555756,SeasonalDrift,0.20705854892730713,0.06515945494174957,SeasonalEWM,0.29367849230766296,0.1517793983221054
28,Seasonal,0.14225776493549347,SeasonalOffset,0.16195116937160492,0.01969340443611145,SeasonalEWM,0.2967347204685211,0.15447695553302765
29,Seasonal,0.14197055995464325,SeasonalOffset,0.1424984186887741,0.0005278587341308594,SeasonalEWM,0.2998015880584717,0.15783102810382843
30,Seasonal,0.14279495179653168,SeasonalOffset,0.18473470211029053,0.04193975031375885,SeasonalEWM,0.3039034307003021,0.16110847890377045
31,Seasonal,0.14269806444644928,SeasonalOffset,0.1925484538078308,0.04985038936138153,SeasonalEWM,0.30958279967308044,0.16688473522663116
32,Seasonal,0.1440294235944748,SeasonalDrift,0.20347364246845245,0.05944421887397766,SeasonalEWM,0.3177140951156616,0.17368467152118683
33,Seasonal,0.14282585680484772,SeasonalOffset,0.14286991953849792,4.406273365020752e-05,SeasonalEWM,0.32529422640800476,0.18246836960315704
34,Seasonal,0.14289750158786774,SeasonalOffset,0.1692633032798767,0.026365801692008972,SeasonalEWM,0.3281491696834564,0.18525166809558868
35,Seasonal,0.14274609088897705,SeasonalDrift,0.21122026443481445,0.0684741735458374,SeasonalEWM,0.334330677986145,0.19158458709716797
36,Seasonal,0.14414827525615692,SeasonalDrift,0.20120246708393097,0.05705419182777405,SeasonalEWM,0.33145344257354736,0.18730516731739044
37,Seasonal,0.1448243409395218,SeasonalDrift,0.1936367005109787,0.04881235957145691,SeasonalEWM,0.3277294635772705,0.18290512263774872
38,Seasonal,0.1458604484796524,SeasonalOffset,0.18218903243541718,0.03632858395576477,SeasonalEWM,0.3205017149448395,0.17464126646518707
39,Seasonal,0.14560441672801971,SeasonalDrift,0.1953231543302536,0.04971873760223389,SeasonalEWM,0.3197084963321686,0.17410407960414886
40,Seasonal,0.14613379538059235,SeasonalDrift,0.19459259510040283,0.048458799719810486,SeasonalEWM,0.3100711405277252,0.16393734514713287
41,Seasonal,0.14690232276916504,SeasonalOffset,0.1529470682144165,0.006044745445251465,SeasonalEWM,0.31473419070243835,0.16783186793327332
42,Seasonal,0.15104998648166656,SeasonalDrift,0.16773605346679688,0.01668606698513031,SeasonalEWM,0.3195144236087799,0.16846443712711334
43,Seasonal,0.14825588464736938,SeasonalDrift,0.16590672731399536,0.017650842666625977,SeasonalEWM,0.3077973425388336,0.15954145789146423
44,Seasonal,0.15629303455352783,SeasonalDrift,0.16516713798046112,0.008874103426933289,SeasonalEWM,0.3183961510658264,0.16210311651229858
45,Seasonal,0.1756201535463333,SeasonalDrift,0.1765165776014328,0.0008964240550994873,SeasonalEWM,0.34354910254478455,0.16792894899845123
46,SeasonalDrift,0.17354464530944824,Seasonal,0.17633993923664093,0.002795293927192688,SeasonalEWM,0.3598731458187103,0.18632850050926208
47,SeasonalDrift,0.18017645180225372,Seasonal,0.1816743165254593,0.0014978647232055664,SeasonalEWM,0.37516269087791443,0.1949862390756607
48,Seasonal,0.18643414974212646,SeasonalDrift,0.18686479330062866,0.00043064355850219727,SeasonalEWM,0.383559912443161,0.19712576270103455
49,Seasonal,0.18999876081943512,SeasonalDrift,0.19261081516742706,0.0026120543479919434,SeasonalEWM,0.3887946307659149,0.1987958699464798
50,Seasonal,0.19249479472637177,SeasonalDrift,0.19603227078914642,0.003537476062774658,SeasonalEWM,0.39044079184532166,0.1979459971189499
51,Seasonal,0.19355656206607819,SeasonalOffset,0.19758276641368866,0.004026204347610474,SeasonalEWM,0.39365068078041077,0.20009411871433258
52,SeasonalOffset,0.18571524322032928,Seasonal,0.1935696005821228,0.007854357361793518,SeasonalEWM,0.39370837807655334,0.20799313485622406
53,Seasonal,0.1941913366317749,SeasonalDrift,0.2012144774198532,0.007023140788078308,SeasonalEWM,0.39679503440856934,0.20260369777679443
54,Seasonal,0.19358627498149872,SeasonalOffset,0.20071999728679657,0.0071337223052978516,SeasonalEWM,0.39627090096473694,0.20268462598323822
55,SeasonalOffset,0.185469388961792,Seasonal,0.19381000101566315,0.008340612053871155,SeasonalEWM,0.40261849761009216,0.21714910864830017
56,SeasonalOffset,0.18211686611175537,Seasonal,0.19256119430065155,0.01044432818889618,SeasonalEWM,0.40222299098968506,0.2201061248779297
57,Seasonal,0.19277942180633545,SeasonalOffset,0.20083291828632355,0.008053496479988098,SeasonalEWM,0.4059373438358307,0.21315792202949524
58,SeasonalOffset,0.18178148567676544,Seasonal,0.19306117296218872,0.011279687285423279,SeasonalEWM,0.4106440544128418,0.22886256873607635
59,Seasonal,0.1931287795305252,SeasonalDrift,0.21357549726963043,0.020446717739105225,SeasonalEWM,0.4164944589138031,0.2233656793832779
60,Seasonal,0.1935848593711853,SeasonalDrift,0.20411239564418793,0.010527536273002625,SeasonalEWM,0.41705551743507385,0.22347065806388855
61,Seasonal,0.19377397000789642,SeasonalDrift,0.19932901859283447,0.005555048584938049,SeasonalEWM,0.4155251085758209,0.2217511385679245
62,Seasonal,0.193973109126091,SeasonalDrift,0.2030497044324875,0.009076595306396484,SeasonalEWM,0.4157851040363312,0.22181199491024017
63,Seasonal,0.19663377106189728,SeasonalDrift,0.2076227217912674,0.010988950729370117,SeasonalEWM,0.4181285798549652,0.22149480879306793
64,Seasonal,0.1971578747034073,SeasonalDrift,0.21412257850170135,0.016964703798294067,SeasonalEWM,0.4192166328430176,0.2220587581396103
65,SeasonalOffset,0.19374658167362213,Seasonal,0.20530198514461517,0.011555403470993042,SeasonalEWM,0.4294212758541107,0.2356746941804886
66,Seasonal,0.20867204666137695,SeasonalDrift,0.22709576785564423,0.018423721194267273,SeasonalEWM,0.42854225635528564,0.2198702096939087
67,SeasonalOffset,0.20008766651153564,Seasonal,0.21133072674274445,0.011243060231208801,SeasonalEWM,0.4339362680912018,0.23384860157966614
68,SeasonalOffset,0.18918021023273468,Seasonal,0.20660406351089478,0.017423853278160095,SeasonalEWM,0.4233873784542084,0.2342071682214737
69,Seasonal,0.18595939874649048,SeasonalDrift,0.19265146553516388,0.006692066788673401,SeasonalEWM,0.3897608816623688,0.2038014829158783
