window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,EWMFast,EWMSlow,SeasonalOffset,SeasonalDrift,DampedTrend,MeanRevert,MeanRevertSlow,SeasonalEWM,SeasonalTrend,EWMTrend,ZeroPred,Persistence,HAR_EWM
0,0.5264244676,0.6683185101,0.7206981778,0.2761747241,0.7736060023,0.6285330057,0.6519715786,0.7222154737,0.09065467119,0.7191578746,0.7837586403,0.7139875293,0.3872467577,0.2495545149,0.6576669812,0.7903203964,0.6746335626,0.6746335626
1,0.2522788942,0.7178945541,0.7780275345,0.2424813956,0.7832835317,0.6285838485,0.7002210021,0.2291806936,0.0760974139,0.7242431641,0.7839505672,0.7209476829,0.3776013553,0.3673525751,0.7786762118,0.7870571613,0.6759621501,0.6759621501
2,0.2088852674,0.7175681591,0.899181664,0.2145149559,0.7946209908,0.631370306,0.7755001187,0.0850790143,0.07564043999,0.8385817409,0.8061106801,0.7894072533,0.373232007,0.4176430702,0.8444016576,0.7860687375,0.7760804296,0.6778790951
3,0.2644801736,0.6906552315,1.036335111,0.2041156739,0.8090195656,0.638584435,0.8778712153,0.232406199,0.0849013105,0.9663447738,0.8305160403,0.8625732064,0.3771948516,0.4715521336,0.9129030108,0.7830454707,0.8896086812,0.6809087396
4,0.2829131782,0.6268872023,1.392724156,0.1878625751,0.8187427521,0.6574885845,0.9034048915,0.06927930564,0.1028273106,1.2917732,0.8910652995,1.039701939,0.380084604,0.599100709,1.061000705,0.7806822658,1.174665809,0.6869065166
5,0.3171761036,0.5760250688,1.549106479,0.1841489077,0.837492466,0.6853866577,1.008907557,0.09236184508,0.1154098883,1.425795674,0.9179052711,1.107332587,0.3887572289,0.6515598893,1.133872867,0.7767248154,1.281323791,0.6935012937
6,0.3831673563,0.5436908603,1.606609344,0.1717830896,0.8477323651,0.7185475826,1.02968061,0.06938298792,0.1382072419,1.460648537,0.9239263535,1.115481496,0.3928101063,0.6662764549,1.163213134,0.7720173001,1.290572524,0.7002797723
7,0.4498050213,0.4932596982,1.90890944,0.1674625725,0.8699979782,0.7636309266,1.156078219,0.0737523213,0.1524732113,1.718085289,0.9740542769,1.242458701,0.4023096561,0.7631577849,1.291700959,0.7661125064,1.493659496,0.7086565495
8,0.482966274,0.4521841109,2.358072996,0.1621781439,0.8874508739,0.8255293965,1.191144466,0.1013744995,0.1639370173,2.097711802,1.048097491,1.426153302,0.4098037779,0.9023373723,1.466261029,0.7590324283,1.789553642,0.7193805575
9,0.4791920185,0.4379796982,2.931807756,0.1638295501,0.9052035213,0.9081623554,1.188735843,0.1572060436,0.1603505611,2.579315901,1.144755244,1.656620383,0.4167185724,1.079212785,1.680570602,0.7488066554,2.160686255,0.7322350144
10,0.6092239618,0.4933882654,2.520568371,0.161837101,0.9250760078,0.9748117328,1.216608524,0.08661522716,0.1759346575,2.160667896,1.064359665,1.414747357,0.4259516895,0.9525606036,1.552706838,0.7520856857,1.74688971,0.7488110662
11,0.6552913189,0.5318766236,3.192419052,0.1619222909,0.9281241894,1.065312028,1.027743816,0.3473843336,0.176230669,2.721225739,1.186555505,1.685613155,0.4270410836,1.154954791,1.783841968,0.7522087693,2.173937559,0.7683539987
12,0.7043950558,0.5787151456,2.148145676,0.1605975777,0.9026446342,1.094491363,0.7577164769,0.6670843959,0.1827206612,1.766542077,0.9872094989,1.181121469,0.4181323051,0.8359870315,1.393955231,0.758161366,1.353317618,0.7815568447
13,0.4445839822,0.5846664906,0.9952090383,0.1596273631,0.860157311,1.028555393,0.6269264817,0.3697129786,0.1821840256,0.8168962598,0.75325948,0.7031225562,0.4004878998,0.4539770186,0.9137638211,0.7619053721,0.6756672263,0.777654171
14,0.4187102318,0.5491432548,0.6197856069,0.1578752398,0.8363700509,0.9091213346,0.62775594,0.1000019014,0.1829376221,0.6050977707,0.6554163694,0.6053673625,0.3869075775,0.2815854549,0.6821731925,0.7664251328,0.664809823,0.7594076991
15,0.5774168968,0.498555392,0.6309800148,0.1574124992,0.8058621287,0.8326570392,0.6113339663,0.1726324409,0.168452248,0.6042295694,0.6683133245,0.6048719287,0.3738857806,0.2912462056,0.6906118393,0.7674865127,0.6281034946,0.7470653653
16,0.6760652065,0.4021559954,0.706934154,0.1474523991,0.7641596198,0.7369571328,0.6249738336,0.09018403292,0.1678950191,0.7702590823,0.6409128308,0.6757073402,0.3455762565,0.2425254136,0.6051934958,0.7675921917,0.8952832222,0.724217236
17,0.8434603214,0.3071822822,1.277844191,0.1281436682,0.7355766892,0.6516801715,0.614548564,0.4119007885,0.1813869327,1.373796105,0.6931993365,0.9482827187,0.3091890216,0.3169240654,0.6575033665,0.7661657333,1.521958351,0.6970450878
18,0.7265248299,0.3170793056,1.02069366,0.1198959947,0.7200681567,0.6231954694,0.6183981299,0.3763774931,0.1856568009,1.056630731,0.6828057766,0.7811114192,0.2905393541,0.2703695297,0.6337824464,0.7681109309,1.110607743,0.6855767369
19,0.7333874702,0.3431808949,0.9865045547,0.09119092673,0.6993669868,0.6119201183,0.6344602108,0.0624062717,0.1885183901,0.9865894318,0.6887720227,0.7371308208,0.2599535882,0.2543439567,0.6354776025,0.7683449388,0.9867088199,0.6731753945
20,0.6831687093,0.3313432634,1.391552567,0.08703502268,0.6756814122,0.6158813834,0.6992621422,0.07016307116,0.17467089,1.336526513,0.7323620915,0.8676459193,0.2420354635,0.3320121467,0.7115541101,0.7695515752,1.263726592,0.6618005037
21,0.5976328254,0.3720517159,1.835280061,0.0767307952,0.6580881476,0.6387314796,0.7811050415,0.08335676789,0.1578537971,1.687183022,0.7875499725,0.9906840324,0.2222218961,0.4223700464,0.8143179417,0.7715937495,1.500552058,0.6521958709
22,0.5439032912,0.4476349056,3.375818968,0.07483294606,0.6450157166,0.6924284101,0.63687253,0.6105912328,0.1438924819,3.003537178,0.9652342796,1.511300683,0.2030147165,0.7712815404,1.143190026,0.7670872211,2.542585373,0.6298685074
23,0.5032844543,0.57566154,2.461399078,0.06968041509,0.6329112053,0.7409350276,0.6061484218,0.3767932653,0.1401432306,2.071491957,0.8584683537,1.078941464,0.1854681224,0.5647380948,0.9444662929,0.7643796802,1.626338363,0.6160259247
24,0.3545134962,0.6741313934,1.577206492,0.06816279143,0.6346921325,0.7583897114,0.6341432929,0.5613386035,0.1260074824,1.255155087,0.776237011,0.765468061,0.182332322,0.3635115623,0.7470121384,0.7643530965,0.9407150745,0.6121402979
25,0.1798240542,0.7208054662,0.8858685493,0.06194350496,0.6399726868,0.7345599532,0.7250328064,0.2249169499,0.1214129329,0.7073124051,0.7417843342,0.641661346,0.1803387403,0.2108824402,0.6079390645,0.7642142177,0.6153073907,0.6113211513
26,0.1829095632,0.7104004025,0.6217352748,0.06026861072,0.6437196136,0.6898161769,0.7709611058,0.0860164538,0.1121786833,0.5741556287,0.7647368312,0.7104542851,0.1811187714,0.1587927938,0.5760688186,0.7638009191,0.6736801267,0.6120883822
