window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,Seasonal,0.5859093070030212,SeasonalOffset,0.6978037357330322,0.11189442873001099,Seasonal,0.5859093070030212,0.0
1,Seasonal,0.5884408354759216,SeasonalOffset,0.6002424359321594,0.011801600456237793,Seasonal,0.5884408354759216,0.0
2,Seasonal,0.5869136452674866,SeasonalOffset,0.7812645435333252,0.19435089826583862,Seasonal,0.5869136452674866,0.0
3,SeasonalOffset,0.5726563334465027,Seasonal,0.5850258469581604,0.012369513511657715,Seasonal,0.5850258469581604,0.012369513511657715
4,RidgeCov,0.5297766923904419,SeasonalOffset,0.5718598365783691,0.042083144187927246,Seasonal,0.5845082998275757,0.05473160743713379
5,RidgeCov,0.5477826595306396,Seasonal,0.5841343998908997,0.03635174036026001,Seasonal,0.5841343998908997,0.03635174036026001
6,RidgeCov,0.417561411857605,Seasonal,0.583919107913971,0.16635769605636597,Seasonal,0.583919107913971,0.16635769605636597
7,RidgeCov,0.32445040345191956,SeasonalOffset,0.4931265413761139,0.16867613792419434,Seasonal,0.5837100148200989,0.2592596113681793
8,RidgeCov,0.3656311333179474,SeasonalOffset,0.3813713490962982,0.01574021577835083,Seasonal,0.5807893872261047,0.21515825390815735
9,SeasonalOffset,0.2860163450241089,TargetRidge,0.47127392888069153,0.18525758385658264,Seasonal,0.5678034424781799,0.28178709745407104
10,RidgeCov,0.32863834500312805,SeasonalOffset,0.4189399182796478,0.09030157327651978,Seasonal,0.5307195782661438,0.20208123326301575
11,RidgeCov,0.337592214345932,Seasonal,0.46646571159362793,0.12887349724769592,Seasonal,0.46646571159362793,0.12887349724769592
12,Seasonal,0.4079878330230713,RidgeCov,0.4137146770954132,0.005726844072341919,Seasonal,0.4079878330230713,0.0
13,TargetRidge,0.2601679265499115,SeasonalOffset,0.2973571717739105,0.03718924522399902,Seasonal,0.38878726959228516,0.12861934304237366
