window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,EWMFast,EWMSlow,SeasonalOffset,SeasonalDrift,DampedTrend,MeanRevert,MeanRevertSlow,SeasonalEWM,SeasonalTrend,EWMTrend,ZeroPred,Persistence,HAR_EWM
0,1.744791389,1.662836671,1.669066548,0.585909307,1.561245322,1.545067191,1.566290736,0.6978037357,1.013040662,1.647812843,1.551256776,1.582687378,0.8186321855,0.8993150592,1.602909088,1.713070035,1.894901633,1.894901633
1,1.372283578,1.608338952,2.010080338,0.5884408355,1.578994155,1.54987061,1.810311913,0.6002424359,1.030887485,1.937976837,1.564173102,1.675688744,0.8369438648,1.068915606,1.733922958,1.712982059,1.895396233,1.895396233
2,1.008017659,1.49034965,2.983300447,0.5869136453,1.600763679,1.576729417,2.078411579,0.7812645435,1.068406701,2.701298714,1.614683032,1.906617522,0.8496380448,1.444292545,2.060977221,1.713503718,2.540451288,1.909578443
3,0.7227903008,1.320690751,4.32433176,0.585025847,1.622114062,1.636399388,2.213126898,0.5726563334,1.122353435,3.630218506,1.68325758,2.164707661,0.8571353555,1.90266645,2.488910675,1.713773727,3.250647306,1.934337974
4,0.5297766924,1.087357521,6.208808422,0.5845082998,1.654335976,1.742787004,2.439450741,0.5718598366,1.144981742,4.849884033,1.779679418,2.490439653,0.8725810051,2.505313873,3.088160276,1.713561893,4.132319927,1.969940782
5,0.5477826595,0.8625229001,8.16736412,0.5841343999,1.684966087,1.89621675,2.483760834,0.6738570333,1.163497329,5.928869724,1.868347526,2.745795012,0.8871638179,3.104119539,3.699897051,1.713071465,4.794312,2.013349771
6,0.4175614119,0.6664212346,9.78194046,0.5839191079,1.713270545,2.080576658,2.408851147,0.6174793839,1.182171822,6.589960575,1.925584316,2.860601187,0.9002792239,3.583240509,4.203410625,1.712304115,5.045972824,2.060167074
7,0.3244504035,0.5217046142,10.63675785,0.5837100148,1.738124847,2.264335632,2.272281885,0.4931265414,1.170906901,6.612373829,1.932049394,2.788561583,0.916039288,3.824425936,4.477282524,1.712304235,4.773739338,2.105266094
8,0.3656311333,0.4409512579,10.48747921,0.5807893872,1.735838771,2.40475297,1.884940028,0.3813713491,1.125841618,5.945037842,1.878821015,2.53471899,0.9215817451,3.758055925,4.410036087,1.711761832,4.023107052,2.140672684
9,0.5329877734,0.4712739289,8.624085426,0.5678034425,1.71641767,2.441158533,1.609604478,0.286016345,1.021883488,4.343213558,1.746677041,2.073853254,0.9188252091,3.166833162,3.82068944,1.711253166,2.767827272,2.15522933
10,0.328638345,0.6314650178,5.823777676,0.5307195783,1.680950761,2.341243505,1.551496863,0.4189399183,0.8467213511,2.593126297,1.601638198,1.657539964,0.8962815404,2.260629892,2.932978868,1.711245894,1.744772911,2.140588522
11,0.3375922143,1.058608055,2.925662041,0.4664657116,1.663340211,2.100472927,1.553942323,1.265635133,0.6296364665,1.528403282,1.517247796,1.552789569,0.856215775,1.255800128,2.017944336,1.711401463,1.743916512,2.088026524
12,0.4137146771,0.5075303912,3.062558889,0.407987833,1.660278916,1.94357264,1.542798996,0.4787933826,0.4760432243,1.569917798,1.522682548,1.535207391,0.824486196,1.262650728,2.068834066,1.713686943,1.639660001,2.047674179
13,0.4826293886,0.2601679265,3.125732183,0.3887872696,1.639725089,1.833782792,1.565533996,0.2973571718,0.4100681543,1.603982925,1.52671051,1.530426025,0.8013751507,1.26303196,2.07256341,1.714478016,1.596247077,2.011323929
14,0.538013041,0.2182696611,2.694484711,0.3838356435,1.619256973,1.738990426,1.631972313,0.3601889908,0.3808531761,1.539702773,1.523483157,1.543745399,0.7847437859,1.114899397,1.918915391,1.716187835,1.674447894,1.973567605
15,0.7111503482,0.2109947652,1.90572226,0.3695286214,1.594668984,1.636304855,1.764852643,0.2828416526,0.3438650072,1.682135582,1.539480209,1.694815278,0.7546916008,0.8101519942,1.636239886,1.71825397,2.260951757,1.921662688
16,0.7777401805,0.2435349673,1.761840463,0.3580688536,1.575281978,1.566719532,1.874431252,0.2863895595,0.3162105978,2.096177101,1.580077648,1.873859048,0.724437654,0.6984060407,1.561263442,1.719294071,2.851295471,1.863911986
17,0.9030726552,0.3429877758,1.82973969,0.3512366712,1.557884812,1.546937943,2.191606045,0.3586972058,0.3037974834,2.332887411,1.605888724,1.938260674,0.6987059712,0.6788141131,1.577455163,1.720891356,3.026395559,1.810975671
18,0.6969270706,0.4900006354,3.061660528,0.3255467415,1.554360032,1.590415359,2.151406527,1.202033997,0.2819256783,3.9954319,1.761720061,2.507702589,0.6497361064,0.8773633838,1.885547161,1.726141572,4.781688213,1.752977252
19,0.4538737237,0.6264416575,3.159664392,0.2868786752,1.554923058,1.679689765,2.41114521,0.729362905,0.2643714249,3.75756526,1.751214027,2.353377581,0.6010465026,0.8866340518,1.958603859,1.730615139,4.214329243,1.707683563
20,0.622384131,0.8218075633,4.037742138,0.2596196234,1.567602754,1.812561631,2.480207682,1.281468153,0.2686780989,4.291793346,1.812034607,2.461966276,0.5656031966,1.079241276,2.229706764,1.741957664,4.462938786,1.675507903
21,0.7726275325,1.179502606,6.175754547,0.2093927115,1.572433591,2.006803274,1.922722459,3.197706938,0.2943561971,5.822477818,1.958106399,2.868115664,0.5050742626,1.582491994,2.791656494,1.746448517,5.607522488,1.639634013
22,0.5006201863,1.054808021,4.170398235,0.1708347648,1.576969624,2.105225801,1.69923842,1.9668293,0.3382257521,3.575455427,1.768240333,2.115974426,0.4723007977,1.103459597,2.273506403,1.751744866,3.24912715,1.622488976
23,0.8173758984,1.020029187,2.56248498,0.1505892724,1.577814698,2.080044031,1.603521705,0.9261611104,0.3816360533,2.100070238,1.638997912,1.681569457,0.4605279267,0.7109430432,1.842072129,1.755277157,1.897593379,1.61567533
24,0.7487525344,0.9980372787,1.813684344,0.1423919052,1.574610591,1.974976897,1.611923814,0.5253406167,0.4191475809,1.598781705,1.593884587,1.583085179,0.4569076002,0.5245802999,1.626097798,1.756530404,1.574471474,1.614031196
25,0.7512238622,0.9490006566,1.596662402,0.1394862831,1.575038314,1.840303063,1.794904709,0.5023527145,0.4491486251,1.633396745,1.596042633,1.652411342,0.4570479691,0.4679632187,1.57013762,1.756765008,1.755789399,1.616387486
26,0.5771066546,0.8303335309,2.045907974,0.1394284517,1.580910683,1.695466638,2.016251564,0.2471806556,0.4689590931,2.343300581,1.659155369,1.952409744,0.4580976665,0.5739516616,1.717318892,1.756467938,2.591433287,1.625937462
27,0.4313648641,0.6968328357,2.948028564,0.1400250942,1.593087196,1.598785996,2.267127991,0.2188840061,0.4885439873,3.222068787,1.738993526,2.252145052,0.4599449933,0.794251442,2.00407958,1.75577867,3.415261269,1.640889049
28,0.3830100298,0.5524914861,4.30216074,0.140434131,1.607639909,1.571511269,2.349821091,0.1714884043,0.4998569489,4.306470871,1.837954879,2.583136559,0.4621787071,1.127764106,2.422417879,1.754322886,4.309219837,1.661620498
29,0.3862127364,0.4243093431,5.723705292,0.1405486315,1.631489277,1.623978972,2.477507353,0.1442406029,0.5073335767,5.23655653,1.927547097,2.832918882,0.4672617018,1.478892326,2.874962568,1.754073143,4.947087765,1.689693332
30,0.2816681564,0.358820051,6.60867548,0.1404103786,1.655737519,1.736020446,2.473520279,0.1402658373,0.5203985572,5.527289867,1.958721519,2.850877762,0.4750092328,1.696241379,3.171307325,1.754494309,4.926147461,1.721197724
31,0.2583008707,0.3264012039,7.346251965,0.140369162,1.676372528,1.88021791,2.358454943,0.1705225706,0.5213850141,5.633518219,1.971358776,2.80755496,0.4809167385,1.877084374,3.414428949,1.754254937,4.740599155,1.753305912
32,0.2073542327,0.3169260323,7.867662907,0.1406372041,1.674748421,2.031418562,1.917789817,0.449505657,0.4953016043,5.555593014,1.96447742,2.711894274,0.4774128199,2.007105827,3.549814939,1.752160072,4.423897266,1.78329742
33,0.2482815981,0.4340765476,6.242757797,0.1402565092,1.662731767,2.112873316,1.633489728,0.6834623814,0.4526979923,4.005933285,1.817414641,2.202264786,0.4724709988,1.603261113,3.054192543,1.751143813,3.033270597,1.802552342
34,0.2750965655,0.7102837563,3.762634039,0.1402376741,1.643248081,2.072516203,1.566216469,0.9678094387,0.3976330757,2.265811205,1.640047431,1.699595451,0.4675711691,0.9857874513,2.294373751,1.751230121,1.797113776,1.802587152
35,0.2016967386,1.013082504,2.142127991,0.1354061812,1.644475341,1.939359665,1.570796371,0.140149951,0.3093682528,1.556258798,1.551235557,1.551058173,0.4684999287,0.5852438807,1.787404418,1.753682017,1.618912339,1.785604954
36,0.1730605513,0.8371488452,1.868217468,0.1364573389,1.623720288,1.815644741,1.577513099,0.1780001521,0.2769354284,1.55124104,1.543728709,1.571083665,0.4623172283,0.5156188607,1.675962567,1.754535317,1.741058826,1.763442397
37,0.2128349543,0.5665109158,2.180735826,0.1371597052,1.622084618,1.757689595,1.573131204,0.2073494643,0.2478317022,1.596880913,1.563893199,1.555820465,0.4635644853,0.5979662538,1.788953304,1.756317973,1.574358463,1.752029896
