window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,RidgeCov,0.08929618448019028,TargetRidge,0.206178680062294,0.11688249558210373,RidgeCov,0.08929618448019028,0.0
1,RidgeCov,0.0754825547337532,TargetRidge,0.19185905158519745,0.11637649685144424,RidgeCov,0.0754825547337532,0.0
2,RidgeCov,0.07252626121044159,TargetRidge,0.22873187065124512,0.15620560944080353,RidgeCov,0.07252626121044159,0.0
3,RidgeCov,0.07304835319519043,TargetRidge,0.22238419950008392,0.1493358463048935,RidgeCov,0.07304835319519043,0.0
4,RidgeCov,0.06935299187898636,TargetRidge,0.2536947429180145,0.18434175848960876,RidgeCov,0.06935299187898636,0.0
5,RidgeCov,0.08420195430517197,TargetRidge,0.21371804177761078,0.1295160949230194,RidgeCov,0.08420195430517197,0.0
6,RidgeCov,0.0743001326918602,TargetRidge,0.23513197898864746,0.16083183884620667,RidgeCov,0.0743001326918602,0.0
7,RidgeCov,0.07755037397146225,TargetRidge,0.21539147198200226,0.1378411054611206,RidgeCov,0.07755037397146225,0.0
8,RidgeCov,0.07195412367582321,TargetRidge,0.2025628536939621,0.13060873746871948,RidgeCov,0.07195412367582321,0.0
9,RidgeCov,0.07482489943504333,TargetRidge,0.23594367504119873,0.1611187756061554,RidgeCov,0.07482489943504333,0.0
10,RidgeCov,0.07440239936113358,TargetRidge,0.21492904424667358,0.1405266523361206,RidgeCov,0.07440239936113358,0.0
11,RidgeCov,0.07742996513843536,TargetRidge,0.21420156955718994,0.13677160441875458,RidgeCov,0.07742996513843536,0.0
12,RidgeCov,0.07177924364805222,TargetRidge,0.2195761352777481,0.1477968990802765,RidgeCov,0.07177924364805222,0.0
13,RidgeCov,0.0777277946472168,TargetRidge,0.2236526757478714,0.1459248811006546,RidgeCov,0.0777277946472168,0.0
14,RidgeCov,0.07325581461191177,TargetRidge,0.22975297272205353,0.15649715065956116,RidgeCov,0.07325581461191177,0.0
15,RidgeCov,0.07401812821626663,TargetRidge,0.24659746885299683,0.1725793480873108,RidgeCov,0.07401812821626663,0.0
16,RidgeCov,0.07488396018743515,TargetRidge,0.26218271255493164,0.1872987449169159,RidgeCov,0.07488396018743515,0.0
17,RidgeCov,0.07438553124666214,TargetRidge,0.2380707859992981,0.16368526220321655,RidgeCov,0.07438553124666214,0.0
18,RidgeCov,0.07750556617975235,TargetRidge,0.2478289157152176,0.17032334208488464,RidgeCov,0.07750556617975235,0.0
19,RidgeCov,0.08773907274007797,TargetRidge,0.2438739389181137,0.15613487362861633,RidgeCov,0.08773907274007797,0.0
20,RidgeCov,0.08931363373994827,TargetRidge,0.237596333026886,0.1482827067375183,RidgeCov,0.08931363373994827,0.0
21,RidgeCov,0.08538173884153366,TargetRidge,0.23241181671619415,0.1470300853252411,RidgeCov,0.08538173884153366,0.0
22,RidgeCov,0.09133759886026382,TargetRidge,0.22753405570983887,0.13619646430015564,RidgeCov,0.09133759886026382,0.0
23,RidgeCov,0.08690369129180908,TargetRidge,0.22322063148021698,0.1363169401884079,RidgeCov,0.08690369129180908,0.0
24,RidgeCov,0.09727159142494202,TargetRidge,0.2223590612411499,0.12508746981620789,RidgeCov,0.09727159142494202,0.0
25,RidgeCov,0.0942540392279625,TargetRidge,0.2143857330083847,0.12013169378042221,RidgeCov,0.0942540392279625,0.0
26,RidgeCov,0.0938740000128746,TargetRidge,0.20651721954345703,0.11264321953058243,RidgeCov,0.0938740000128746,0.0
27,RidgeCov,0.09709522873163223,TargetRidge,0.21704168617725372,0.11994645744562149,RidgeCov,0.09709522873163223,0.0
28,RidgeCov,0.10242518037557602,TargetRidge,0.20062147080898285,0.09819629043340683,RidgeCov,0.10242518037557602,0.0
29,RidgeCov,0.10124939680099487,TargetRidge,0.19269317388534546,0.09144377708435059,RidgeCov,0.10124939680099487,0.0
30,RidgeCov,0.09189161658287048,TargetRidge,0.18218553066253662,0.09029391407966614,RidgeCov,0.09189161658287048,0.0
31,RidgeCov,0.079274982213974,TargetRidge,0.17978310585021973,0.10050812363624573,RidgeCov,0.079274982213974,0.0
32,RidgeCov,0.07891044020652771,TargetRidge,0.17201054096221924,0.09310010075569153,RidgeCov,0.07891044020652771,0.0
33,RidgeCov,0.083035908639431,TargetRidge,0.16506808996200562,0.08203218132257462,RidgeCov,0.083035908639431,0.0
34,RidgeCov,0.08389350026845932,TargetRidge,0.15301476418972015,0.06912126392126083,RidgeCov,0.08389350026845932,0.0
35,RidgeCov,0.09086670726537704,TargetRidge,0.14844056963920593,0.05757386237382889,RidgeCov,0.09086670726537704,0.0
36,RidgeCov,0.0808049663901329,TargetRidge,0.13989019393920898,0.05908522754907608,RidgeCov,0.0808049663901329,0.0
37,RidgeCov,0.08093757182359695,TargetRidge,0.13156577944755554,0.05062820762395859,RidgeCov,0.08093757182359695,0.0
38,RidgeCov,0.09195679426193237,TargetRidge,0.13821649551391602,0.04625970125198364,RidgeCov,0.09195679426193237,0.0
39,RidgeCov,0.075727179646492,TargetRidge,0.1302093118429184,0.05448213219642639,RidgeCov,0.075727179646492,0.0
40,RidgeCov,0.07717699557542801,TargetRidge,0.11928457021713257,0.04210757464170456,RidgeCov,0.07717699557542801,0.0
41,RidgeCov,0.07422840595245361,TargetRidge,0.1359044760465622,0.06167607009410858,RidgeCov,0.07422840595245361,0.0
42,RidgeCov,0.09443274885416031,TargetRidge,0.12239303439855576,0.027960285544395447,RidgeCov,0.09443274885416031,0.0
43,RidgeCov,0.07158409804105759,TargetRidge,0.11269421130418777,0.04111011326313019,RidgeCov,0.07158409804105759,0.0
44,RidgeCov,0.09356365352869034,TargetRidge,0.11471959203481674,0.021155938506126404,RidgeCov,0.09356365352869034,0.0
45,RidgeCov,0.06989884376525879,TargetRidge,0.10634549707174301,0.03644665330648422,RidgeCov,0.06989884376525879,0.0
46,RidgeCov,0.08374214172363281,TargetRidge,0.1035352349281311,0.01979309320449829,RidgeCov,0.08374214172363281,0.0
47,RidgeCov,0.09143248945474625,TargetRidge,0.10939346998929977,0.017960980534553528,RidgeCov,0.09143248945474625,0.0
48,RidgeCov,0.09750562161207199,TargetRidge,0.11349579691886902,0.015990175306797028,RidgeCov,0.09750562161207199,0.0
49,TargetRidge,0.09827202558517456,RidgeCov,0.12441933155059814,0.026147305965423584,RidgeCov,0.12441933155059814,0.026147305965423584
50,TargetRidge,0.09497282654047012,RidgeCov,0.09586336463689804,0.0008905380964279175,RidgeCov,0.09586336463689804,0.0008905380964279175
51,RidgeCov,0.07392565160989761,TargetRidge,0.12631240487098694,0.052386753261089325,RidgeCov,0.07392565160989761,0.0
52,RidgeCov,0.09818390756845474,TargetRidge,0.10079661756753922,0.0026127099990844727,RidgeCov,0.09818390756845474,0.0
53,RidgeCov,0.08261794596910477,TargetRidge,0.09690821170806885,0.01429026573896408,RidgeCov,0.08261794596910477,0.0
54,RidgeCov,0.07882065325975418,TargetRidge,0.09374973922967911,0.014929085969924927,RidgeCov,0.07882065325975418,0.0
55,RidgeCov,0.0912160649895668,TargetRidge,0.10367489606142044,0.012458831071853638,RidgeCov,0.0912160649895668,0.0
56,TargetRidge,0.11728253215551376,RidgeCov,0.13207878172397614,0.014796249568462372,RidgeCov,0.13207878172397614,0.014796249568462372
57,RidgeCov,0.09551635384559631,TargetRidge,0.10025187581777573,0.004735521972179413,RidgeCov,0.09551635384559631,0.0
58,RidgeCov,0.09827055782079697,TargetRidge,0.10026528686285019,0.0019947290420532227,RidgeCov,0.09827055782079697,0.0
59,TargetRidge,0.125142902135849,RidgeCov,0.14584465324878693,0.020701751112937927,RidgeCov,0.14584465324878693,0.020701751112937927
60,RidgeCov,0.14444293081760406,TargetRidge,0.1700599640607834,0.02561703324317932,RidgeCov,0.14444293081760406,0.0
61,TargetRidge,0.09124765545129776,RidgeCov,0.2286309003829956,0.13738325238227844,RidgeCov,0.2286309003829956,0.13738325238227844
62,TargetRidge,0.14070098102092743,RidgeCov,0.1717417687177658,0.03104078769683838,RidgeCov,0.1717417687177658,0.03104078769683838
63,TargetRidge,0.11493536829948425,RidgeCov,0.17165394127368927,0.05671857297420502,RidgeCov,0.17165394127368927,0.05671857297420502
64,TargetRidge,0.07975829392671585,RidgeCov,0.1617351621389389,0.08197686821222305,RidgeCov,0.1617351621389389,0.08197686821222305
65,TargetRidge,0.08645466715097427,RidgeCov,0.11957477778196335,0.033120110630989075,RidgeCov,0.11957477778196335,0.033120110630989075
66,TargetRidge,0.1578828990459442,RidgeCov,0.2085721492767334,0.050689250230789185,RidgeCov,0.2085721492767334,0.050689250230789185
67,TargetRidge,0.07665713131427765,RidgeCov,0.12235427647829056,0.04569714516401291,RidgeCov,0.12235427647829056,0.04569714516401291
68,TargetRidge,0.08250796049833298,RidgeCov,0.11972381919622421,0.037215858697891235,RidgeCov,0.11972381919622421,0.037215858697891235
69,RidgeCov,0.1708207130432129,TargetRidge,0.17284895479679108,0.002028241753578186,RidgeCov,0.1708207130432129,0.0
70,TargetRidge,0.11806990951299667,RidgeCov,0.13743482530117035,0.019364915788173676,RidgeCov,0.13743482530117035,0.019364915788173676
71,TargetRidge,0.06566521525382996,RidgeCov,0.1278679519891739,0.06220273673534393,RidgeCov,0.1278679519891739,0.06220273673534393
72,TargetRidge,0.09358897060155869,RidgeCov,0.1198326051235199,0.026243634521961212,RidgeCov,0.1198326051235199,0.026243634521961212
73,RidgeCov,0.15365028381347656,TargetRidge,0.18612997233867645,0.03247968852519989,RidgeCov,0.15365028381347656,0.0
74,TargetRidge,0.1471126824617386,RidgeCov,0.15482784807682037,0.007715165615081787,RidgeCov,0.15482784807682037,0.007715165615081787
75,TargetRidge,0.0733274295926094,RidgeCov,0.10618028789758682,0.03285285830497742,RidgeCov,0.10618028789758682,0.03285285830497742
76,TargetRidge,0.06625313311815262,RidgeCov,0.11077288538217545,0.04451975226402283,RidgeCov,0.11077288538217545,0.04451975226402283
77,TargetRidge,0.05808372423052788,RidgeCov,0.10896193981170654,0.050878215581178665,RidgeCov,0.10896193981170654,0.050878215581178665
78,TargetRidge,0.05672015622258186,RidgeCov,0.1096690371632576,0.052948880940675735,RidgeCov,0.1096690371632576,0.052948880940675735
79,TargetRidge,0.06168666481971741,RidgeCov,0.08552258461713791,0.0238359197974205,RidgeCov,0.08552258461713791,0.0238359197974205
80,TargetRidge,0.059181082993745804,RidgeCov,0.07289359718561172,0.013712514191865921,RidgeCov,0.07289359718561172,0.013712514191865921
81,TargetRidge,0.07407375425100327,RidgeCov,0.11364614963531494,0.039572395384311676,RidgeCov,0.11364614963531494,0.039572395384311676
82,TargetRidge,0.06202302873134613,RidgeCov,0.10524453967809677,0.04322151094675064,RidgeCov,0.10524453967809677,0.04322151094675064
83,TargetRidge,0.07892462611198425,RidgeCov,0.11244096606969833,0.03351633995771408,RidgeCov,0.11244096606969833,0.03351633995771408
84,TargetRidge,0.06614426523447037,RidgeCov,0.11165300011634827,0.0455087348818779,RidgeCov,0.11165300011634827,0.0455087348818779
85,RidgeCov,0.08384338021278381,TargetRidge,0.09361355751752853,0.00977017730474472,RidgeCov,0.08384338021278381,0.0
86,RidgeCov,0.05455082654953003,TargetRidge,0.07377775758504868,0.019226931035518646,RidgeCov,0.05455082654953003,0.0
87,TargetRidge,0.07813871651887894,RidgeCov,0.08138830959796906,0.0032495930790901184,RidgeCov,0.08138830959796906,0.0032495930790901184
88,RidgeCov,0.07712776213884354,TargetRidge,0.09195351600646973,0.01482575386762619,RidgeCov,0.07712776213884354,0.0
89,RidgeCov,0.06080259382724762,TargetRidge,0.10055860131978989,0.03975600749254227,RidgeCov,0.06080259382724762,0.0
90,RidgeCov,0.05403007194399834,TargetRidge,0.14095531404018402,0.08692523837089539,RidgeCov,0.05403007194399834,0.0
