window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,EWMFast,EWMSlow,SeasonalOffset,SeasonalDrift,DampedTrend,MeanRevert,MeanRevertSlow,SeasonalEWM,SeasonalTrend,EWMTrend,ZeroPred,Persistence,HAR_EWM
0,0.1068378612,0.3477739394,10.51024151,4.695683002,3.919988394,4.754611969,1.761291504,12.50287533,7.893278599,7.499392033,3.392092705,3.996217728,4.195886135,7.103246689,6.807113647,1.242589474,3.909449816,3.909449816
1,0.07900971919,0.3226598203,9.431990623,4.734929085,4.02765274,4.730852604,1.993362784,10.43483257,7.156921387,6.679330826,3.382409334,3.704000473,4.273866177,6.721434116,6.438436031,1.245053887,3.972522974,3.972522974
2,0.06400866061,0.382160306,10.44811726,4.787458897,4.066108227,4.801866531,1.825071335,13.03737354,8.186099052,7.62037611,3.615996122,4.232391357,4.324681759,7.158714294,6.878080845,1.243706584,4.755513668,4.05711174
3,0.07779991627,0.3703247607,9.832497597,4.827559948,4.217795849,4.832664013,2.234566212,10.54653931,7.282324314,7.186340332,3.660200119,4.118116856,4.424007416,6.954027653,6.7240448,1.242755055,4.499845982,4.129676342
4,0.0689978376,0.4168328345,10.4026289,4.87644434,4.271028996,4.910181046,2.145538807,12.01062012,7.889681339,7.743424892,3.840240717,4.466882706,4.4788661,7.21679306,6.992140293,1.236655831,4.992341518,4.209021091
5,0.08847554773,0.3522944748,8.780204773,4.908382416,4.235226154,4.860507488,1.808380604,12.60940552,8.150148392,6.427623749,3.719005346,3.891921043,4.483438969,6.591648102,6.293310165,1.233719707,4.031105995,4.25274229
6,0.08169905096,0.3828324378,9.020172119,4.931580067,4.319403172,4.858935356,1.973773956,12.44481659,8.116336823,6.752632141,3.877616882,4.162183285,4.543220043,6.710208416,6.446675777,1.228724718,4.392062664,4.305541992
7,0.08194413781,0.3474807739,7.85150671,4.953454494,4.374662399,4.779212475,2.123637199,10.76708508,7.485512257,5.851113796,3.816643953,3.794947386,4.587366104,6.238585949,5.97548914,1.226511955,3.777982712,4.335321903
8,0.08175485581,0.3227616847,6.663627625,4.991780758,4.311230183,4.643311977,1.74759531,11.92996693,7.976182938,4.933655262,3.749738693,3.410680771,4.581521988,5.742845058,5.408717632,1.237924099,3.155457735,4.361672878
9,0.08601168543,0.3714949191,7.537695408,5.002442837,4.482564926,4.611052036,2.45344758,9.989066124,7.216812134,5.832798004,4.019825459,4.010698795,4.678515434,6.137060642,5.901399136,1.233363867,4.003618717,4.392637253
10,0.08019147068,0.3347885907,6.22448349,5.042522907,4.507626057,4.502653599,2.510656357,8.685706139,6.702418804,4.772865772,3.904106379,3.518105745,4.714901447,5.573586941,5.316473484,1.243461251,3.231294394,4.416768551
11,0.07626996189,0.3312284052,5.683303356,5.08738184,4.454520702,4.384597778,2.16212678,9.991776466,7.279331207,4.394940853,3.918875456,3.398051262,4.715030193,5.344201565,5.034283638,1.25939405,3.018297911,4.439537048
12,0.07682213932,0.3347878158,5.342460632,5.117409229,4.520214558,4.266253948,2.497041225,8.663935661,6.743132114,4.212538242,3.976897001,3.400915146,4.767674923,5.196815968,4.906919003,1.269980431,2.984942675,4.449363708
13,0.0792670548,0.334887892,5.077103138,5.141715527,4.530525684,4.150579929,2.609581709,8.341304779,6.620337009,4.080376148,4.025272846,3.415360689,4.788430214,5.079126358,4.785017014,1.274884343,2.978285074,4.446605206
14,0.07380507141,0.339284271,4.987893581,5.177173138,4.532214642,4.073612213,2.595618963,8.740523338,6.815883636,4.098008633,4.113941669,3.5198524,4.810079098,5.052488327,4.744847298,1.285287738,3.09412837,4.459291935
15,0.06674584001,0.3567526639,5.253455639,5.212258816,4.660054684,4.052103996,3.287024736,7.193179607,6.153407574,4.437811375,4.280995846,3.824774742,4.89465189,5.20108223,4.943386555,1.292392254,3.49313736,4.482613087
16,0.07477544993,0.3728665411,5.456469059,5.254923344,4.541725636,4.066728592,2.441868544,10.89421082,7.776281357,4.69264555,4.412252903,4.054302692,4.858137131,5.321231842,4.982613087,1.297878861,3.792017698,4.514273167
