window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,EWMFast,EWMSlow,SeasonalOffset,SeasonalDrift,DampedTrend,MeanRevert,MeanRevertSlow,SeasonalEWM,SeasonalTrend,EWMTrend
0,0.9986546636,1.075852633,2.632226467,2.630798817,1.189869046,2.011996508,1.328772664,1.973291039,4.107074261,0.9189414978,0.8933255672,0.92223984,1.368455529,1.935634494,1.663741112
1,0.9335715175,1.031683087,2.695555449,2.63354516,1.138906121,1.677852988,1.172277927,2.325481653,3.940131426,0.922301054,0.8923777938,0.9257237315,1.328349113,1.9346838,1.647448421
2,0.9132903218,0.9936353564,2.380792141,2.641336203,1.06573689,1.40055275,0.9255719185,2.765225649,3.825948715,0.9102823138,0.9022095799,0.9785975814,1.277766585,1.777297974,1.475591063
3,0.8812842369,0.9611353874,2.968500137,2.632842779,1.037213206,1.245444536,0.8965687752,2.094625711,3.876207352,0.978107512,0.8863123059,0.8985584378,1.261471629,2.032611847,1.657772064
4,0.8123574853,0.8996086121,1.556455135,2.647051573,0.9741899371,1.037183166,0.888615787,2.372514963,3.565666914,1.308659315,0.9838209152,1.299575925,1.198381066,1.299727798,1.095207691
5,0.7939426899,0.8937776685,1.949757218,2.639420271,0.9500792027,0.955891192,0.9145939946,2.639420271,3.640849352,0.9190126061,0.9078226686,0.9888597131,1.182066798,1.562983036,1.252205253
6,0.822603941,0.8683273196,1.598135948,2.641878843,0.9347930551,0.9021794796,0.9168830514,5.961733341,3.637001753,1.003538251,0.9344270229,1.065689564,1.165574074,1.380532384,1.124837041
7,0.7853551507,0.8355224133,1.323178172,2.433214426,0.9139752984,0.8731374741,0.9374013543,9.412148476,2.879136324,1.354885697,1.000545621,1.269460559,1.050877213,1.084265351,1.003144264
8,0.7706192136,0.8877332807,1.447681069,2.098361731,0.8975427747,0.8773644567,1.15663445,2.102193594,2.170657158,0.9646752477,0.9311919212,1.007798791,0.8997263908,1.088262558,1.063499928
9,0.7156441808,0.8748404384,1.200921893,2.05650115,0.8925306201,0.8962352276,1.082965851,2.870339632,2.070337534,1.270339131,0.9934523702,1.17910707,0.8608534932,0.8940577507,0.9711186886
10,0.7064213157,0.8896338344,1.24464798,1.987819076,0.8771714568,0.9353866577,1.41339767,2.312422276,1.95405817,1.567896247,1.039304137,1.295556068,0.7950127125,0.8107183576,0.972091496
11,0.7589004636,0.9344748855,1.176588535,1.969554901,0.8791130185,0.9795977473,1.021228671,1.877404094,1.923548698,1.422939301,1.016039133,1.192390084,0.7783334851,0.7810238004,0.9522766471
12,0.8126935959,0.9688720703,1.232306361,1.973610282,0.8734089732,1.027541399,0.9679719806,2.09264636,1.941615939,1.491813183,1.024957061,1.19829452,0.7707042098,0.7753043175,0.9628151059
13,0.863733232,0.9969957471,1.001708388,1.961827874,0.8734169602,1.04325068,0.9959933758,2.370216131,1.988872886,1.064615607,0.954135716,0.9964310527,0.7717712522,0.7648382187,0.9143181443
14,0.9180732369,1.019531608,1.018800855,1.953717589,0.8777053356,1.058143139,0.8763923049,14.03542805,2.076210022,1.094037414,0.9624741673,1.001287699,0.7796619534,0.7542798519,0.9142521024
15,0.9437565804,1.008215547,0.9316474795,1.407741904,0.8771469593,1.041796207,0.8767140508,12.95832729,1.380728841,0.9116719365,0.916298151,0.9094471931,0.612868309,0.6206036806,0.8987927437
16,0.9452340603,0.9724531174,1.013255119,1.064459443,0.8787568212,1.002111197,0.881483078,14.15976715,1.121236801,0.9110648036,0.884264946,0.8820168972,0.5560701489,0.5973975062,0.9277935028
17,0.7717893124,0.7382215858,7.878140926,0.8201610446,0.8763435483,0.8523643613,0.9670186639,1.133971691,1.066726565,6.6816926,1.167883515,2.586051702,0.5189214349,2.289136171,2.842211962
18,0.6603235602,0.6957092285,7.501597881,0.8720476031,0.9049062729,0.8603317142,1.402194381,1.058648229,1.129333854,5.886160374,1.122008681,2.282934666,0.5382080674,2.237563848,2.884549856
19,0.5813990235,0.6443926692,10.5925293,0.8759112358,0.8974806666,0.9834343791,1.054993749,2.545481443,1.222040772,7.851289749,1.259571671,2.789613962,0.5402088165,3.035865784,3.77076149
20,0.5349263549,0.6438792944,11.28075504,0.9408574104,0.9491727948,1.185101867,1.480061889,1.573076725,1.19561851,7.806638241,1.267042756,2.70474124,0.5515114665,3.288549423,4.119961262
21,0.5164651871,0.6598358154,13.39093876,1.02655828,0.9269787669,1.451150894,0.9001833797,1.591596603,1.230566144,8.711665154,1.334126949,2.86942029,0.5580922961,3.913338661,4.695352077
22,0.547250092,0.7026022077,13.41084957,1.07448566,0.9344353676,1.72087729,0.7715230584,3.526346445,1.284693241,8.168468475,1.306684136,2.655238867,0.5666467547,3.969632387,4.74099493
23,0.5959498286,0.7552809119,14.33865833,1.167881608,0.9288926125,2.004059076,0.7068068981,9.492486,1.274220109,8.432816505,1.349874973,2.701245308,0.5776349902,4.330847263,5.013786793
24,0.599532485,0.8085368276,5.710872173,1.154119611,0.9202632904,1.919238687,0.7471603751,3.206916809,1.16031158,2.367329121,0.8630116582,1.015929103,0.5750474334,2.041627169,2.487138987
25,0.6150948405,0.8254674077,3.177528381,1.145530343,0.9073505998,1.705871105,0.7857267261,2.083514214,1.092409015,1.10902524,0.7699535489,0.7428386807,0.5727085471,1.320274234,1.677667975
26,0.6200247407,0.817156136,1.934484839,1.140038371,0.9114643931,1.456766725,0.720197022,1.140038371,1.059957385,0.7471134067,0.7479142547,0.7044278979,0.5776858926,0.9338248372,1.259822726
27,0.6479480267,0.8298758864,3.835394144,1.169062972,0.9243971705,1.417214036,0.7342631817,5.091697216,1.043505311,1.665353179,0.8543283343,0.9140580297,0.6039225459,1.578573585,1.920329571
28,0.6822328568,0.8400325775,3.406374931,1.169190764,0.9217324853,1.37129581,0.8071128726,3.110998154,0.9792189598,1.499686837,0.8608942032,0.8938541412,0.6283307672,1.511721611,1.780987144
29,0.7348472476,0.8118024468,2.085917473,1.179536223,0.927251339,1.257734299,0.7655223012,2.536572695,0.9713906646,0.9263991714,0.8141770959,0.7640609145,0.6451788545,1.091900229,1.346111655
30,0.7463126779,0.8112092018,1.714614272,1.191541791,0.958969593,1.161407709,0.7290629745,3.2661798,0.9726865888,0.8425152302,0.8202237487,0.7594031692,0.6791901588,0.9812757969,1.239560485
31,0.775203228,0.9423282743,3.922250986,1.246334314,0.9553596377,1.200457454,0.7284237742,4.9120574,1.132832885,2.181419611,0.9926075935,1.178026676,0.7257727981,1.848836303,1.994724274
32,0.8530442715,1.04922843,5.756496429,1.416969657,0.9890613556,1.3085922,0.7132511139,9.214853287,1.549959302,3.546190977,1.166391492,1.641950965,0.8336760402,2.603893042,2.615712166
33,0.7358935475,0.8769199848,2.168176651,1.460554481,1.008653045,1.250424504,0.7366691232,5.195119381,1.781443238,1.128766656,0.8937351108,0.868632257,0.8850521445,1.394795418,1.45331192
34,0.6836763024,0.7674177289,0.8692696691,1.458798289,0.9758777618,1.059097171,0.7316630483,1.719221711,1.940032601,0.8788850904,0.7940673828,0.7832236886,0.8721998334,0.6572840214,0.8223999143
35,0.6775663495,0.8087852597,0.8486865163,1.459947705,0.976085186,0.9404788017,0.8302462697,2.214460373,2.060292721,0.7585473061,0.8015697598,0.7438526154,0.8824653029,0.7059530616,0.8513467908
36,0.6964287758,0.8307204247,0.8142857552,1.455477595,0.9225133061,0.8578240871,0.7286464572,1.455477595,2.124834776,0.7719881535,0.800865829,0.7464640737,0.8540997505,0.6716985703,0.8108825088
37,0.7274993062,0.8506734967,0.7944312692,1.455764771,0.8925758004,0.794103384,0.7215332985,1.339794159,2.063749075,0.8440939784,0.7981899381,0.7589296699,0.8321709633,0.5938974023,0.7591228485
38,0.7338960171,0.8627157211,0.8883382678,1.464098811,0.913901329,0.7814190984,0.8230106235,1.739337564,2.09285903,0.7413721085,0.8436467648,0.7725644112,0.8573724627,0.8114083409,0.890935421
39,0.7604499459,0.8584058881,1.077108383,1.474795341,0.8823161721,0.783400476,0.7216868401,1.60915792,2.515722275,0.8655533791,0.8798007369,0.841189146,0.8421764374,0.9515166283,0.9659133554
40,0.824413538,0.8829742074,0.7475824952,1.492037773,0.8696152568,0.765049994,0.7234134078,3.752189875,2.851692915,0.7195774913,0.8254285455,0.7487154603,0.839030087,0.6835635304,0.782863915
41,0.8513634205,0.9017867446,0.7563983798,1.381590843,0.8645901084,0.7470461726,0.7371301055,3.913597107,2.481314898,0.7745512128,0.8146311641,0.743751049,0.816935122,0.6004418135,0.7365889549
42,0.8907740712,0.9503519535,1.060959458,1.349628806,0.8547418714,0.7258902192,0.7934267521,7.162599087,2.043483973,1.067507625,0.7979278564,0.7791478038,0.8182294369,0.5966606736,0.7325673699
43,0.8630421162,0.8253059387,0.748922348,1.301669478,0.8651707768,0.7292750478,0.8734781146,3.987388611,1.76119411,0.7555425763,0.8675028682,0.8161076903,0.8453655839,0.7656547427,0.7958472371
44,0.887701571,0.8874292374,0.7999792099,1.301605582,0.870900631,0.7280518413,1.056869149,6.41709137,1.481202722,0.7801781297,0.8160626292,0.7474207878,0.886636436,0.7485907078,0.727643013
45,0.8909870982,0.8005173802,0.8637114167,1.18870008,0.8793786168,0.7338654399,1.15171814,3.647074938,1.237170339,0.8888516426,0.9023120999,0.9029504657,0.8787764907,0.8725354075,0.8712345958
46,0.9339422584,0.9012047648,0.9136235118,1.187550545,0.839559257,0.7271158099,0.8910098672,7.366952419,1.171718597,0.8802476525,0.7908444405,0.7464231849,0.8952458501,0.8485659957,0.7276132703
47,0.9120656848,0.8664255142,0.7855215073,1.1161865,0.8467944264,0.7285539508,1.081231713,1.877148747,1.134626269,0.7606925964,0.8057591319,0.7477366924,0.8993962407,0.8656985164,0.7314071655
48,0.903550446,0.8932120204,1.282553554,1.139591336,0.8076460958,0.729406774,0.8473143578,1.747543931,1.241800308,1.164884567,0.7729945183,0.7874862552,0.8931080699,1.010422111,0.7790794373
49,0.8851925731,0.9142270088,3.161956072,1.220438838,0.7501382828,0.7572773099,0.7379641533,2.559722185,1.437963843,2.712784052,0.815112412,1.145321488,0.8935418725,1.551017642,1.197157145
50,0.8626645207,0.8470902443,2.247550964,1.238830686,0.7406945229,0.7900860906,0.7393961549,3.47573781,1.518066287,1.712026477,0.7822884917,0.8796954751,0.8924139142,1.329402208,1.010522962
51,0.8401947021,0.825592339,2.192535639,1.220949769,0.7361863256,0.8185393214,0.7557396889,2.927942276,1.652067065,1.510635495,0.78598243,0.8289072514,0.8796665072,1.331997037,1.011548519
52,0.7616594434,0.7964975238,3.831260681,1.208305359,0.7300732732,0.876712501,0.7255578041,3.070479155,1.919147849,2.514484644,0.8241279721,1.022224426,0.8597673774,1.816832542,1.397204995
53,0.7430222631,0.8014681935,2.978308916,1.198087573,0.726860106,0.9029967189,0.72159338,2.03031826,2.061343908,1.7078228,0.7992258668,0.8422355056,0.8494674563,1.585382342,1.204339862
54,0.7582883835,0.7789478302,3.912914276,1.188412786,0.7213923335,0.9434492588,0.7215233445,5.109578609,2.242013454,2.154384851,0.8128044009,0.9105100036,0.8350351453,1.868921876,1.430203915
55,0.7676420212,0.7947058678,3.466290712,1.10762918,0.7160167098,0.9580023289,0.724101305,6.272350311,2.597080708,1.716847301,0.7983605266,0.8228895068,0.8014507294,1.745225072,1.348763466
56,0.725022316,0.7543020248,5.49608469,0.9218270183,0.7118876576,1.01607585,0.7921030521,3.872567177,3.114489555,2.803866386,0.837677002,1.004735351,0.708738327,2.355390787,1.821575522
57,0.6021875739,0.7971401215,3.946572065,0.8787530065,0.710637331,1.020088792,0.8346374631,0.7516705394,3.438634872,1.716934562,0.7915976644,0.803781569,0.6856023669,1.8837322,1.450731635
58,0.5367661119,0.7865207791,4.413009167,0.8797747493,0.7090001106,1.028352141,0.7312751412,1.055135846,3.46661377,1.917848587,0.7980234623,0.8326746821,0.6969819069,2.026180506,1.599915862
59,0.5224657059,0.7779268622,5.731803417,0.8804133534,0.7095907331,1.065743446,0.757610023,1.423547268,3.617989779,2.574523926,0.8306692243,0.9428175092,0.6957040429,2.438281536,1.938278794
60,0.5597072244,0.787999332,6.876666546,0.8913974762,0.7055692077,1.121796727,0.9388380051,1.603697896,3.829970121,3.125926256,0.8605418205,1.042142272,0.6895090938,2.803994417,2.211272717
61,0.6260333657,0.8077719808,7.122478485,0.9037863612,0.7025637031,1.175485969,1.257468581,3.048159599,3.955612183,3.178942442,0.8674986362,1.054317355,0.6852149963,2.895394564,2.257199764
62,0.6715925336,0.8120000362,5.975654602,0.898709476,0.7049704194,1.190394998,1.186462402,3.108667374,4.230473518,2.480269194,0.8320196271,0.9291796684,0.685031414,2.563333273,1.992310166
63,0.6569387913,0.7665341496,3.682841539,0.8872465491,0.705819428,1.121819019,1.357797503,0.9864218831,4.405858517,1.282194972,0.7668747902,0.7508716583,0.6775898933,1.82499969,1.396385789
64,0.548389852,0.583429873,2.692422628,1.037350655,0.6719735265,0.7556071281,0.7768413424,6.329601288,3.774674416,4.907173157,1.251011491,2.898112059,0.666703999,0.7898475528,1.107328534
65,0.5179385543,0.544113934,1.022009254,1.063565493,0.6622335911,0.6675024033,0.8352573514,3.893035173,3.019639969,1.833630919,0.9217733741,1.517556548,0.6411446929,0.5982069969,0.7097070217
66,0.481061548,0.5227718949,0.9366963506,1.019661307,0.6597027779,0.6564736962,0.8720917106,1.694028497,2.293678999,1.592843533,0.8948228955,1.374522686,0.5968002081,0.5710752606,0.6990000606
67,0.4470993578,0.4287731647,4.299909592,1.135663986,0.6427546144,0.7537366748,0.7595373988,8.453379631,1.831145167,6.306465149,1.442122936,3.311778307,0.5668908358,1.277247071,1.671156526
68,0.4654660523,0.5013158917,1.500517249,1.06075561,0.6685557961,0.871552527,0.956541121,2.180550337,1.404492974,2.378918409,1.009877682,1.666814446,0.5121164322,0.64786309,0.9336271882
69,0.5041329861,0.649954617,0.8008589745,1.063341975,0.6552267671,0.854722321,0.710601747,1.400142312,1.318720222,0.6293055415,0.7139914036,0.7226862907,0.5120686889,0.5436349511,0.6228555441
70,0.5209501386,0.646930933,0.7144085765,0.9956815839,0.6494150758,0.8590402603,0.6281657815,1.295570731,1.100154877,0.6861661077,0.7391476035,0.785794735,0.4796684682,0.4745701253,0.6185355186
71,0.5773556828,0.7906396985,2.465319395,1.043609023,0.6329366565,0.7523363233,0.6146597862,1.043609023,1.108555198,1.383598924,0.6681316495,0.7053492069,0.4955300093,0.9863479733,0.9672732353
72,0.6852571368,0.8516002297,4.49638176,1.115388274,0.6360763907,0.6557542682,0.7466496825,1.110790253,1.169031143,2.593138933,0.7123718858,0.9359986186,0.5208919644,1.577414155,1.421723723
73,0.74360466,0.8229843974,4.515530109,1.099550843,0.6169564128,0.6164166927,0.6131522059,1.162900567,1.118762136,2.471982241,0.7057253718,0.9019702077,0.520121038,1.579119086,1.49795723
74,0.7702419162,0.8317629695,5.767905712,1.162389636,0.6193387508,0.626052916,0.6701447368,1.525628448,1.179632068,3.111642599,0.7440466881,1.030941367,0.551356554,1.9673208,1.891069889
75,0.7834966779,0.7846077085,3.538873911,1.16481638,0.6221678853,0.6384499669,0.6769372821,1.371213555,1.161112428,1.468824983,0.6684119105,0.6898382306,0.5532551408,1.36591053,1.299705029
76,0.6826575398,0.7811164856,6.753530979,1.175065875,0.6210699677,0.6770113111,0.748675406,1.543285847,1.157134414,3.368535995,0.7569049001,1.052148938,0.5628053546,2.238974094,2.217487097
77,0.6251994967,0.7661086917,7.224942684,1.196299553,0.6175358891,0.7303946018,0.6568716168,1.335770965,1.171862245,3.313747644,0.7491111755,1.003001809,0.5653143525,2.388601542,2.346146822
78,0.6643331647,0.7981360555,4.268810272,1.196363449,0.6166597009,0.7318341136,1.6836797,1.198917866,1.173107624,1.402361393,0.6624222398,0.6596560478,0.5607163906,1.566393495,1.430172086
79,0.6056290269,0.7641961575,5.155950546,1.19955647,0.6254904866,0.7603164315,2.02167201,1.236595511,1.18156898,1.994483113,0.7002751231,0.7663024068,0.5667466521,1.80515945,1.64201355
80,0.6672388911,0.7458894253,4.747637749,1.196235657,0.630425632,0.7837474942,0.6784264445,1.222801685,1.217522621,1.913025856,0.7042155862,0.7764043212,0.5832189918,1.687523246,1.674530864
81,0.5453535318,0.7159443498,6.704650402,1.20134449,0.6368991733,0.8451775908,0.7202026844,1.470836043,1.216990471,3.021754503,0.7898487449,1.012350082,0.5825905204,2.217552185,2.19219327
82,0.498888582,0.737033546,5.084187031,1.202142715,0.64729321,0.8625434041,0.6270530224,1.186624646,1.215149045,1.975504398,0.7180401683,0.7923615575,0.5889703035,1.786532283,1.819957376
83,0.4873927534,0.7438054085,4.658329487,1.202015042,0.6650717258,0.8620877862,0.7157335877,1.357132435,1.241752267,1.662077546,0.7001202703,0.734569788,0.6012858152,1.657973886,1.748790622
84,0.5185576081,0.7434792519,5.363527298,1.191797376,0.683734715,0.8720148206,0.873806417,1.309428334,1.272562385,1.900201201,0.7242956758,0.7728614807,0.6097025275,1.82060051,1.96929729
85,0.5865505934,0.7474386096,4.87295866,1.180621743,0.6833097339,0.8550826907,0.8037068844,1.32890594,1.32382381,1.482329965,0.6989417076,0.7013837695,0.6109341979,1.659649014,1.81194365
86,0.6494643092,0.7490121722,6.383165359,1.176981807,0.6402850151,0.8633694649,3.550646544,1.317219496,1.364638448,2.0731318,0.7414024472,0.7815998197,0.5920026898,2.036759138,1.912706971
87,0.7974403501,0.7450736165,5.55922842,1.184006333,0.6390656829,0.8764639497,3.609725714,11.03417587,1.358209968,1.932936311,0.7383545041,0.7880058289,0.5927765965,1.85519886,1.739060402
88,0.8888878822,0.6870085597,2.809910536,0.9973101616,0.6456487179,0.8377397656,4.260425091,3.792869568,0.9692220688,0.8792896867,0.6532056332,0.6505525708,0.563871026,1.185373187,1.06995368
89,0.839658916,0.7173771262,2.563094378,0.9709675908,0.6733598709,0.8409746289,1.399385452,4.003129959,0.9100632668,0.9969150424,0.6874153018,0.6907275319,0.6015941501,1.192705631,1.140638351
90,0.6811617017,0.6111899018,0.8709561825,0.994564116,0.7358736992,0.8187984824,2.259254694,5.018289089,0.9636237025,0.9721007347,0.7011856437,0.9257250428,0.645596981,0.6470668912,0.7255716324
91,0.5480565429,0.60109514,0.8772184253,0.8461840749,0.7642009258,0.7784935832,1.026313305,1.564551473,0.9495424628,1.195712447,0.7281155586,0.9845134616,0.6577563882,0.5918646455,0.7470598817
92,0.4222929478,0.5002081394,2.041986227,0.8524744511,0.752771616,0.7541401386,1.338791251,1.78356111,1.02628696,2.871511698,0.8411585689,1.57559967,0.6371259689,0.7218914628,1.045801997
93,0.3922463953,0.5363531709,2.117738485,0.8739635348,0.7520746589,0.7931812406,1.473574758,1.370159984,0.9749696255,2.65692687,0.8310933709,1.435121655,0.6147096753,0.7590603828,1.103709221
94,0.3715008795,0.509306252,4.587823391,0.9307674766,0.7342423797,0.9051539898,0.8889780045,7.086286068,0.9887208939,4.868043423,0.9836165309,2.087040424,0.5925307274,1.313081503,1.732015252
