window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,MeanRevertSlow,1.0139938592910767,RidgeCov,1.0181763172149658,0.00418245792388916,TargetRidge,1.0989441871643066,0.08495032787322998
1,SeasonalTrend,0.9677137732505798,RidgeCov,0.9836267828941345,0.015913009643554688,TargetRidge,1.1444659233093262,0.17675215005874634
2,SeasonalTrend,0.9544221758842468,RidgeCov,0.994400680065155,0.0399785041809082,TargetRidge,1.0882190465927124,0.13379687070846558
3,RidgeCov,0.9431506991386414,SeasonalTrend,0.9795730710029602,0.03642237186431885,TargetRidge,1.0449076890945435,0.1017569899559021
4,RidgeCov,0.9491467475891113,EWMFast,0.9629856944084167,0.01383894681930542,TargetRidge,0.9773563742637634,0.0282096266746521
5,RidgeCov,0.91119384765625,TargetRidge,0.9387404322624207,0.027546584606170654,TargetRidge,0.9387404322624207,0.027546584606170654
6,RidgeCov,0.8597318530082703,TargetRidge,0.9542744755744934,0.09454262256622314,TargetRidge,0.9542744755744934,0.09454262256622314
7,RidgeCov,0.8003517985343933,TargetRidge,0.9319809079170227,0.1316291093826294,TargetRidge,0.9319809079170227,0.1316291093826294
8,RidgeCov,0.7666681408882141,SeasonalEWM,0.9418308734893799,0.17516273260116577,TargetRidge,0.9426618218421936,0.1759936809539795
9,RidgeCov,0.727003276348114,SeasonalEWM,0.8762965202331543,0.14929324388504028,TargetRidge,0.8788163661956787,0.1518130898475647
10,RidgeCov,0.7317214012145996,SeasonalEWM,0.8282198905944824,0.09649848937988281,TargetRidge,0.9049549102783203,0.1732335090637207
11,RidgeCov,0.7867724299430847,SeasonalEWM,0.8278670907020569,0.04109466075897217,TargetRidge,0.9801735877990723,0.19340115785598755
12,RidgeCov,0.8120505213737488,SeasonalEWM,0.8319945931434631,0.019944071769714355,TargetRidge,0.9903948903083801,0.17834436893463135
13,SeasonalEWM,0.8325033187866211,RidgeCov,0.8734138607978821,0.040910542011260986,TargetRidge,1.0136770009994507,0.1811736822128296
14,SeasonalEWM,0.8110659718513489,EWM,0.9691125750541687,0.15804660320281982,TargetRidge,1.0453559160232544,0.23428994417190552
15,SeasonalEWM,0.7674368023872375,SeasonalTrend,0.780451238155365,0.013014435768127441,TargetRidge,1.010640263557434,0.24320346117019653
16,SeasonalEWM,0.7689765095710754,RidgeCov,0.8432281613349915,0.07425165176391602,TargetRidge,0.9317973256111145,0.16282081604003906
17,SeasonalEWM,0.765281617641449,RidgeCov,0.8081751465797424,0.04289352893829346,TargetRidge,0.8751518130302429,0.10987019538879395
18,SeasonalEWM,0.7590456604957581,RidgeCov,0.7814244627952576,0.02237880229949951,TargetRidge,0.8395649790763855,0.08051931858062744
19,RidgeCov,0.6937127113342285,SeasonalEWM,0.7588273882865906,0.06511467695236206,TargetRidge,0.8754000663757324,0.1816873550415039
20,RidgeCov,0.6580636501312256,SeasonalEWM,0.7600030899047852,0.10193943977355957,TargetRidge,0.8237064480781555,0.16564279794692993
21,RidgeCov,0.6395683288574219,SeasonalEWM,0.7572537064552307,0.11768537759780884,TargetRidge,0.8092601299285889,0.169691801071167
22,RidgeCov,0.6633923053741455,SeasonalEWM,0.7596850395202637,0.09629273414611816,TargetRidge,0.8361630439758301,0.17277073860168457
23,RidgeCov,0.7135379910469055,SeasonalEWM,0.760953962802887,0.047415971755981445,TargetRidge,0.8765766024589539,0.16303861141204834
24,RidgeCov,0.7224955558776855,SeasonalEWM,0.7570940852165222,0.03459852933883667,TargetRidge,0.9533340930938721,0.23083853721618652
25,SeasonalEWM,0.7468123435974121,RidgeCov,0.755354106426239,0.008541762828826904,TargetRidge,0.9784698486328125,0.2316575050354004
