window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,EWMFast,EWMSlow,SeasonalOffset,SeasonalDrift,DampedTrend,MeanRevert,MeanRevertSlow,SeasonalEWM,SeasonalTrend,EWMTrend
0,1.189165711,1.257561207,1.942314625,1.695386291,1.69558084,2.366256952,2.380105734,4.783792019,1.898525834,1.564013481,1.321657062,1.304217339,1.436905026,1.556837678,1.786759734
1,1.130877972,1.317601323,1.551048279,1.794542789,1.571188927,1.900370002,1.741332054,1.312032819,2.13417387,1.834887505,1.336849809,1.757440567,1.413320184,1.008569241,1.240424156
2,1.165886521,1.303861737,1.717110276,1.876309752,1.525607705,1.582999229,1.941385627,1.574794173,2.180268049,2.061861038,1.401214957,1.921874046,1.403759837,1.057686806,1.260757565
3,1.160566807,1.325368404,2.568365812,2.025789976,1.433876872,1.366561294,1.643289566,6.808870792,2.24992156,3.11851573,1.63058579,2.620103121,1.385729671,1.225106239,1.406434655
4,1.272165537,1.315534711,2.03157258,2.020111799,1.375312686,1.314415097,1.356728077,1.957509041,2.062260866,2.451140165,1.550447106,2.213858366,1.323986888,1.226868033,1.372915864
5,1.251685977,1.281998038,1.84138906,2.064331055,1.326424956,1.305206537,1.297652364,2.064331055,2.129359007,2.187200546,1.508723259,2.028702736,1.30193913,1.226998687,1.356381059
6,1.197103739,1.278781772,1.306027889,2.065963507,1.310345769,1.316346049,1.369551659,3.374092817,2.175607204,1.388562083,1.336206794,1.437361717,1.287748337,1.211025357,1.278551459
7,1.132822156,1.261820197,1.414677262,2.032745838,1.311828256,1.346392512,1.531980872,4.768531322,2.056884527,1.550818801,1.389670014,1.556193471,1.267651558,1.207809329,1.311827302
8,1.10057795,1.279325128,1.422481656,1.949914098,1.333117843,1.3838166,1.444550872,3.272380829,1.93390882,1.521471977,1.400614738,1.518030643,1.245900273,1.207632065,1.335515976
9,1.079421043,1.238199115,2.746451139,1.863533616,1.31629169,1.457147956,1.679575562,4.677395344,1.845895767,3.024649382,1.736962676,2.435364485,1.171252608,1.436804771,1.673283458
10,1.076429486,1.267383575,2.757621765,1.766932368,1.307047367,1.545184493,1.545113921,2.635705948,1.790402412,2.943765879,1.724904656,2.327767372,1.099075437,1.420913696,1.688066363
11,1.144852638,1.317399144,1.507413745,1.76416409,1.316841602,1.556532264,1.445520401,2.064828157,1.771510482,1.552358985,1.41669178,1.481671691,1.101080537,1.132644057,1.371094346
12,1.213617682,1.337390304,1.73276484,1.766435504,1.317350745,1.581131458,1.394417882,1.761750817,1.761674047,1.772644997,1.477783203,1.599811912,1.107913256,1.187534213,1.43268621
13,1.297391176,1.367121696,1.78970468,1.766151547,1.318847537,1.60373497,1.480704904,4.023685932,1.7627033,1.806060672,1.489034772,1.604961395,1.105400562,1.201941133,1.458625793
14,1.480100513,1.418807387,2.142003775,1.707168579,1.313617706,1.644490719,1.325914025,8.739124298,1.717708945,2.11956358,1.568106294,1.756577373,1.075590253,1.288157105,1.544406295
15,1.429820418,1.337598205,1.31798327,1.555559158,1.31816721,1.580321431,1.329425573,2.693482161,1.645121932,1.315930367,1.337114453,1.322921753,1.036398411,1.039179683,1.317358613
16,1.210793376,1.181491494,4.780090809,1.691269517,1.291671872,1.336882591,1.45769465,1.951901793,1.7343297,4.784481525,1.737285256,3.171668291,1.060901046,1.919270039,2.244242191
17,1.155440331,1.107647538,6.169427395,1.698580384,1.263312817,1.238804817,1.403349519,1.873896599,1.770055413,6.021811008,1.937660694,3.756213903,1.05773437,2.277951956,2.659212351
18,1.117175817,1.060894847,4.457108021,1.634415984,1.280413985,1.264655113,1.851801872,2.139071226,1.787817597,4.24471426,1.671711445,2.765288115,1.059698224,1.830770135,2.278606415
19,1.04562223,1.092174292,2.67622757,1.636687279,1.258629441,1.306738973,1.32866919,1.710362792,1.801480889,2.471313477,1.393239617,1.800045371,1.053668976,1.398145199,1.726516604
20,0.9864020944,1.038778782,4.291296959,1.646766186,1.277865767,1.398961425,1.433083892,1.826341033,1.841217041,3.922903299,1.636798382,2.512716055,1.055456758,1.803542137,2.238996267
21,0.9617759585,1.038398266,6.605726242,1.654147744,1.268525243,1.570705414,1.200260639,2.199686766,1.900282741,5.983079433,2.013717413,3.519129992,1.051288247,2.385451555,2.890510321
22,0.9960781932,1.120883346,6.030595303,1.689495087,1.328098655,1.766132236,1.296008945,1.758059978,1.961696625,5.380682468,1.984717727,3.218326569,1.073871136,2.265745878,2.81005311
23,1.046589017,1.203933716,7.898677349,1.73300457,1.32545507,2.010910034,1.189015985,5.828164577,2.035892487,7.006578922,2.331931829,4.017654896,1.073587894,2.767531157,3.3514359
24,1.046522975,1.2984761,1.590557218,1.743367553,1.306760073,1.886748314,1.274876237,3.813944817,2.106421232,1.423789978,1.264508128,1.266682506,1.075644493,1.153098583,1.401954651
25,1.082466602,1.342133164,1.134556293,1.709369063,1.274009585,1.684714913,1.477528095,2.647843122,1.992394805,1.190172315,1.181468844,1.199988484,1.066056132,1.021034241,1.180460095
26,1.101377606,1.326051831,1.14669466,1.676435113,1.278449059,1.547681928,1.384058356,3.899047852,1.849444747,1.196879506,1.193468928,1.198230386,1.072575569,1.023790598,1.194159865
27,1.124636531,1.300437808,1.393185496,1.559108138,1.281411767,1.505460858,1.391436577,4.531393051,1.57862699,1.340550303,1.276224017,1.273219943,1.053748488,1.092499614,1.316201925
28,1.152716756,1.342535973,1.448417306,1.488768578,1.325438619,1.494574904,1.259248853,4.342945576,1.441568017,1.405033588,1.324229717,1.33342886,1.066076517,1.11162889,1.367619157
29,1.196736693,1.364048958,1.627835751,1.466339469,1.309091091,1.491168022,1.389931083,3.01820755,1.413833261,1.562113166,1.381978035,1.431892395,1.068263412,1.196089864,1.419338703
30,1.248289585,1.362213492,1.404372573,1.474856973,1.300101519,1.470543504,1.535697937,3.09486413,1.431784987,1.381652474,1.330008268,1.334886909,1.073402047,1.126278043,1.335313797
31,1.396215439,1.695818067,4.969295979,1.628453732,1.354410768,1.621712685,1.244212985,9.404971123,1.723653316,4.746076107,2.268360138,3.329777479,1.168805718,2.403498411,2.506554604
32,1.513486266,1.792666316,5.423570156,1.879787803,1.346536279,1.797255993,1.232641578,16.39341736,2.267802238,5.145565033,2.402342558,3.5564394,1.277499676,2.743873596,2.656644821
33,1.163397908,1.426560998,1.548676372,1.916980267,1.363977075,1.757876754,1.206544638,7.51347208,2.69774127,1.509257674,1.39557898,1.425610662,1.340430617,1.44876039,1.438052773
34,1.122581005,1.255758882,1.196799636,1.934299111,1.361431956,1.593226552,1.224789619,2.183574677,3.019556046,1.254951477,1.101228833,1.14348793,1.373213768,1.109625459,1.18224144
35,1.067032933,1.211049676,1.535997033,1.935434699,1.290373445,1.42437613,1.308588147,1.935434699,3.003124475,1.594210267,1.048798203,1.242930293,1.321188807,1.074690342,1.206368327
36,1.009736061,1.188457966,2.467560768,1.959638238,1.265616775,1.271921039,1.200837016,1.615393639,2.916496277,2.447183609,1.046863556,1.548531651,1.309206367,1.175388098,1.375926614
37,1.023543,1.21043551,3.377760172,1.998321176,1.218652248,1.179319859,1.178132653,1.66784668,2.856720209,3.230682373,1.087972283,1.838861108,1.280088425,1.344326854,1.585612297
38,1.066158414,1.275320649,1.277512908,1.992998123,1.21923697,1.177368641,1.172248363,1.992998123,3.133263588,1.217655063,1.141982436,1.132966518,1.289982438,1.202787161,1.205942154
39,1.093900919,1.269644141,1.420397162,1.993636727,1.202773452,1.174134612,1.22161901,3.782288313,3.290172338,1.314730525,1.097460151,1.120028496,1.273066998,1.187017918,1.228708386
40,1.142003417,1.317252755,2.44426322,1.883549571,1.206068397,1.188542008,1.182285905,7.532708645,2.679387093,2.161842585,1.038032889,1.335377097,1.23905623,1.306533575,1.451103806
41,1.184825897,1.342246175,2.017399073,1.82477963,1.229617953,1.235566616,1.222982049,4.695850372,2.319976807,1.741533875,1.083474517,1.216426849,1.254669309,1.346186996,1.404042244
42,1.225310206,1.313919783,1.527616382,1.829960942,1.243069768,1.250547528,1.256291389,2.185987711,2.217868805,1.344814897,1.191241264,1.193796873,1.285062671,1.35130775,1.327296615
43,1.260853171,1.342210412,1.71237886,1.860694528,1.244667292,1.260019183,1.271502256,3.681286573,2.146127462,1.467149138,1.147452831,1.183651924,1.30580759,1.415526867,1.371380687
44,1.299303412,1.404999375,2.133532763,1.932595611,1.260590911,1.293402195,1.50056541,6.765930176,2.074220657,1.786577225,1.110570788,1.24143064,1.36274302,1.591530919,1.474063516
45,1.391044021,1.446299195,2.330349207,1.99683094,1.262756467,1.331164122,1.414127707,6.99866724,2.026050329,1.948295951,1.112125516,1.295460582,1.423311234,1.755104542,1.546534896
46,1.419519424,1.465837121,2.534881115,2.068447828,1.257940292,1.360228419,1.505163789,9.654602051,2.058392525,2.112432718,1.108307242,1.345726609,1.477769256,1.91910398,1.600960732
47,1.431957722,1.442259789,2.100880384,2.07000947,1.259045124,1.379238486,1.313464284,2.540169001,2.103948832,1.754894853,1.14001894,1.261886954,1.520519376,1.875077844,1.522087693
48,1.457678199,1.486969352,2.986237288,2.124165773,1.251546264,1.419098854,1.50834465,2.413189173,2.193659306,2.488515615,1.116631627,1.479495168,1.534891725,2.193400621,1.737997532
49,1.490347028,1.478842378,3.201096296,2.143968582,1.251235962,1.468038559,1.307905316,2.678860903,2.261508703,2.677284241,1.135084748,1.560534596,1.545805454,2.273902655,1.826652408
50,1.493187547,1.456522584,3.270020723,2.17867732,1.249589205,1.518379807,1.260123849,3.795277834,2.368330956,2.715145826,1.144528389,1.57418251,1.559928894,2.323161364,1.868977189
51,1.46021378,1.434257865,3.357376099,2.223251581,1.246835113,1.569745541,1.258721828,4.170184612,2.591575146,2.762401819,1.153527141,1.587653279,1.575963378,2.39524436,1.906726837
52,1.416584015,1.416255593,3.701558352,2.317297697,1.24562943,1.639110565,1.272456646,5.206395626,2.923037767,3.032551527,1.176352739,1.687878728,1.61658895,2.582734823,2.019079924
53,1.427489638,1.38572979,4.62677002,2.348598957,1.243265748,1.740355849,1.26211226,5.758535862,3.305930138,3.815544844,1.244532943,2.00060606,1.623815894,2.938724518,2.301527739
54,1.31975019,1.349672437,5.375331879,2.39913559,1.248902678,1.866850257,1.197408795,15.34627533,3.696209908,4.443715572,1.32118988,2.265423059,1.643941522,3.249742746,2.558270454
55,1.301429152,1.37983048,2.9907341,2.232194662,1.232678056,1.853197575,1.43151474,11.2602005,4.25283289,2.359265566,1.172558308,1.438427925,1.577341199,2.423010588,1.836878777
56,1.178065419,1.317735195,4.435869217,1.924433112,1.277052999,1.931071281,1.175524712,6.5417099,4.973445415,3.62024498,1.299816489,1.962574005,1.494269013,2.905952454,2.334738493
57,1.078193307,1.312262416,4.514799595,1.852958083,1.300539374,2.004646301,1.175571799,3.442870378,5.622435093,3.661050797,1.330590844,1.98442471,1.474291205,2.93337822,2.39234376
58,1.009765506,1.285160422,6.739589214,1.858920217,1.264946818,2.175122261,1.314724326,4.081958771,6.179058075,5.566128254,1.575029016,2.803056955,1.433517575,3.760972977,3.008828878
59,0.9821915627,1.304701209,5.658263683,1.870418668,1.316258907,2.286475897,1.128072977,2.21622467,6.353546143,4.602828503,1.49591887,2.40315938,1.477075934,3.391018629,2.785266161
60,1.069591641,1.326099277,5.073436737,1.872973919,1.337844014,2.352447987,1.117433429,1.453918338,6.290245056,4.060379028,1.451873779,2.16833806,1.497208595,3.175697327,2.638289452
61,1.088290572,1.327247381,2.173956156,1.834290862,1.290842175,2.174616575,1.265059114,1.992004395,5.75011301,1.667724967,1.179267526,1.219151735,1.454742789,1.943815231,1.636720061
62,1.084151387,1.311839581,1.680413246,1.844014764,1.338115215,1.973825812,1.141075492,1.359091282,5.842739105,1.354619026,1.169824958,1.151400685,1.495034575,1.681692123,1.478143573
63,1.043243766,1.282931089,1.555528641,1.850686669,1.290926576,1.801603317,1.17773056,1.087528586,5.696394444,1.284424424,1.168704629,1.141584277,1.460749626,1.602454662,1.396824241
64,0.9991838932,1.239767671,1.283192873,1.799085617,1.279288411,1.620965958,1.179077506,1.13983953,4.846447468,1.18124342,1.195878863,1.179511905,1.423436165,1.34724474,1.251273513
65,0.9449383616,1.205984831,1.254488587,1.72931397,1.266343951,1.469506264,1.203336596,1.129689693,4.11929369,1.233889937,1.236501694,1.248539805,1.369406343,1.219124794,1.204943657
66,0.9546804428,1.128334403,1.985829353,1.697657585,1.250619888,1.2656039,1.134875655,1.902642846,3.565805197,2.202236176,1.497518897,1.899704933,1.320752501,1.071426749,1.231594205
67,0.939781189,1.124781489,1.786254406,1.664013863,1.232478976,1.162624598,1.228335023,2.226161718,3.132199049,1.941530585,1.444111705,1.716732383,1.272939563,1.056629062,1.198487282
68,0.9053866863,1.164635777,1.338330626,1.562940955,1.190621734,1.127141356,1.119078994,1.721932411,2.631234407,1.392507911,1.297300816,1.351656318,1.183496594,1.030920506,1.152777076
69,0.9188640714,1.264340281,1.267469287,1.484084129,1.212989211,1.125629425,1.311367631,1.19151175,2.234607935,1.181655645,1.160788417,1.130582213,1.161538601,1.167249441,1.234288812
70,0.8981955647,1.358537078,1.831740499,1.452640653,1.216625214,1.135276198,1.313004971,1.452640653,1.989236236,1.613538742,1.154888272,1.270631433,1.149941564,1.440561414,1.461528897
71,0.9654564857,1.426061153,2.570405245,1.503461242,1.251092792,1.160174608,1.664703965,1.413744569,1.900939345,2.225829363,1.205580354,1.519831777,1.195956588,1.759511948,1.746803164
72,1.109515905,1.580290437,5.219168186,1.615038991,1.265205979,1.237189889,1.670876145,2.674318314,2.01765132,4.515914917,1.479418755,2.530933619,1.250360966,2.73620224,2.609210253
73,1.246232033,1.595354676,6.336818218,1.717531562,1.240124702,1.365407944,1.224255681,3.273658752,2.17172122,5.386812687,1.597097993,2.869348764,1.273107529,3.168680191,2.931702375
74,1.180014968,1.513921857,5.525549412,1.797595024,1.258631825,1.493382573,1.219706655,2.748135567,2.271907091,4.562500477,1.49078095,2.444004774,1.317342162,2.956485748,2.727003098
75,1.11090529,1.490194321,5.752901077,1.864101768,1.193329215,1.626884103,1.056413531,2.64699173,2.313482523,4.681537151,1.521073699,2.467707872,1.301630616,3.07494545,2.714565277
76,1.128385186,1.408747315,4.123166084,1.874322534,1.321264863,1.694748282,1.407197595,1.563011765,2.234045982,3.272894621,1.342997909,1.850325704,1.386004448,2.520483494,2.358798027
77,1.115549684,1.394870162,3.698704004,1.839614034,1.322547793,1.723921895,1.309065223,1.322892308,2.043143988,2.863545179,1.285010815,1.64793098,1.374815583,2.343649149,2.212445498
78,1.20461309,1.452637076,1.287584186,1.781979918,1.202040553,1.537874103,1.030632019,1.471946716,1.768635869,1.063716531,1.043967724,0.9981198311,1.282533407,1.292815804,1.214028955
79,0.9811061025,1.354436994,4.159635067,1.794472098,1.206070304,1.606969714,1.087116361,1.601978779,1.679487228,3.284371376,1.381082177,1.865173936,1.287583828,2.445666075,2.229245663
80,0.8161842823,1.31954968,5.381315708,1.799582481,1.259495735,1.729469657,0.9869607091,2.049993515,1.563224792,4.36526823,1.609176278,2.406382322,1.319091797,2.861935854,2.677366972
81,0.7565957904,1.305938125,5.395966053,1.805047631,1.312025905,1.848744988,1.007084966,1.460377336,1.514202476,4.374250412,1.651863217,2.432956696,1.348584652,2.871753931,2.744210482
82,0.7148321271,1.305183887,6.610003948,1.802492499,1.402050972,2.01575923,1.282560468,2.057162285,1.469314575,5.407897472,1.884462237,2.939973116,1.396873116,3.266542435,3.233808517
83,0.7925198674,1.327994704,5.288215637,1.796033502,1.486400604,2.103102684,1.776285172,1.796033502,1.443508148,4.189305782,1.669162154,2.330119848,1.438203335,2.8272717,2.882238626
84,1.03886652,1.350587249,4.492322922,1.785173774,1.465425968,2.126008987,1.445074677,3.342578173,1.431211114,3.436667204,1.516215682,1.939036727,1.425520897,2.548856974,2.582942724
85,1.139662623,1.363345146,4.303277493,1.785812497,1.351903439,2.127417564,0.9428115487,3.893866301,1.472561836,3.231984377,1.478166938,1.827272415,1.367501855,2.494220495,2.404189825
86,1.270769477,1.376673818,4.594723701,1.790922999,1.298761368,2.156483412,1.145490527,4.570147038,1.498137832,3.48573947,1.561704516,1.967655778,1.340014815,2.623498678,2.449059963
87,1.172198772,1.345712662,3.51432538,1.789787292,1.376073003,2.116242409,0.9265163541,4.961662769,1.541824818,2.660212994,1.417737126,1.632552147,1.384224892,2.256784678,2.158724546
88,1.346492648,1.183026433,1.372067332,1.791561723,1.245899677,1.890775084,1.48135674,2.834941864,1.631121516,1.071580172,0.983745873,0.9309927821,1.315250039,1.376943588,1.259646416
89,1.006391406,1.034912229,0.7935733199,1.796104431,1.197015405,1.607889175,1.617521882,3.534929514,1.706110001,0.8344194293,0.8308522105,0.8592963219,1.288245797,0.9939443469,0.9393139482
90,0.7572438717,0.9011356831,0.8619060516,1.787515998,1.260016561,1.34427309,0.920062542,2.250010252,1.815670609,1.065029502,0.7777245641,0.9600144029,1.336751461,0.8369457126,0.8575904369
91,0.6348283887,0.8771297932,0.8314788938,1.780347228,1.191075683,1.17973721,0.9515302181,1.780347228,1.941485524,0.9738345742,0.7961624265,0.8962253928,1.303115845,0.8728072047,0.8723495007
92,0.6312661171,0.6578533053,1.898305893,1.795678496,1.076110363,0.9918317795,1.18641293,1.576071858,1.985598564,2.199719667,0.7906102538,1.449897647,1.216005683,0.813495636,0.9458889365
93,0.5403122306,0.4982625544,4.282764912,1.824069858,1.000776887,0.8609495163,0.9138278961,4.90892601,1.901578069,4.523782253,0.9844093323,2.479259491,1.129729629,1.17384088,1.388461709
94,0.4813901484,0.4929870367,4.796696186,1.771971703,0.901101172,0.8640704155,1.003935814,6.894471645,1.727610469,4.828205585,1.030914545,2.52110815,0.9849209785,1.323161006,1.561089039
