window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,EWMFast,EWMSlow,SeasonalOffset,SeasonalDrift,DampedTrend,MeanRevert,MeanRevertSlow,SeasonalEWM,SeasonalTrend,EWMTrend
0,1.923745751,1.396523833,13.37142467,3.137389421,1.074347377,1.16533947,1.142872453,3.656253815,3.344514608,3.328290224,0.9797725677,0.9098315239,1.653160691,4.923331738,4.78024292
1,1.935461402,1.410185933,15.10278225,3.127256393,1.079368591,1.176410317,1.156968236,3.531494856,3.293404818,3.830933809,0.9609174728,0.90349859,1.648517966,5.341968536,5.262770653
2,1.899017334,1.425199389,15.11262894,3.112128973,1.081726789,1.175005317,1.140041947,3.673297644,3.336066484,3.532833815,0.9945015907,0.9210310578,1.643143058,5.368508816,5.269526482
3,1.792490959,1.436839223,17.49257088,3.103976011,1.0882442,1.188872457,1.162190318,3.469756842,3.256962776,4.303275585,0.9619131684,0.9096748233,1.639350295,5.93558836,5.92558527
4,1.805553794,1.44991672,18.43651009,3.092708588,1.09077704,1.198890328,1.136161447,3.388202667,3.219240189,4.379473209,0.9715935588,0.9141526222,1.635199666,6.181293011,6.182347775
5,1.853422284,1.462905884,18.94651222,3.082159996,1.055332303,1.200876236,2.393685102,7.554624557,3.738432884,4.276490688,0.9907229543,0.9231063724,1.654338837,6.326052189,5.995897293
6,1.717321396,1.463221192,18.93760109,3.082602262,1.057793021,1.209908128,2.371938944,8.06246376,3.883232355,4.467469692,0.9706007838,0.9276859164,1.664728642,6.343395233,5.998320103
7,1.728927612,1.464270949,18.80673027,3.082861185,1.060314298,1.223975301,2.34832406,8.511366844,4.01969099,4.602444172,0.9562174678,0.9389188886,1.674889684,6.33575058,5.973401546
8,1.628502846,1.466841102,17.79971504,3.083116531,1.062872052,1.232451916,2.325780392,8.423390388,4.039699078,4.335012436,0.9614136219,0.9483623505,1.685792923,6.125141621,5.723257065
9,1.559211135,1.467186332,17.39789391,3.008805513,1.065737724,1.243639588,2.302740574,8.665005684,4.074325085,4.355906963,0.954046011,0.960580647,1.659635425,6.015188217,5.627205372
10,1.5594064,1.469183922,16.5498848,2.933738947,1.069127679,1.251903772,2.281610727,8.620893478,4.044234276,4.172709942,0.9573998451,0.9709088206,1.633857727,5.798326492,5.414457798
11,1.498840332,1.466525555,17.23618698,2.852024078,1.073028207,1.277991295,2.255432367,9.646697998,4.257604599,4.718921185,0.9341742992,1.007901669,1.604013085,5.942190647,5.603822231
12,1.412654519,1.472792625,15.5255003,2.7740376,1.077813983,1.287919879,2.236032724,8.971264839,4.080322742,4.105726242,0.9556420445,1.000211596,1.577897191,5.516990185,5.16755724
13,1.482797623,1.470135093,15.71675396,2.692634583,1.08212626,1.310024858,2.210464954,9.711537361,4.233007431,4.424769878,0.9440585971,1.034875154,1.549330115,5.544124126,5.228450298
14,1.434338689,1.472786546,14.36611938,2.616981506,1.08633852,1.320040584,2.187875986,9.287264824,4.114706039,3.987626076,0.9588723779,1.030705214,1.5245924,5.201928139,4.883535862
15,1.331567764,1.470438004,14.82921314,2.535186052,1.091991067,1.348966241,2.161978722,10.31094933,4.341090679,4.454439163,0.949180603,1.086773276,1.496747017,5.296076298,5.018165112
16,1.334928036,1.473466516,13.7090559,2.455254316,1.097811818,1.368540168,2.138643503,10.04401684,4.257879257,4.115834713,0.9625760913,1.08561945,1.470746875,5.004476547,4.734293938
17,1.341220021,1.473740578,12.91907215,2.372797251,1.103293777,1.384945393,2.114492178,10.06290817,4.241810799,3.953660965,0.9719741344,1.098245859,1.44376123,4.789943218,4.535103321
18,1.337132096,1.47283268,12.40586948,2.286842108,1.109205365,1.404075265,2.089680433,10.33141613,4.285758495,3.933758736,0.9795012474,1.124395967,1.415420413,4.641095638,4.409323215
19,1.276667714,1.472378731,11.30900669,2.203454733,1.114482045,1.413655281,2.06567502,10.06513596,4.197266102,3.612270594,0.9935550094,1.121105075,1.388738632,4.344612122,4.123770714
20,1.278120875,1.470488548,10.27459717,2.121698618,1.119364381,1.415683627,2.043185234,9.852478981,4.120995998,3.329847574,1.007576942,1.120942235,1.363234639,4.059552193,3.85003829
21,1.282370329,1.465364337,10.06931305,2.040060282,1.125979066,1.43006742,2.020935297,10.47855473,4.259670734,3.475102663,1.015211463,1.167105794,1.338514924,3.98474884,3.802229643
22,1.260031581,1.463561535,9.132719994,1.964919925,1.132285118,1.437947869,2.000031471,10.33698463,4.206151485,3.227901697,1.031280875,1.170029521,1.317389846,3.722690582,3.552630663
23,1.245226026,1.458432078,8.608219147,1.933070183,1.138937831,1.449946761,1.977970004,10.68697071,4.313013077,3.196957588,1.045220494,1.200227976,1.318236709,3.588206053,3.415800333
24,1.239163518,1.452597618,8.731043816,1.908456206,1.147695661,1.482451081,1.952615142,11.81050205,4.632875919,3.520825148,1.061604142,1.290347695,1.323415399,3.631447554,3.463340759
25,1.226125956,1.450734258,7.475925446,1.885957241,1.15525949,1.496092439,1.930695057,11.24363232,4.507274151,3.051467657,1.080967426,1.254589081,1.329916477,3.303868532,3.12178874
26,1.218540311,1.444648743,6.566229343,1.865297675,1.161834598,1.500963569,1.909067154,11.07391262,4.485713482,2.780730486,1.100237966,1.249413729,1.337328553,3.064256668,2.871123552
27,1.228149533,1.436926007,5.841310978,1.816576838,1.168932557,1.503244519,1.890892506,11.09029865,4.49131155,2.608301401,1.120746136,1.260406494,1.331290245,2.855970383,2.668775797
28,1.264540792,1.425794601,5.096081257,1.756356835,1.174663067,1.500926614,1.870071292,11.01078415,4.462896347,2.409245253,1.140946984,1.264041901,1.319143176,2.632711172,2.457300901
29,1.224939704,1.41245842,4.808339596,1.726632118,1.1826123,1.511049271,1.851170659,11.67019939,4.659143925,2.46932292,1.16464293,1.321791053,1.323407888,2.554103851,2.379856825
30,1.200121999,1.398140788,4.360284805,1.685679078,1.190562606,1.524912477,1.829635262,12.01803303,4.764509201,2.415688753,1.189903378,1.358620048,1.322266459,2.422472954,2.254798651
31,1.160575271,1.381430745,3.862935305,1.636895657,1.198612094,1.539104104,1.807544112,12.21999836,4.824950695,2.312257051,1.216086745,1.384697914,1.317527413,2.269201994,2.11271596
32,1.121691585,1.361736655,3.362612486,1.559461951,1.207023501,1.551960588,1.787250876,12.31853008,4.835499287,2.186172724,1.243392587,1.405070305,1.298930526,2.095881224,1.966070294
33,1.091255784,1.336939216,2.621933222,1.48022902,1.21344614,1.547503829,1.769835591,11.71119595,4.643124104,1.863708854,1.265305519,1.364691734,1.278817773,1.833793163,1.734086394
34,1.109611273,1.303959727,2.343277693,1.423621058,1.220262289,1.551514149,1.747902274,12.16500092,4.76917696,1.841195107,1.295869946,1.412093282,1.270390868,1.730906844,1.647766948
35,1.077783704,1.262396932,1.648748398,1.402225614,1.223684192,1.526253343,1.734445214,11.05866718,4.467866421,1.455371737,1.31415236,1.328264594,1.278053284,1.476612091,1.402888417
36,0.9938263297,1.198635459,1.700683594,1.372474074,1.403781891,1.534656525,1.447865486,1.405780435,1.388885856,1.643237233,1.355595946,1.459730148,1.373040676,1.504177094,1.540633082
37,0.9504677653,1.198265791,1.61375773,1.371661782,1.415709376,1.530640244,1.531968713,1.218974471,1.287517428,1.543567657,1.349919677,1.413186193,1.378311157,1.467174888,1.509057045
38,0.9505958557,1.196081519,1.675814033,1.368237972,1.419279099,1.528602958,1.540691972,1.214952946,1.283629537,1.576305509,1.349339128,1.419341087,1.378417969,1.491707206,1.538467765
39,0.8404120803,1.193132758,1.697007298,1.364263535,1.409373283,1.524477005,1.436222076,1.330753803,1.347228527,1.570400357,1.346394181,1.4089185,1.371924996,1.49848783,1.541618347
40,0.8870962262,1.194126129,1.836071968,1.364799142,1.420950532,1.529702067,1.500370145,1.29496336,1.328566551,1.674569964,1.351818204,1.447005272,1.377624869,1.555222511,1.607644081
41,0.8870289326,1.190995932,1.71746099,1.362185121,1.411896586,1.520390034,1.416813016,1.328779578,1.345202327,1.550794601,1.343307853,1.38990438,1.372159958,1.505464196,1.550979972
42,0.911605835,1.190392137,1.735388637,1.362223983,1.414556146,1.511863351,1.431045532,1.303713679,1.332062483,1.554816723,1.342901349,1.388279319,1.373440385,1.51262939,1.559890151
43,0.8615130782,1.192669272,1.988575935,1.362355709,1.426694274,1.521736741,1.494277596,1.323459983,1.342526793,1.750624299,1.353832126,1.463215232,1.379152417,1.613052964,1.67274034
44,0.9634091258,1.192130446,2.058093786,1.363034129,1.417475104,1.53171885,1.380374551,1.547932029,1.449480653,1.779412627,1.354622722,1.467130184,1.375212073,1.639883637,1.693918705
45,0.9004831314,1.195462227,2.168634176,1.362907767,1.421804428,1.545481682,1.369483352,1.629080415,1.48476088,1.852916121,1.361071229,1.493184447,1.377090812,1.681537032,1.739844918
46,0.8758887649,1.196050763,2.086161852,1.362599969,1.441594124,1.549642444,1.495333195,1.313698888,1.337550044,1.769976616,1.357631207,1.458122849,1.386131287,1.650017142,1.719525814
47,0.8911358714,1.192959666,1.986704946,1.362560391,1.429633498,1.542171955,1.389463067,1.417526603,1.389413357,1.66740787,1.349537253,1.410718322,1.380612969,1.611002564,1.670200348
