window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,TargetRidge,0.15857915580272675,EWMFast,0.16462258994579315,0.006043434143066406,MeanRevert,0.6497155427932739,0.491136372089386
1,TargetRidge,0.216472789645195,EWMFast,0.22021470963954926,0.003741919994354248,MeanRevert,0.6350842118263245,0.41861140727996826
2,TargetRidge,0.2837091386318207,EWMFast,0.2854710519313812,0.0017619132995605469,MeanRevert,0.7258913516998291,0.4421822130680084
3,TargetRidge,0.33522912859916687,EWMFast,0.34240254759788513,0.007173418998718262,MeanRevert,0.6801984906196594,0.34496936202049255
4,TargetRidge,0.3950561285018921,EWMFast,0.40345287322998047,0.008396744728088379,MeanRevert,0.7211948037147522,0.3261386752128601
5,TargetRidge,0.4568397104740143,EWMFast,0.46821174025535583,0.011372029781341553,MeanRevert,0.7812265753746033,0.324386864900589
6,TargetRidge,0.5099364519119263,MeanRevertSlow,0.513608992099762,0.0036725401878356934,MeanRevert,0.7548497319221497,0.2449132800102234
7,MeanRevertSlow,0.5420623421669006,TargetRidge,0.5663710236549377,0.02430868148803711,MeanRevert,0.741801917552948,0.19973957538604736
8,MeanRevertSlow,0.6043323874473572,TargetRidge,0.6296526789665222,0.02532029151916504,MeanRevert,0.7709951400756836,0.16666275262832642
9,MeanRevertSlow,0.597140371799469,TargetRidge,0.6298126578330994,0.03267228603363037,MeanRevert,0.7447426915168762,0.14760231971740723
10,MeanRevertSlow,0.603871762752533,TargetRidge,0.6334538459777832,0.029582083225250244,MeanRevert,0.7389304637908936,0.1350587010383606
11,MeanRevertSlow,0.58624666929245,TargetRidge,0.6276078820228577,0.041361212730407715,MeanRevert,0.6763507723808289,0.0901041030883789
12,MeanRevertSlow,0.6009146571159363,TargetRidge,0.6364238262176514,0.03550916910171509,MeanRevert,0.7033881545066833,0.10247349739074707
13,MeanRevertSlow,0.5952410101890564,TargetRidge,0.633030891418457,0.037789881229400635,MeanRevert,0.6620256900787354,0.06678467988967896
14,MeanRevertSlow,0.6022624969482422,TargetRidge,0.6393797397613525,0.03711724281311035,MeanRevert,0.6740420460700989,0.07177954912185669
15,MeanRevertSlow,0.6088929176330566,MeanRevert,0.629487931728363,0.020595014095306396,MeanRevert,0.629487931728363,0.020595014095306396
16,MeanRevertSlow,0.6082001328468323,MeanRevert,0.6336478590965271,0.025447726249694824,MeanRevert,0.6336478590965271,0.025447726249694824
17,RidgeCov,0.5580130219459534,MeanRevertSlow,0.6126523017883301,0.05463927984237671,MeanRevert,0.6305557489395142,0.07254272699356079
18,RidgeCov,0.60163813829422,MeanRevertSlow,0.6216605305671692,0.02002239227294922,MeanRevert,0.6222126483917236,0.020574510097503662
19,RidgeCov,0.5604044795036316,MeanRevertSlow,0.6220076680183411,0.06160318851470947,MeanRevert,0.6290311813354492,0.06862670183181763
20,RidgeCov,0.5579977035522461,MeanRevertSlow,0.6250072121620178,0.06700950860977173,MeanRevert,0.6349880695343018,0.07699036598205566
21,RidgeCov,0.578469455242157,MeanRevert,0.6179514527320862,0.0394819974899292,MeanRevert,0.6179514527320862,0.0394819974899292
22,RidgeCov,0.5828806757926941,MeanRevert,0.6195349097251892,0.03665423393249512,MeanRevert,0.6195349097251892,0.03665423393249512
23,RidgeCov,0.6199825406074524,MeanRevert,0.6276368498802185,0.007654309272766113,MeanRevert,0.6276368498802185,0.007654309272766113
24,MeanRevert,0.6427280306816101,RidgeCov,0.6522786021232605,0.00955057144165039,MeanRevert,0.6427280306816101,0.0
25,RidgeCov,0.668132483959198,MeanRevert,0.6772800087928772,0.0091475248336792,MeanRevert,0.6772800087928772,0.0091475248336792
26,MeanRevert,0.7136067748069763,RidgeCov,0.7145333290100098,0.0009265542030334473,MeanRevert,0.7136067748069763,0.0
27,MeanRevert,0.7259199023246765,RidgeCov,0.7625219225883484,0.036602020263671875,MeanRevert,0.7259199023246765,0.0
28,MeanRevert,0.7356834411621094,RidgeCov,0.7723037600517273,0.03662031888961792,MeanRevert,0.7356834411621094,0.0
29,MeanRevert,0.7651792168617249,RidgeCov,0.776402473449707,0.011223256587982178,MeanRevert,0.7651792168617249,0.0
30,RidgeCov,0.7909449934959412,MeanRevert,0.7911465167999268,0.0002015233039855957,MeanRevert,0.7911465167999268,0.0002015233039855957
31,RidgeCov,0.7696606516838074,MeanRevert,0.8144869804382324,0.04482632875442505,MeanRevert,0.8144869804382324,0.04482632875442505
32,RidgeCov,0.7107672691345215,EWM,0.8196141123771667,0.10884684324264526,MeanRevert,0.8304753303527832,0.11970806121826172
33,RidgeCov,0.756864070892334,EWM,0.8215771317481995,0.06471306085586548,MeanRevert,0.8410649299621582,0.08420085906982422
34,RidgeCov,0.8052188754081726,EWM,0.8270418047904968,0.02182292938232422,MeanRevert,0.865257740020752,0.060038864612579346
35,RidgeCov,0.8228983283042908,EWM,0.8597734570503235,0.036875128746032715,MeanRevert,0.908465564250946,0.08556723594665527
36,RidgeCov,0.8272109031677246,TargetRidge,0.8680679202079773,0.040857017040252686,MeanRevert,0.9684433341026306,0.141232430934906
37,RidgeCov,0.8231838345527649,TargetRidge,0.8971163630485535,0.07393252849578857,MeanRevert,0.9906675815582275,0.16748374700546265
38,RidgeCov,0.8439494967460632,TargetRidge,0.9201658368110657,0.07621634006500244,MeanRevert,1.0204349756240845,0.17648547887802124
39,RidgeCov,0.8005344271659851,TargetRidge,0.9449076056480408,0.14437317848205566,MeanRevert,1.0475445985794067,0.24701017141342163
40,RidgeCov,0.7926844954490662,TargetRidge,0.9653098583221436,0.1726253628730774,MeanRevert,1.0840543508529663,0.29136985540390015
41,RidgeCov,0.7576174736022949,TargetRidge,0.9831442832946777,0.2255268096923828,MeanRevert,1.0892239809036255,0.33160650730133057
42,RidgeCov,0.826894223690033,TargetRidge,0.9836838841438293,0.1567896604537964,MeanRevert,1.088901400566101,0.2620071768760681
43,RidgeCov,0.7709723114967346,TargetRidge,0.9772739410400391,0.20630162954330444,MeanRevert,1.1047096252441406,0.333737313747406
44,RidgeCov,0.9137275815010071,TargetRidge,0.9773387908935547,0.06361120939254761,MeanRevert,1.1061080694198608,0.19238048791885376
45,RidgeCov,0.8391087055206299,TargetRidge,0.9775152206420898,0.13840651512145996,MeanRevert,1.114730954170227,0.27562224864959717
46,RidgeCov,0.8335625529289246,TargetRidge,0.9823143482208252,0.14875179529190063,MeanRevert,1.108719825744629,0.27515727281570435
47,RidgeCov,0.8547948002815247,TargetRidge,0.9871747493743896,0.132379949092865,MeanRevert,1.0978511571884155,0.24305635690689087
48,RidgeCov,0.8967507481575012,TargetRidge,0.9844089150428772,0.08765816688537598,MeanRevert,1.1088279485702515,0.21207720041275024
49,RidgeCov,0.9481536746025085,TargetRidge,1.0212239027023315,0.073070228099823,MeanRevert,1.166699767112732,0.2185460925102234
50,RidgeCov,0.9474174976348877,TargetRidge,1.0635038614273071,0.11608636379241943,MeanRevert,1.1941150426864624,0.2466975450515747
51,RidgeCov,0.9467930793762207,TargetRidge,1.102989673614502,0.15619659423828125,MeanRevert,1.2324199676513672,0.2856268882751465
52,RidgeCov,0.9854776263237,TargetRidge,1.139459252357483,0.15398162603378296,MeanRevert,1.2852635383605957,0.29978591203689575
53,RidgeCov,1.0013489723205566,TargetRidge,1.1702537536621094,0.16890478134155273,MeanRevert,1.3289505243301392,0.3276015520095825
54,RidgeCov,1.037824034690857,TargetRidge,1.2107230424880981,0.1728990077972412,MeanRevert,1.3333793878555298,0.29555535316467285
55,RidgeCov,1.063148856163025,TargetRidge,1.234269618988037,0.1711207628250122,MeanRevert,1.4243875741958618,0.3612387180328369
56,RidgeCov,1.0566173791885376,TargetRidge,1.2890676259994507,0.23245024681091309,MeanRevert,1.4184671640396118,0.3618497848510742
