window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,EWMFast,EWMSlow,SeasonalOffset,SeasonalDrift,DampedTrend,MeanRevert,MeanRevertSlow,SeasonalEWM,SeasonalTrend,EWMTrend
0,0.3360610008,0.2494144291,0.5300780535,0.4593788683,0.5245200992,0.3346400559,0.2876900136,0.422511667,0.4405910969,0.2413290143,0.3873520792,0.2427775413,0.4346953332,0.4179639816,0.4880770445
1,0.3547784388,0.2377579212,0.2786757946,0.4621756971,0.4771469533,0.294118166,0.251676321,0.4621756971,0.4621756971,0.2665522397,0.3628712595,0.2256253511,0.4113054276,0.2727702558,0.327395767
2,0.3550192416,0.235804677,0.2442911118,0.4669058323,0.4390082359,0.2619714439,0.2475697249,0.368347317,0.4144386947,0.4132455885,0.3506014645,0.2398249358,0.392978996,0.1887856722,0.2416696101
3,0.3485690057,0.23669976,0.2718027532,0.4744106233,0.4009845257,0.2496813089,0.256619215,0.5968338847,0.5324344039,0.4323373735,0.35056445,0.2370718867,0.375842005,0.1800094396,0.2299257517
4,0.3384248316,0.2375894785,0.3652255535,0.4835166931,0.3697982728,0.2501354516,0.2805441916,0.8059498668,0.6273770928,0.493527621,0.3505249918,0.2391927987,0.3633013666,0.1794552356,0.2324648947
5,0.3539734781,0.2396187037,0.4891776741,0.4973382056,0.3559385538,0.2620480657,0.270044595,0.7116343379,0.595631063,0.529219687,0.3539503813,0.2386714816,0.3635927141,0.2001403123,0.2552767098
6,0.3454635143,0.2417248487,0.5960358381,0.5105915666,0.3416629136,0.2782066762,0.2772091627,0.8277557492,0.651817441,0.5222741961,0.3588685691,0.2360586375,0.362455219,0.2298027277,0.2853522897
7,0.3466783464,0.2443277836,0.8848859668,0.5230552554,0.3355727494,0.297811389,0.2618452609,0.5230552554,0.5230552554,0.6415423751,0.3589461744,0.242255643,0.3658986092,0.2797588706,0.3447408378
8,0.3323816955,0.2461892813,0.839456737,0.5343899131,0.3298890293,0.3118607104,0.2651710212,0.6509687901,0.5894914269,0.5015944839,0.3693189621,0.238986969,0.3681543171,0.3042644858,0.3571506441
9,0.3363289535,0.2495289594,1.006739974,0.5456064939,0.3329627216,0.3246235847,0.2872353792,0.4314923286,0.4828821123,0.5216405392,0.3730134964,0.2433900833,0.3760916293,0.3498516977,0.4011144936
10,0.3453594148,0.253690809,1.28714025,0.5543215275,0.3324241042,0.340389818,0.3215633333,0.3612779081,0.4223788679,0.6157788038,0.3704301417,0.2458825111,0.3791355193,0.4107367098,0.4691301286
11,0.3568763733,0.2601653636,1.506955504,0.5638334751,0.3275497854,0.3583879471,0.3166954815,0.3857108653,0.4460813105,0.6723684669,0.370521307,0.251198858,0.3785990477,0.4704956114,0.5360285044
12,0.3685384095,0.2674490213,1.841217637,0.575234592,0.3266866207,0.3792903721,0.3339835107,0.4002555907,0.4367390573,0.7850327492,0.3693233728,0.25761199,0.3815950453,0.553524673,0.6283777356
13,0.3772256374,0.2738099694,1.919994235,0.5865692496,0.3315887153,0.3956364095,0.3939138949,0.4590542018,0.4321343601,0.7465744615,0.37423715,0.2635238171,0.3889528811,0.599206388,0.664814055
14,0.3900450766,0.2876080573,1.469254851,0.594391346,0.3383352757,0.3927686214,0.4215797484,0.4376541078,0.480601877,0.4799748361,0.400632292,0.3036102057,0.3959326446,0.5588641763,0.5907992721
