window_index,best_model,best_loss,second_model,second_loss,margin_vs_second,best_single_model,best_single_loss,oracle_gain_vs_best_single
0,DampedTrend,0.10123463720083237,MeanRevertSlow,0.10477930307388306,0.0035446658730506897,TargetRidge,0.15859980881214142,0.05736517161130905
1,DampedTrend,0.11193960905075073,MeanRevertSlow,0.11349042505025864,0.001550815999507904,TargetRidge,0.16596399247646332,0.054024383425712585
2,EWMSlow,0.12259412556886673,SeasonalTrend,0.13705076277256012,0.01445663720369339,TargetRidge,0.18845617771148682,0.06586205214262009
3,EWMSlow,0.11536902189254761,SeasonalTrend,0.13174234330654144,0.016373321413993835,TargetRidge,0.1985740065574646,0.08320498466491699
4,SeasonalTrend,0.11900303512811661,EWMSlow,0.12347719073295593,0.004474155604839325,TargetRidge,0.21077416837215424,0.09177113324403763
5,SeasonalTrend,0.113935686647892,EWMSlow,0.1356920748949051,0.021756388247013092,TargetRidge,0.22212667763233185,0.10819099098443985
6,SeasonalTrend,0.1157955750823021,EWMTrend,0.1469128280878067,0.031117253005504608,TargetRidge,0.2306981086730957,0.11490253359079361
7,SeasonalTrend,0.10200070589780807,EWMTrend,0.147413969039917,0.04541326314210892,TargetRidge,0.24605338275432587,0.1440526843070984
8,SeasonalTrend,0.12700267136096954,EWMTrend,0.16336579620838165,0.03636312484741211,TargetRidge,0.25604990124702454,0.129047229886055
9,SeasonalTrend,0.1321900337934494,EWMTrend,0.1742817908525467,0.04209175705909729,TargetRidge,0.27600640058517456,0.14381636679172516
10,SeasonalTrend,0.12352175265550613,EWMTrend,0.17678134143352509,0.05325958877801895,TargetRidge,0.2951628267765045,0.17164108157157898
11,SeasonalTrend,0.11766348034143448,EWMTrend,0.1744747906923294,0.05681131035089493,TargetRidge,0.3041123151779175,0.1864488422870636
12,SeasonalTrend,0.10641980171203613,EWMTrend,0.1706739217042923,0.06425411999225616,TargetRidge,0.31138184666633606,0.20496204495429993
13,SeasonalTrend,0.11047235876321793,SeasonalOffset,0.14425140619277954,0.033779047429561615,TargetRidge,0.31203794479370117,0.20156559348106384
14,Trend,0.16025058925151825,SeasonalTrend,0.17020101845264435,0.009950429201126099,TargetRidge,0.32446813583374023,0.16421754658222198
15,Trend,0.15298566222190857,EWMFast,0.2225561887025833,0.06957052648067474,TargetRidge,0.3607698380947113,0.20778417587280273
16,Trend,0.15239685773849487,SeasonalTrend,0.17834210395812988,0.02594524621963501,TargetRidge,0.33297333121299744,0.18057647347450256
17,Trend,0.1460728794336319,DampedTrend,0.1868547946214676,0.04078191518783569,TargetRidge,0.34002649784088135,0.19395361840724945
18,Trend,0.14535225927829742,EWMTrend,0.24682573974132538,0.10147348046302795,TargetRidge,0.3711667060852051,0.22581444680690765
19,Trend,0.1619223952293396,SeasonalTrend,0.17428378760814667,0.012361392378807068,TargetRidge,0.33606281876564026,0.17414042353630066
20,SeasonalTrend,0.13396860659122467,SeasonalOffset,0.13766902685165405,0.0037004202604293823,TargetRidge,0.3197406232357025,0.18577201664447784
21,SeasonalOffset,0.14876757562160492,SeasonalTrend,0.15228186547756195,0.0035142898559570312,TargetRidge,0.3220699727535248,0.17330239713191986
22,SeasonalTrend,0.15078629553318024,EWMTrend,0.18797950446605682,0.03719320893287659,TargetRidge,0.32264626026153564,0.1718599647283554
23,SeasonalTrend,0.17703859508037567,EWMTrend,0.20845788717269897,0.0314192920923233,TargetRidge,0.3288707137107849,0.15183211863040924
24,SeasonalTrend,0.203403040766716,EWMTrend,0.22839200496673584,0.024988964200019836,TargetRidge,0.3342224061489105,0.13081936538219452
25,SeasonalTrend,0.22706270217895508,EWMTrend,0.23885099589824677,0.011788293719291687,TargetRidge,0.3365902900695801,0.109527587890625
26,SeasonalTrend,0.2428305596113205,EWMTrend,0.2476201057434082,0.0047895461320877075,TargetRidge,0.33848991990089417,0.09565936028957367
27,SeasonalTrend,0.26004770398139954,EWMTrend,0.27365031838417053,0.013602614402770996,TargetRidge,0.34552738070487976,0.08547967672348022
28,SeasonalTrend,0.276875376701355,EWMFast,0.28473007678985596,0.007854700088500977,TargetRidge,0.34913918375968933,0.07226380705833435
29,SeasonalTrend,0.2843218147754669,EWMTrend,0.2854648530483246,0.001143038272857666,TargetRidge,0.3480174243450165,0.06369560956954956
30,EWMTrend,0.2849295437335968,SeasonalTrend,0.2877061367034912,0.002776592969894409,TargetRidge,0.3485046625137329,0.06357511878013611
31,EWMTrend,0.2847771644592285,EWMFast,0.28894150257110596,0.004164338111877441,TargetRidge,0.3495523929595947,0.06477522850036621
32,EWMTrend,0.28378286957740784,SeasonalTrend,0.2896759808063507,0.005893111228942871,TargetRidge,0.3512483537197113,0.06746548414230347
33,EWMTrend,0.2874537706375122,EWMFast,0.29107797145843506,0.0036242008209228516,TargetRidge,0.3524027168750763,0.06494894623756409
34,DampedTrend,0.2763838768005371,EWMTrend,0.28432217240333557,0.007938295602798462,TargetRidge,0.3563210964202881,0.07993721961975098
35,DampedTrend,0.2721719443798065,EWMTrend,0.28579673171043396,0.013624787330627441,TargetRidge,0.3604385554790497,0.08826661109924316
36,EWMTrend,0.30453911423683167,EWMFast,0.3075157105922699,0.0029765963554382324,TargetRidge,0.38791000843048096,0.08337089419364929
37,EWMTrend,0.3133303225040436,EWMFast,0.32186612486839294,0.008535802364349365,TargetRidge,0.3986806571483612,0.08535033464431763
38,EWMTrend,0.3179865777492523,RidgeCov,0.3311515748500824,0.013164997100830078,TargetRidge,0.40288245677948,0.08489587903022766
39,RidgeCov,0.3375305235385895,EWMTrend,0.3381701409816742,0.0006396174430847168,TargetRidge,0.4222085475921631,0.08467802405357361
40,DampedTrend,0.31391945481300354,EWMTrend,0.3148018419742584,0.0008823871612548828,TargetRidge,0.39575502276420593,0.08183556795120239
41,DampedTrend,0.29444828629493713,EWMTrend,0.3102026581764221,0.015754371881484985,TargetRidge,0.38530316948890686,0.09085488319396973
42,DampedTrend,0.28978967666625977,EWMTrend,0.306573748588562,0.016784071922302246,TargetRidge,0.3663811683654785,0.07659149169921875
43,DampedTrend,0.31296971440315247,EWMTrend,0.31637051701545715,0.0034008026123046875,TargetRidge,0.3601711690425873,0.047201454639434814
44,RidgeCov,0.31241026520729065,DampedTrend,0.326183021068573,0.013772755861282349,TargetRidge,0.36164820194244385,0.0492379367351532
45,RidgeCov,0.31363219022750854,MeanRevertSlow,0.34199056029319763,0.028358370065689087,TargetRidge,0.3597618043422699,0.04612961411476135
46,RidgeCov,0.306275337934494,MeanRevertSlow,0.34259268641471863,0.03631734848022461,TargetRidge,0.3621327877044678,0.055857449769973755
47,RidgeCov,0.3101162016391754,DampedTrend,0.3420386016368866,0.03192239999771118,TargetRidge,0.37713924050331116,0.06702303886413574
48,RidgeCov,0.3154069185256958,DampedTrend,0.34164759516716003,0.026240676641464233,TargetRidge,0.3915170133113861,0.07611009478569031
49,RidgeCov,0.31495216488838196,EWMFast,0.3613581657409668,0.04640600085258484,TargetRidge,0.3785627782344818,0.06361061334609985
50,RidgeCov,0.316739559173584,EWMFast,0.36336222290992737,0.046622663736343384,TargetRidge,0.38679322600364685,0.07005366683006287
51,RidgeCov,0.31957924365997314,EWMFast,0.3624245822429657,0.042845338582992554,TargetRidge,0.38313379883766174,0.0635545551776886
52,RidgeCov,0.30555644631385803,MeanRevertSlow,0.3058565557003021,0.0003001093864440918,TargetRidge,0.3570394814014435,0.05148303508758545
53,MeanRevertSlow,0.3035481572151184,RidgeCov,0.30479657649993896,0.0012484192848205566,TargetRidge,0.3524150848388672,0.04886692762374878
54,RidgeCov,0.3107457458972931,EWMFast,0.32340529561042786,0.012659549713134766,TargetRidge,0.3549368381500244,0.04419109225273132
55,RidgeCov,0.31648555397987366,EWMFast,0.3179900646209717,0.0015045106410980225,TargetRidge,0.3572191298007965,0.04073357582092285
56,EWMFast,0.319029301404953,RidgeCov,0.3233086168766022,0.00427931547164917,TargetRidge,0.3605642318725586,0.04153493046760559
57,RidgeCov,0.32107973098754883,EWMFast,0.32423821091651917,0.003158479928970337,TargetRidge,0.3562241494655609,0.035144418478012085
58,RidgeCov,0.3034456670284271,MeanRevertSlow,0.30766960978507996,0.004223942756652832,TargetRidge,0.35172805190086365,0.04828238487243652
59,MeanRevertSlow,0.3089806139469147,RidgeCov,0.3113039433956146,0.002323329448699951,TargetRidge,0.35197174549102783,0.04299113154411316
60,MeanRevertSlow,0.31081926822662354,RidgeCov,0.3198827803134918,0.009063512086868286,TargetRidge,0.3521721363067627,0.04135286808013916
61,MeanRevertSlow,0.30959847569465637,RidgeCov,0.3192172050476074,0.00961872935295105,TargetRidge,0.3535934388637543,0.0439949631690979
62,MeanRevertSlow,0.3081092834472656,EWM,0.32261380553245544,0.01450452208518982,TargetRidge,0.3601679503917694,0.052058666944503784
63,EWM,0.32737770676612854,MeanRevertSlow,0.33047887682914734,0.003101170063018799,TargetRidge,0.38052287697792053,0.05314517021179199
64,EWM,0.3357420861721039,SeasonalEWM,0.3411371409893036,0.005395054817199707,TargetRidge,0.4027303457260132,0.0669882595539093
65,EWM,0.3460403382778168,MeanRevertSlow,0.3498118817806244,0.003771543502807617,TargetRidge,0.3963911831378937,0.050350844860076904
66,EWM,0.35657641291618347,EWMFast,0.3567993640899658,0.00022295117378234863,TargetRidge,0.4204956293106079,0.06391921639442444
67,EWMFast,0.3615661561489105,SeasonalEWM,0.3645944893360138,0.0030283331871032715,TargetRidge,0.44866251945495605,0.08709636330604553
68,EWMFast,0.3717840611934662,SeasonalEWM,0.37271249294281006,0.0009284317493438721,TargetRidge,0.46360838413238525,0.09182432293891907
69,SeasonalEWM,0.38153553009033203,EWMFast,0.3839240074157715,0.002388477325439453,TargetRidge,0.46889662742614746,0.08736109733581543
70,SeasonalEWM,0.3878451883792877,EWMFast,0.3957900106906891,0.007944822311401367,TargetRidge,0.4821925461292267,0.09434735774993896
71,SeasonalEWM,0.39282354712486267,MeanRevertSlow,0.40343400835990906,0.010610461235046387,TargetRidge,0.41154244542121887,0.0187188982963562
72,TargetRidge,0.38062945008277893,MeanRevert,0.3865188658237457,0.005889415740966797,TargetRidge,0.38062945008277893,0.0
73,SeasonalEWM,0.3956979215145111,TargetRidge,0.40825319290161133,0.01255527138710022,TargetRidge,0.40825319290161133,0.01255527138710022
74,SeasonalEWM,0.39590731263160706,TargetRidge,0.41267678141593933,0.016769468784332275,TargetRidge,0.41267678141593933,0.016769468784332275
75,SeasonalEWM,0.39624473452568054,EWM,0.41805410385131836,0.021809369325637817,TargetRidge,0.5325923562049866,0.13634762167930603
76,SeasonalEWM,0.3965013921260834,EWM,0.41685590147972107,0.020354509353637695,TargetRidge,0.5795593857765198,0.1830579936504364
77,SeasonalEWM,0.3968139588832855,EWM,0.4173141419887543,0.02050018310546875,TargetRidge,0.47583088278770447,0.07901692390441895
78,TargetRidge,0.36918988823890686,SeasonalEWM,0.3950338661670685,0.02584397792816162,TargetRidge,0.36918988823890686,0.0
79,TargetRidge,0.3458716869354248,SeasonalEWM,0.39060643315315247,0.04473474621772766,TargetRidge,0.3458716869354248,0.0
80,TargetRidge,0.32588350772857666,SeasonalEWM,0.38707461953163147,0.06119111180305481,TargetRidge,0.32588350772857666,0.0
81,TargetRidge,0.350238174200058,SeasonalEWM,0.38529062271118164,0.03505244851112366,TargetRidge,0.350238174200058,0.0
82,TargetRidge,0.3221348524093628,SeasonalEWM,0.3818272650241852,0.05969241261482239,TargetRidge,0.3221348524093628,0.0
83,TargetRidge,0.3300323188304901,SeasonalEWM,0.3797939717769623,0.04976165294647217,TargetRidge,0.3300323188304901,0.0
84,TargetRidge,0.2838118076324463,RidgeCov,0.35853812098503113,0.07472631335258484,TargetRidge,0.2838118076324463,0.0
85,TargetRidge,0.295797199010849,RidgeCov,0.3577660024166107,0.06196880340576172,TargetRidge,0.295797199010849,0.0
86,TargetRidge,0.2645246982574463,RidgeCov,0.32285448908805847,0.05832979083061218,TargetRidge,0.2645246982574463,0.0
87,TargetRidge,0.2798013389110565,RidgeCov,0.3392879068851471,0.059486567974090576,TargetRidge,0.2798013389110565,0.0
88,TargetRidge,0.3152993321418762,SeasonalTrend,0.35381922125816345,0.03851988911628723,TargetRidge,0.3152993321418762,0.0
89,TargetRidge,0.29882848262786865,RidgeCov,0.3268902897834778,0.02806180715560913,TargetRidge,0.29882848262786865,0.0
90,TargetRidge,0.28493139147758484,RidgeCov,0.3066333830356598,0.02170199155807495,TargetRidge,0.28493139147758484,0.0
91,TargetRidge,0.3004631996154785,RidgeCov,0.31255635619163513,0.012093156576156616,TargetRidge,0.3004631996154785,0.0
92,TargetRidge,0.3093349039554596,RidgeCov,0.31461650133132935,0.005281597375869751,TargetRidge,0.3093349039554596,0.0
93,TargetRidge,0.287404328584671,RidgeCov,0.2898465692996979,0.0024422407150268555,TargetRidge,0.287404328584671,0.0
94,RidgeCov,0.26037275791168213,TargetRidge,0.2652580738067627,0.004885315895080566,TargetRidge,0.2652580738067627,0.004885315895080566
95,RidgeCov,0.22070862352848053,TargetRidge,0.2464478462934494,0.025739222764968872,TargetRidge,0.2464478462934494,0.025739222764968872
96,RidgeCov,0.19849984347820282,TargetRidge,0.25942757725715637,0.06092773377895355,TargetRidge,0.25942757725715637,0.06092773377895355
97,RidgeCov,0.20079614222049713,TargetRidge,0.2769985496997833,0.0762024074792862,TargetRidge,0.2769985496997833,0.0762024074792862
98,RidgeCov,0.2041216641664505,TargetRidge,0.29868921637535095,0.09456755220890045,TargetRidge,0.29868921637535095,0.09456755220890045
99,RidgeCov,0.2155851572751999,TargetRidge,0.3124227523803711,0.0968375951051712,TargetRidge,0.3124227523803711,0.0968375951051712
100,RidgeCov,0.22874601185321808,TargetRidge,0.32730725407600403,0.09856124222278595,TargetRidge,0.32730725407600403,0.09856124222278595
101,RidgeCov,0.26414912939071655,TargetRidge,0.37609121203422546,0.11194208264350891,TargetRidge,0.37609121203422546,0.11194208264350891
102,RidgeCov,0.29566922783851624,TargetRidge,0.3893462121486664,0.09367698431015015,TargetRidge,0.3893462121486664,0.09367698431015015
